"ARL5A","ASCL3","DDIT3","DDOST","GUCY2C","LRRC8E","THAP5","THSD1P1","UBE2C"
-0.5354,-0.0758,1.4807,-0.67,-0.1552,0.3133,-0.8299,1.4999,0.41
-0.7879,1.886,0.1277,-0.0912,-0.2021,0.0155,0.2444,-1.0297,1.7861
-0.6297,-0.2813,-0.8201,1.7011,-0.1931,6.7405,0.0471,1.4522,0.986
1.6138,0.1096,1.6377,0.5777,-0.1333,0.0042,1.6874,-0.3751,0.4083
0.3563,-0.2813,0.9154,-0.0289,-0.1976,0.1803,-1.1044,0.487,0.4165
-0.4913,-0.2099,0.2853,3.1331,-0.2014,-0.5236,-0.5258,1.0466,-0.0725
-0.0108,0.3949,-0.5366,-0.5626,0.0348,-0.262,-0.6139,0.6744,-0.372
-0.6899,1.0275,-0.1198,1.2629,-0.1865,-0.1255,-0.0681,0.1867,0.2001
-0.4549,-0.1462,0.1133,0.6489,-0.1981,1.4201,-0.0892,-0.0265,0.1427
0.3477,0.0916,-0.6668,-1.2463,-0.2024,0.0082,-1.1362,0.5002,-0.47
0.2654,0.6208,-0.451,-0.8493,-0.1822,-0.5196,-0.3724,0.8822,-0.2748
-0.4332,-0.2813,-0.5416,1.255,-0.1447,-0.3332,-0.7776,2.3157,0.7688
-1.218,1.0016,1.1315,0.5595,-0.1928,-0.3474,-1.4198,-0.2256,2.271
-1.3238,-0.2813,-0.0678,-0.8425,-0.2034,0.9999,-1.0008,3.3311,0.8
-0.7188,-0.113,-0.6549,-0.0743,-0.1978,-0.0561,-0.8609,0.1342,-0.3707
0.0697,0.2437,-0.4788,1.5678,-0.1947,0.7442,0.1032,0.0563,-0.0517
-0.5147,-0.2813,-0.852,4.6103,3.049,0.8281,2.5565,-1.6811,3.5687
2.3685,-0.2104,-0.5082,1.5416,-0.1956,-0.5844,1.001,-1.4661,-0.3486
0.1513,-0.2126,-0.3998,0.0354,-0.1973,0.6094,0.3487,-0.8264,-0.0303
1.2742,-0.1726,-0.5488,-0.1416,-0.2007,-1.1905,0.9484,-0.0437,-0.9815
