"C19orf71","C9orf72","DKK1","ELFN2","ERRFI1","GSN","IGF2BP3","IL31RA","MATN2","NCAPH","PRMT3","RAB11B","SOCS2","TMEM204","TMEM64","ZCCHC3"
0.1219,-0.7888,1.6587,-0.0895,0.8662,0.4492,0.8423,-0.0383,-0.9173,-0.4576,-1.0377,0.4169,-0.8511,-0.2953,-1.3654,0.4037
0.2782,1.159,-0.5071,-0.6587,-0.6056,0.1696,-0.6142,-0.4294,-0.6475,-0.2599,-0.6892,0.0359,0.3592,0.5567,-0.1998,0.9833
4.0779,0.4609,-0.1764,0.0953,1.3616,-0.996,-0.0768,0.3243,-0.7522,-0.0626,-0.6633,-0.0909,-0.7252,-0.9539,-0.3763,-0.2343
0.8081,-0.6071,-0.343,-0.5562,-0.5828,0.551,-0.8162,0.3094,-0.7613,-0.6858,-0.9547,0.3324,-0.5528,1.6849,-0.2391,-0.8338
-0.2261,-0.2428,-0.4628,-0.2311,-0.5461,-0.2023,1.8287,-0.1872,0.2945,-0.2401,-0.0402,-0.3106,0.241,0.1724,-0.4067,0.2401
-0.7843,-0.2107,-0.6777,-0.6222,-0.716,0.271,-0.8913,-0.0846,1.1083,-0.6747,-0.98,0.9624,0.9627,1.831,-0.7859,0.4257
0.2673,0.2271,-0.6862,-0.6949,-0.6826,0.0651,0.0889,-0.5998,1.5533,-0.7106,0.5916,-0.3496,-0.4536,-0.9149,1.953,-0.3073
-0.2889,-0.0827,-0.647,0.1347,1.3057,0.3217,-0.9825,-0.5594,-0.5978,2.2159,-7e-04,0.2644,-0.3725,-0.176,2.9359,0.4629
3.4554,-0.1864,-0.4372,-0.0256,-0.5306,-0.4374,-0.512,-0.3878,0.2259,-0.4522,-0.1824,-0.0291,-0.4185,0.5401,-0.8975,-0.3263
-0.5571,-0.2113,-0.4154,-0.1102,-0.8703,-0.2839,-0.4495,0.0073,0.3857,-0.135,0.6142,-0.4593,-0.2364,0.4922,-0.3664,-0.371
0.7473,1.2295,-0.7305,-0.7161,-1.1577,7.5763,-0.9923,-0.5998,1.2469,2.0691,3.887,1.9024,0.1075,-1.1956,-1.1851,1.5365
1.7709,-1.7298,0.5828,1.2535,-0.6305,1.0435,-0.5341,-0.5998,1.6027,-0.4631,-0.6736,0.6889,-0.7327,-0.7284,-1.5716,0.0228
-0.1443,1.4751,-0.3119,-0.5593,0.3235,0.0028,-0.7167,-0.4949,-0.2121,-0.3185,-0.7318,0.2937,-0.5897,1.2083,-0.3201,-0.2027
1.7383,0.3768,-0.6226,-0.5254,0.1497,0.9136,1.229,-0.4536,-0.2009,-0.3708,0.1464,0.6791,-0.8398,-0.6442,-0.7702,0.0592
-0.1766,-0.0816,-0.6065,-0.1512,-0.33,0.7743,-0.8666,-0.551,1.8012,0.0902,-1.0258,0.9064,1.3316,1.1902,-0.5423,1.2471
0.1631,-0.1999,-0.6382,0.3077,0.2251,0.7504,-0.8689,-0.5457,-0.2114,-1.2849,-0.9543,-0.4311,1.4456,3.8305,0.874,1.1745
-0.131,0.6225,-0.575,-0.5647,0.0331,0.5013,-0.4295,-0.2662,0.4379,-1.0201,-0.2083,-0.722,2.4327,0.345,0.9662,1.2559
0.4876,-0.6728,-0.0282,-0.1278,-0.3313,0.5593,0.9657,-0.084,-0.0548,0.4502,0.3357,-0.6925,0.3001,-0.1539,-0.7092,0.2389
1.3345,-0.126,0.1367,0.1579,0.7992,0.1875,-0.3523,0.3329,-0.6443,-0.4847,-0.8946,0.8931,-0.6552,1.2347,-1.1916,-0.2162
-0.1579,0.1961,-0.702,-0.128,0.8526,0.0412,0.4067,1.1748,-0.5941,0.6151,-0.3438,-0.008,-0.1051,1.4251,0.4078,0.0546
0.2295,0.1381,0.0518,1.2601,-0.6041,0.4952,-0.1371,-0.3134,1.0908,-0.8127,-0.1376,0.0812,1.4933,0.8851,0.0727,0.2439
-0.2285,-0.1293,-0.1776,0.6071,0.1836,0.7162,-0.1292,-0.0647,-0.1662,-0.6732,-0.9317,0.8244,-0.0717,1.5224,0.5674,-0.7946
-0.5505,-0.6325,0.6226,-0.0807,0.1278,-0.461,0.1917,-0.1787,-1.2548,0.8783,-0.6009,0.7115,-0.4609,0.6173,-0.4394,-0.0262
4.3235,-0.7851,0.3105,-0.1913,0.097,-0.7873,1.0306,-0.3879,0.3611,-0.3156,0.4206,0.5141,0.8839,-0.9976,-0.852,0.3113
0.2995,1.7899,-0.6036,-0.7519,-0.5297,-0.8594,-0.6966,-0.5085,0.1021,1.3042,0.589,-0.8692,0.5577,-1.0295,0.0489,0.464
