"C19orf71","C9orf72","DKK1","ELFN2","ERRFI1","GSN","IGF2BP3","IL31RA","MATN2","NCAPH","PRMT3","RAB11B","SOCS2","TMEM204","TMEM64","ZCCHC3"
-0.8067,-0.256,-0.3786,-0.1889,1.4904,-0.6707,0.0727,-0.283,-0.8155,-0.6717,-0.2564,-0.2895,-0.8366,-0.1303,-0.2941,-0.0128
0.0954,0.8479,-0.732,0.1219,-0.4291,-0.6585,-0.9679,-0.5998,-1.1944,-1.0972,-1.0127,2.156,-0.3142,-0.9837,0.1599,0.6485
0.0756,0.2163,-0.4957,-0.5634,-0.1599,-0.2863,-0.5903,-0.24,0.5943,-0.8722,-0.264,-0.4698,0.4542,0.0579,-0.1863,0.7104
-0.8827,0.4284,1.9833,-0.6842,1.0848,-0.9422,-0.9851,0.2936,2.8442,1.2431,-1.1262,-0.9672,-0.4402,-0.956,-0.1507,-1.2446
0.0977,-0.8071,-0.407,0.1113,-0.7682,-0.4588,-0.0465,-0.5998,-1.1696,1.9119,-1.0417,-0.4757,-0.8756,-0.4557,-1.1523,-0.0212
0.6943,0.4054,-0.2633,-0.6669,-0.4759,0.2178,0.1566,-0.4436,0.1557,-0.4584,0.014,0.2006,0.3054,0.7349,-0.2158,-0.0072
0.2896,-0.5788,-0.5387,-0.3577,-1.0009,1.0289,-0.9732,-0.3002,-0.183,0.778,3.2399,0.2096,-0.1665,-0.1161,0.3132,-0.1474
-0.5916,-0.5288,0.9251,0.058,-0.3103,-0.6232,2.1341,-0.5527,-0.5348,0.1369,0.7859,-0.9491,-0.996,-0.5247,1.0487,-0.4987
-0.1188,-0.477,-0.735,-0.4814,-0.0822,-0.7287,-0.9589,-0.5998,-0.2186,-1.3782,-0.0736,0.429,0.197,-0.6309,0.6775,-0.084
-0.658,1.4263,-0.3701,0.0428,-0.4044,0.116,-0.7648,-0.344,0.8391,-0.8856,-0.0655,-0.7923,0.6388,0.2867,0.637,-0.3603
-0.548,0.3568,-0.4869,-0.2726,-0.131,-0.4588,-0.729,-0.4657,0.4385,-0.8491,-0.4566,-0.9133,0.6901,-0.4371,1.0149,0.1637
0.736,0.1469,0.6993,-0.1559,1.5522,-0.8648,0.916,0.196,-1.2631,0.5487,0.7214,-1.3056,-0.6855,-0.2268,0.5902,-0.3783
0.2251,-0.0119,-0.7219,-0.5821,-0.2581,-0.3668,-0.9379,-0.5998,-1.0372,-0.5546,-0.9415,0.1273,-0.2776,1.3079,0.443,-0.3608
-0.5241,-0.5914,2.145,0.1133,0.3208,-0.9875,1.1615,0.8446,-1.2062,2.2345,1.9083,-0.937,-0.5825,-0.7694,0.0214,-0.7705
-0.9283,-0.4697,-0.3219,-0.1271,-0.4522,0.4315,1.1174,-0.4348,-1.2022,-0.3964,0.0373,0.9723,-0.7949,0.0486,0.1482,-0.7122
0.8554,-0.1116,0.5805,0.867,-0.7006,0.8925,-0.2125,-0.4253,0.6444,0.4049,-0.4652,-0.2096,0.5131,1.0358,0.3543,0.3339
1.1586,0.1544,-0.319,-0.301,-0.1179,-0.4773,-0.719,-0.4907,0.9085,-0.9132,-0.7853,-0.0147,-0.1139,0.5713,-0.2122,-0.451
-0.4501,-0.5289,1.1949,-0.4943,1.5149,-0.1995,0.7823,1.2802,0.3421,1.1481,0.1939,0.723,-0.772,0.6501,1.1696,-0.079
-0.6307,-0.8159,-0.3247,-0.4839,-0.7854,1.0139,-0.1342,-0.3491,-1.1043,2.308,-0.8345,1.9119,0.37,0.3347,-1.0524,0.2102
2.3381,-0.1329,-0.7111,-0.6089,-0.0762,0.0787,-0.9832,-0.4331,-0.417,-0.0911,0.074,0.2672,-0.6712,-0.8707,-0.8641,-0.3498
-0.2028,-0.3083,3.9333,-0.034,-0.6131,0.9871,-0.1884,-0.3076,0.0813,0.0065,-0.6509,0.7225,0.8257,0.3683,-0.4637,-0.9693
-0.1844,0.034,-0.7331,-0.7705,-1.2159,3.355,-0.8452,-0.5998,2.3074,2.4738,-0.0851,-0.086,-1.1212,-1.5748,0.213,1.4703
0.7154,-0.8237,-0.7034,-0.6993,0.3322,0.6981,-0.9704,-0.5279,-0.7986,-0.4022,-0.1326,0.7496,-0.7624,-1.0152,-0.2044,-0.8014
0.8572,1.2061,-0.6057,-0.5654,-0.0931,0.2972,-0.7766,-0.5446,-0.5789,-0.6564,-0.6911,0.4073,0.5646,2.8992,0.0589,0.016
-0.6978,-0.9641,-0.25,-0.6701,0.1869,-0.3601,0.63,-0.5397,-0.6635,0.3073,0.834,-0.9988,-0.864,-1.1572,-0.6447,-1.4548
-0.6918,-0.3098,0.3392,-0.6508,-0.2607,-0.1564,-0.3702,-0.3394,-0.0473,-0.4285,-1.171,-0.19,-0.1122,0.1881,-1.0788,0.6913
-0.7774,1.8269,3.568,-0.5396,2.8878,0.6616,1.402,-0.4258,-0.8058,-0.1462,-1.1095,0.0156,-0.1482,-0.9304,-1.0967,-0.787
1.7392,7.5178,1.6178,-0.5561,0.0164,-1.2318,1.592,-0.4101,-1.1052,-0.275,-0.571,-0.2493,-0.7782,-0.9419,-1.5764,-0.258
-0.0178,-0.6878,-0.5431,-0.213,-0.3076,-0.4573,-0.367,2.9224,1.2724,1.0624,0.8709,0.3206,-0.6619,-0.7343,-1.0213,-0.0865
-0.2551,-1.2707,-0.3587,-0.0384,-0.1118,-0.2335,-0.9029,3.5381,-0.2787,2.6453,2.5805,-0.2164,-0.4568,-1.2674,-0.3403,-0.445
-0.0353,-0.355,-0.4407,-0.4151,-0.7508,-0.6839,-0.0407,0.2424,-0.3348,-0.4122,0.9018,-1.0932,-0.0309,-0.5273,-0.0986,0.5237
1.0346,-0.9391,-0.6384,-0.2586,-0.6459,-1.2583,-0.5436,0.7542,-0.7947,-0.4423,2.4396,-0.3553,-0.8736,-0.2792,-0.4861,0.5212
