"FAM120A","CAB39L","GABPB1","CA2","EPHB6","PRLR","TXNDC15","AKR1A1","DLGAP5","IGF2BP3","ALDOB","IFNAR1","NCEH1","CAMK2G","NGLY1","IL31RA","ZNF584","LRRN3","NSUN3","PLD6","ZBTB7C","RTEL1"
71.26,2.71,10.24,15.93,24.01,1.35,10.92,46.33,2.83,10.74,5.62,11.6,10.95,10.39,9.46,0.07,3.26,0.2,3.56,0.64,3.47,6.04
21.52,2.68,22.79,1.85,1.44,0.09,18.35,44.59,53.53,24.62,0.44,23.82,37.87,15.64,14.24,0.2,5.25,0,5.68,0.3,4.4,13.14
46.33,4.17,11.76,104.96,3.77,3.25,20.04,81.62,2.59,15.39,3.36,22.76,27.14,9.62,6.91,0.36,4.58,0.38,3.15,1.39,0.59,5.06
62.73,1.97,11.21,40.93,0.73,0.57,19.17,40.91,5.14,8.69,2.83,30.85,11.58,7.49,6.55,0.15,2.46,0.28,6.02,0.27,4.65,3.21
42.33,6.58,12.83,13.73,25.27,1.88,24.51,37.63,4.84,24.06,2.18,21.86,16.47,12.91,12.41,0.66,5.31,0.35,7.22,0.4,1.93,4.3
31.11,3.71,12.65,10.99,0.49,0.38,18.29,39.1,6.36,8.64,2.39,13.2,9.93,6.21,6.02,0.94,2.18,0.09,4.03,0.67,0.69,7.18
55.55,3.4,10.44,3.76,5.15,2.5,12.06,44.72,3.36,9.48,9.95,22.52,9.92,16.34,8.3,0.06,3.99,0.26,6.28,0.71,4.7,5.52
120.43,4.1,8.27,201.13,0.46,8.61,24.88,75.88,3.77,0.86,0.66,21.52,23.6,14.27,13.83,0.03,5.02,0.01,8.76,0.34,13.76,1.96
52.51,5.93,11.07,4,2.22,0.39,14.07,21.38,10.91,47.95,4.7,22.42,20.92,21.35,8.97,5.63,2.54,0.45,4.25,0.27,0.38,2.92
85.07,6.09,14.34,19.5,3.31,1,21,76.22,5.96,15.04,17.5,30.39,9.84,19.46,11.86,0.14,5.04,0.57,7.79,0.81,7.61,2.81
63.94,4.16,13.27,44.54,3.3,1.35,14.18,40.76,5.17,11.68,4.25,33.93,22.46,8.13,11.64,0.45,3.34,0.07,7.48,0.42,4.2,4.13
49.6,6.18,14.99,58.39,3.13,2.72,21.46,54.4,6.08,16.23,6.07,20.53,20.28,15.5,13.88,0.38,5.31,0.48,5.09,0.87,3,6.74
85.39,4.81,8.58,20.05,4.04,2.61,17.18,63.48,6,17.97,16.28,49.13,29.25,8.28,16.87,0.14,4.55,0.26,7.37,0.75,6.06,5.24
60.91,4.91,17.3,20.59,0.9,0.6,26.47,46,5.86,1.18,1.81,26.28,17.96,7.09,5.78,3.32,4.61,0.15,6.13,0.87,4.2,2.92
56.81,3.47,13.98,31.41,0.87,1.23,18.08,37.42,9.23,6.37,32.04,25.51,10.47,7.6,9.44,0.21,2.48,0.27,5.63,1.24,2.21,2.85
80.01,6.62,16.14,31.39,4.5,2.44,17.75,63.03,2.84,2.87,12.01,26.44,11.57,12.51,12.36,0.02,4.54,0.18,8.88,0.56,6.58,3.12
63.41,1.95,9.61,17,2.49,2.03,21.46,48.74,2.62,0.96,8.38,21.39,12.83,8.74,11.93,0.1,2.98,0.27,5.95,0.34,6.63,8.9
74.77,2.6,10.35,57.43,0.83,3.19,17.6,68.17,3.47,0.5,95.77,17.23,7.67,13.59,11.33,0.01,3.53,0.31,4.84,0.67,11.26,2.88
45.73,2.82,11.68,18.51,0.78,0.65,14.36,37.18,6.83,7.19,14.63,20.48,8.84,7.69,8.24,0.32,2.14,0.12,4.94,1.19,2.18,2.01
123.06,8.01,10.37,29.29,0.87,2.35,15.57,115.78,4.81,0.26,166.67,26.51,18.56,10.95,13.18,0.03,4.46,0.19,4.75,2.13,4.05,2.18
34.77,6.06,9.49,6.85,19.38,2.31,17.64,32.49,6.45,19.4,1.92,21.17,15.92,11.37,11.85,0.8,1.69,0.16,6.78,0.56,1.73,6.03
99.32,1.63,16.75,35.95,0.77,1.22,27.45,68.33,5.73,4.08,2.18,21.98,43.37,18.85,6.94,0.05,4.4,0.07,6.91,1.16,2.91,1.82
50.22,3.48,12.18,6.16,5.79,0.33,21.68,29.24,6.26,15.58,0.06,24.37,8.78,10.16,8.36,3.33,2.39,0.29,3.9,0.47,0.57,2.82
35.5,9.59,14.07,1.71,0.66,1.19,24.44,40.74,4.05,0.15,0.36,28.09,5.35,5.67,13.66,0.2,2.58,0.01,3.97,1.51,0.15,4.04
18.19,3.57,12.18,2.75,32.37,0.22,6.86,19.77,7.56,23.67,1.29,4.65,4.45,15.15,8.97,2.62,3.8,0,4.75,0.6,0.55,11.91
29.26,7.25,9.08,5.74,1.51,4.19,22.81,29.32,1.57,0.81,4.82,27.47,6.93,5.12,9.87,0.1,3.85,0.21,6.91,2.36,0.17,2.14
41.31,5.43,9.38,64.63,6.11,1.73,21.53,31.43,4.4,19.69,1.56,25.51,17.13,6.93,9.34,0.05,2.92,0.38,4.85,0.55,2.43,4.29
35.47,0.74,12.88,27.66,0.85,1.07,25.87,41.18,3.42,18.91,0.13,12.37,11.43,7.6,9.76,1.28,3.1,0.13,2.88,0.92,0.11,12.6
63.1,6.96,17.01,62.59,0.51,0.68,21.44,55.8,4.24,2.82,4.29,25.22,12.91,13.42,7.5,2.04,4.94,0.18,5.99,1.53,3.05,4.16
71.28,3.34,14.27,4.94,1.09,0.97,11.2,41.59,6.59,17.99,6.08,14.93,12.05,9.76,12.84,0,3.29,0.16,7.85,1.31,8.36,5.85
35.74,3.19,10.65,120.45,1.59,2.6,16.42,42.48,5.24,1.68,5.3,12.41,14.32,12.1,11.7,0.35,4.5,0.05,6.42,1.38,4.2,2.55
17.75,1.7,13.45,0.18,0.85,0.03,20.64,13.46,6.17,15.83,0,4.63,7.4,3.97,5.38,0.01,5.62,0,4.37,0.65,1.37,1.66
63.95,3.65,13.35,38.27,1.31,2.95,17.47,43.88,8.9,20.35,21.64,23.2,15.62,9.78,12.6,0.04,3.44,0.48,8.33,1.07,3.24,7.93
66.14,5.35,12.24,93.06,1.75,1.27,23.66,54.56,2.65,11.06,10.69,27.62,9.34,15.42,14.02,0.29,5.72,0.63,9.45,0.75,4.66,2.24
55.97,5.48,8.79,17.51,2.27,1.71,23.79,43.99,4.55,1.42,15.42,31.75,16.66,8.63,16.11,0.05,4.07,0.89,6.45,1.01,5.04,3.4
58.16,5.33,11.33,20.92,4.97,1.29,20.25,38.89,8.81,12.88,2.4,29.3,14.99,11.29,15.03,0.19,4.63,0.18,8.56,0.86,2.53,2.19
65.4,8.96,14.57,90.76,1.55,4.05,16.41,52.02,6.19,18.08,41.96,28.04,9.44,17,14.72,0.09,3.37,2.45,9.31,0.44,4.33,3.42
68.74,9.28,13.11,46.59,20.16,0.64,20.17,32.32,4.52,19.14,11.2,24.74,11.7,19.64,6.36,0.23,2.65,0.61,8.63,0.47,5.37,1.91
35.21,5.98,14.17,50.63,3.21,5.42,22.91,55.89,3.98,5.77,14.52,32.19,11.94,13.97,15.72,0.05,5.82,1.86,7.06,0.81,4.23,2.03
40.09,4.85,10.81,8.18,6.63,0.94,18.85,28.85,5.11,16.35,2.13,21.44,25.25,9.33,8.72,0.15,4.09,0.27,7.74,0.69,1.91,9.8
64.58,6.98,11.1,59.14,4.23,1.41,25.79,35.87,2.99,5.98,4.71,28.39,12.64,10.71,13.23,0.17,4.34,0.91,6.23,0.96,4.93,2.99
45.21,4.19,16.28,17.66,2.08,0.3,18.81,41.44,10.78,2.34,1.22,23.82,37.79,9.35,12.51,1.35,4.35,0.19,7.09,0.61,1.19,3.92
68.24,2.68,11.45,14.58,1.24,0.47,20.39,32.6,2.49,7.76,1.93,18.07,14.62,10.33,15.68,0.08,3.03,1.44,7.4,1.71,3.85,5.05
32,6.44,8.71,3.42,5.06,1.5,29.88,40.7,2.16,5.5,0.54,23.56,23.81,9.99,12.12,0.17,2.89,0.55,4.85,0.86,1.52,3.01
41.58,4.47,7.84,13.43,7.11,1.91,15.82,23.19,4.52,9.41,22.44,17.77,12.36,16.79,11.69,0.02,4.75,0.32,7.48,0.78,8.11,8.17
20.58,1.58,5.79,14.73,1.72,0.37,10.77,18.73,3.45,8.44,2.94,5.73,3.19,9.14,18.6,0.68,2.77,0.04,4.09,0.63,0.37,13.32
78.54,7.24,13.13,8.53,12.04,0.87,13.59,33.83,6.95,24.76,19.11,27.07,33.99,16.94,9.83,0.06,2.73,0.38,8.01,0.84,1.61,7.97
72.26,12.27,12.24,18.85,2.54,0.69,18.77,41.58,1.4,17.69,5.02,21.6,10.26,37.54,14.11,1.31,5.51,0.46,8.79,1.96,4.46,4.03
33.57,7.85,14.78,3.46,3.98,1.43,12.1,26.98,4.13,29,0.29,25.19,11.29,13.95,12.65,0.17,2.88,0.1,8.44,0.41,6.41,7.26
24.12,6.16,11.12,4.71,44.82,0.04,11.31,26.09,4.51,21.85,1.08,10.93,6.99,32.79,10.89,0.3,4.7,0.26,5.17,0.71,0.91,11.7
44.75,3.32,16.63,16.27,2.74,1.07,16.82,29.63,12.32,0.78,3.42,25.45,23.82,10.68,13.91,0.12,2.71,0.18,6.9,0.27,5.85,5.17
72.21,1.68,8,46.75,3.06,2.96,14.91,52.5,6.84,18.21,37.28,32.22,27,6.33,17.37,0.46,3.51,0.09,5.21,0.82,4.51,2.93
38.53,7.78,10.89,8.34,4.96,0.93,6.95,25.87,2.04,9.35,3.76,10.3,7.65,8.58,10.6,0.25,3.2,0,4.53,0.93,4.11,12.21
49.74,3.47,10.63,13.86,2.57,0.9,15.19,32.43,5.56,11.37,0.75,8.17,9.6,11.91,11.28,0.05,2.99,0.21,4.65,0.76,2.75,7.94
63.95,3.74,25.56,18.41,1.03,0.3,19.96,44.2,22.79,13.52,0.04,18.31,8.04,6.49,9.47,1.28,3.91,0.08,4.12,0.74,2.1,4.67
