"AKR1A1","ALDOB","CA2","CAB39L","CAMK2G","DLGAP5","EPHB6","FAM120A","GABPB1","IFNAR1","IGF2BP3","IL31RA","LRRN3","NCEH1","NGLY1","NSUN3","PLD6","PRLR","RTEL1","TXNDC15","ZBTB7C","ZNF584"
-0.9306,-0.2693,-0.6381,-1.0743,-0.9386,4.2677,-0.562,2.2975,6.3683,-1.2762,1.9359,-0.3558,-0.285,2.5148,-1.4939,1.654,0.6539,-0.2706,0.3656,0.1706,-1.066,-0.2236
-0.2941,-0.1952,-0.037,-0.3881,0.7937,0.3706,-0.2984,1.8443,0.9276,1.2409,1.3189,-0.4323,-0.0498,0.6843,-0.3285,1.5384,-0.4136,-0.1547,-1.2713,0.3949,-0.4981,0.4027
-0.2294,0.3198,0.7028,0.1971,-0.7889,-0.4684,0.0306,0.099,0.0309,3.479,-0.6114,-0.1636,0.1089,0.5831,-0.046,1.0854,-0.4053,-0.1201,-1.2989,0.4243,-0.099,-0.1258
-0.1049,-0.1179,-0.249,0.2619,-0.532,-0.4636,-0.4293,-0.6495,1.1013,0.6962,0.1989,1.2491,0.0836,1.3562,0.7098,0.9177,-0.0555,-0.2395,0.1473,0.2142,-1.1254,0.7464
-0.1512,-0.2469,-0.1198,-0.0766,-0.6473,-0.5192,-0.1801,1.0903,-0.1575,1.9136,-0.9639,-0.43,-0.0741,1.7869,2.5826,1.8849,-0.2642,-0.1762,-0.9907,-0.0881,0.8806,-1.8555
0.2757,-0.1242,0.1063,-0.9351,-0.1033,0.7585,-0.442,0.8723,0.6596,-0.2708,0.7058,-0.1696,-0.2647,1.3097,-0.705,0.8883,-0.4177,-0.2755,0.0243,0.4026,-0.5134,-1.1238
-0.5519,-0.2115,-0.6643,-0.7308,0.4955,-0.034,0.5545,0.2961,0.943,-0.2969,1.2571,-0.117,-0.2905,-0.3118,-0.6767,1.5895,0.0401,-0.1361,-0.5808,-0.1614,-0.5035,-0.2187
0.3265,-0.2502,-0.18,0.4153,-0.8524,0.1895,-0.2691,2.8267,1.6375,-0.3359,-0.4401,0.4948,-0.3778,2.5915,-1.0118,1.1039,-0.1359,-0.2083,0.9342,0.4156,3.7834,1.3165
1.2193,-0.1834,2.8023,0.8989,-0.3239,-0.1802,-0.5139,0.7902,-0.5148,1.9208,0.06,-0.5998,0.4719,0.1133,0.0601,0.3947,-0.1432,0.098,-1.1885,0.9422,0.7958,0.8003
1.012,-0.1396,-0.5184,-0.0505,0.0987,-0.7655,0.2156,-0.036,-0.0198,1.8628,-0.4431,-0.4018,-0.2223,-0.3642,0.0971,0.2109,-0.4232,-0.2038,-1.22,-0.0025,-0.2347,0.4721
-1.2628,-0.2683,-0.5179,-0.5743,-0.3444,-0.1134,-0.4154,0.8293,0.0992,0.895,-0.7793,0.3033,0.0021,-0.019,-1.3042,1.7081,-0.4665,-0.1979,-0.7593,1.0075,0.0192,-0.005
0.1067,0.0043,-0.2042,0.007,-0.5667,-0.4456,-0.0144,0.4965,0.0649,2.4435,-0.4433,-0.3937,0.008,0.8394,1.0317,0.4491,-0.2066,-0.0973,-1.141,-0.1228,-0.2591,0.5745
-0.9715,-0.2727,-0.6593,-0.1181,0.2079,1.2901,0.3847,-0.1833,1.2031,0.8005,1.9224,1.412,0.106,1.1225,0.5036,1.5048,-0.4187,-0.1598,-1.2566,0.8215,-0.5824,-0.6657
-1.1723,-0.1789,-0.3632,3.9366,-0.111,-0.4591,-0.4032,-0.482,0.0557,1.7645,-0.8734,-0.1945,1.1667,-0.0334,0.0464,1.6289,-0.0936,0.0938,-1.0367,0.6959,-0.4942,-0.3715
-0.6372,-0.0649,1.1571,0.855,-0.5969,-0.9568,-0.1566,-0.3615,-0.5263,1.7047,-0.7886,-0.325,-0.0727,-0.2284,1.1899,0.3006,0.5982,-0.0068,-0.8813,-0.0646,-0.6959,0.3743
-1.0056,-0.2044,-0.5248,-0.4081,0.1132,-0.0542,2.4509,0.4164,0.12,-0.1642,1.2668,-0.3716,-0.2409,-0.2276,-0.6513,0.193,0.2897,-0.2383,-0.5724,-0.4363,-0.5868,1.8713
-0.2841,-0.1244,0.433,-0.3123,0.108,-0.6106,-0.2458,-0.2725,-0.2985,1.3394,-0.8568,-0.4757,-0.1725,-0.6231,-0.6473,0.4678,-0.0553,-0.24,0.9201,-0.0832,0.7969,-0.8691
0.8134,-0.141,1.9951,-0.7249,1.2448,0.3718,-0.4023,1.8377,-0.213,-1.6707,1.399,-0.5592,-0.3133,-0.3145,0.8788,0.4328,-0.6369,-0.1494,-0.7557,0.4553,2.2891,2.0955
-0.3922,-0.231,-0.6857,0.2537,-0.1104,0.3647,-0.2119,-0.2887,0.9728,-0.3894,-0.4753,1.7562,0.0187,0.7923,-1.3303,-0.661,-0.2424,-0.1287,-0.6743,0.5391,-0.9065,0.118
-1.0307,-0.2525,-0.6761,-0.8899,-0.1199,0.6601,0.4196,0.1932,0.2519,-0.9608,-0.9704,3.0489,-0.3046,0.163,-1.8589,0.8183,-0.6494,-0.2814,-0.761,0.4084,-0.7523,-1.0562
0.0509,-0.2456,-0.5661,1.1915,-0.0194,-0.5964,-0.4189,-0.9092,0.96,0.8189,-0.6128,-0.5648,-0.1197,0.5025,0.7593,-0.3377,-0.3512,-0.1882,0.4905,0.4133,-0.48,0.1271
-0.9213,-0.1793,-0.5754,0.2459,-0.3999,0.1499,0.6883,-0.4113,3.6809,-0.8174,-0.3332,3.1059,-0.3688,-0.5982,0.0106,-0.0661,0.5136,-0.2661,5.8871,-0.1569,-0.8505,1.1409
-0.3985,0.0395,-0.4419,-0.6211,0.1942,-0.4233,2.8049,-0.5171,-0.0874,-0.9995,-0.7262,-0.2988,-0.2985,-0.007,-0.5244,-0.441,0.2375,-0.1632,0.1467,-0.9523,-0.7763,-0.53
-1.3291,-0.2137,-0.7949,0.2466,1.1233,1.3495,0.6624,-0.5451,-0.399,0.5264,1.5496,1.3867,-0.4042,-0.1632,-0.3706,-1.0639,-0.1255,-0.1362,1.9491,-1.011,-0.4593,-0.7423
0.1048,-0.2596,-0.4541,-0.9417,-0.1636,1.3873,0.0716,0.4061,-0.769,0.2609,1.7714,-0.3967,-0.3781,-0.779,1.6614,0.124,0.0589,-0.2689,-0.1822,-1.2308,-0.6324,-1.0017
0.2148,-0.0089,0.5262,0.9494,-0.4385,-1.1271,-0.0303,-0.0901,-0.7211,-0.0091,-0.9494,0.2616,-0.1884,-0.6462,1.9611,0.0093,0.6028,0.0407,-0.2954,-0.0991,-0.4017,-0.323
-1.3159,-0.073,-0.4455,-0.0436,0.3054,-0.1017,0.6606,0.42,0.0981,-0.3301,0.1628,1.6518,-0.212,0.0637,-1.0482,-0.1875,-0.1768,-0.2062,-0.3139,-0.3692,-0.6852,0.2183
1.105,-0.2376,-0.3653,-1.2042,0.2624,0.58,-0.2556,0.1321,-0.3379,-2.1383,0.2105,-0.324,-0.3833,4.6153,0.1728,-1.5554,-0.3689,-0.264,2.5365,-0.8261,0.0499,-1.749
-0.2215,-0.0813,-0.6676,-0.613,-0.0949,0.3061,-0.3007,0.0717,0.6918,-0.2661,0.2011,-0.3531,0.0402,1.3036,1.5002,0.1831,0.0926,-0.0679,-0.537,0.0406,-0.5517,-0.2664
1.0006,-0.2026,-0.5412,-0.6992,0.9749,-0.0948,0.2824,-0.6307,-0.6277,0.0556,0.8467,-0.0889,0.0195,0.438,-0.0332,-0.8444,0.1859,-0.1726,-0.3977,0.0932,0.6074,-1.0423
-0.169,-0.082,-0.7367,-0.0046,-0.3091,-0.8669,-0.1408,-0.811,1.7528,-0.488,-0.9217,-0.3831,-0.0957,-0.9962,0.5293,-1.4744,-0.3864,-0.1824,-0.2353,-0.1369,-0.5599,0.6527
0.7693,-0.232,-0.5912,-0.7176,-0.4921,-0.5488,-0.3614,-0.5074,1.847,0.1099,-0.7906,-0.4821,-0.3171,0.5293,-0.9952,-1.0492,-0.4652,-0.1948,0.0026,0.7798,-0.7194,0.2382
0.548,0.7186,-0.0664,-0.607,-0.5022,-1.0986,0.1089,-0.7977,-1.1769,0.4925,-0.8444,-0.3124,-0.1128,0.4988,0.023,0.329,-0.0687,-0.184,-0.4463,0.106,-0.2088,-0.2093
-0.2676,-0.132,0.3306,-0.352,0.2854,0.3653,0.5426,-0.712,0.6256,0.0834,2.3709,-0.2585,-0.2528,0.4918,2.5911,-0.4291,-0.4652,-0.2004,-0.1069,-0.8935,-0.3616,-1.8634
-0.2222,0.0656,-0.7508,0.7785,-0.3098,-1.1678,-0.3525,-0.7974,0.756,0.1888,-0.8993,-0.2349,0.1812,-0.7892,0.5194,-0.9976,0.11,-0.1551,-0.5376,1.2515,-0.6577,1.3473
0.0467,0.4322,2.2428,3.0286,-0.4013,-1.024,-0.033,-0.1606,-0.4606,1.7068,-0.9456,-0.4108,-0.009,-0.4999,1.0885,-0.0859,-0.0747,-0.0572,-0.7979,-0.0102,0.8644,0.6228
-1.7142,-0.2714,-0.7897,0.0717,0.6626,3.9229,-0.5661,-0.212,0.1642,-0.5362,2.9699,-0.1207,-0.3851,-0.2259,0.5261,-0.5961,0.7561,-0.2398,-0.1722,-1.0015,-1.1715,-1.6463
0.7755,-0.2521,-0.7032,0.6944,0.9981,-0.0602,-0.456,-0.0063,1e-04,-1.3173,-0.9355,-0.5255,-0.3449,1.2178,-0.013,1.5476,-0.0047,-0.2576,1.6508,-0.8253,1.0235,0.0584
0.1424,0.1863,-0.7053,-0.3996,-0.949,-0.9819,0.9619,-1.899,-1.2954,0.0349,-0.5,-0.1525,-0.374,-1.2142,-1.3717,-0.8653,-0.1657,-0.1482,-0.0878,-0.423,-1.0628,-0.5922
0.4694,-0.2181,0.232,0.0122,-0.7543,-0.438,0.226,-0.3966,-0.7253,1.607,-0.0353,0.0588,-0.1969,0.8906,1.077,-0.5648,-0.0287,0.0527,-0.285,-0.0539,-0.4235,-1.1072
-0.4438,-0.2626,-0.6813,-1.0635,-0.4895,0.0229,-0.3025,-0.4436,-0.6391,-0.6726,1.1524,-0.2317,-0.3859,2.6618,-0.8115,-0.4702,-0.6002,-0.2655,2.3181,-0.447,-0.6117,-0.8722
-0.0546,-0.2031,0.6918,-0.9399,0.0269,-0.1792,-0.2387,-0.9121,-0.1811,-2.1242,-0.3301,-0.3612,-0.1694,-1.2433,0.0985,-0.1878,-0.5036,-0.2379,1.4956,-0.8237,0.0466,-0.3267
0.6513,1.0653,-0.1261,-0.6689,0.2038,-0.3894,0.2203,-0.5882,-0.4975,-0.3923,0.8423,-0.0383,-0.324,-0.3237,0.2656,-0.0341,-0.6226,-0.2569,1.8387,-0.367,-0.3193,0.8688
0.7555,-0.2587,-0.6742,-0.8364,-0.3487,-0.4608,-0.0666,-0.9381,3.0283,-0.3472,-0.6142,-0.4294,0.3698,-0.6009,1.0079,-0.2542,-0.2136,-0.2673,0.2602,-0.0445,-0.774,-1.0364
0.2801,-0.0667,-0.3307,-1.0004,-0.1171,-0.1475,0.6692,-1.1147,-0.1193,-0.8226,-0.0768,0.3243,-0.3823,-0.4069,0.0892,-0.889,-0.5958,-0.2014,-0.0059,-0.8095,-0.1393,0.0268
2.0362,-0.0277,0.2632,-0.7058,6e-04,-0.6432,-0.4744,-0.6452,-0.0109,-0.9358,-0.8162,0.3094,-0.2512,-0.4987,-0.1423,2.1637,-0.3846,-0.1882,0.6121,-0.1457,1.2962,-0.5902
-0.8526,-0.1594,-0.2497,-0.2036,0.1048,0.0158,-0.0293,-0.8203,0.3986,1.0147,1.8287,-0.1872,-0.002,0.3896,0.1441,0.517,-0.4442,-0.1696,-0.5357,-0.0271,-0.55,-0.4395
1.1493,0.1971,-0.2389,0.3623,-0.6058,-0.7432,-0.2025,-1.04,-0.1815,0.2944,-0.8913,-0.0846,0.5679,-0.3887,0.2766,-0.4067,0.0462,-0.2095,-0.8183,0.829,-0.0788,0.2843
-1.8572,0.9857,1.8518,-0.755,0.5685,-0.7684,-0.5411,2.0422,-0.7779,0.2138,0.0889,-0.5998,-0.3331,0.4431,-0.5273,1.8128,-0.389,0.0705,-0.6712,-1.0169,2.2244,0.47
-0.8206,-0.2612,2.2505,-0.6157,-0.0225,2.236,-0.5054,0.7101,0.3634,-1.1821,-0.9825,-0.5594,-0.298,-0.4002,1.9894,-1.5876,-0.0996,-0.2399,-0.2996,-0.9208,-0.1795,1.4889
-0.2804,-0.0256,0.0958,-0.1902,0.616,-0.5507,0.0207,0.1453,-0.32,-0.617,-0.512,-0.3878,-0.1779,-0.6976,-0.5998,-0.5703,-0.0162,-0.1991,0.2258,-0.2796,0.29,-0.2593
0.61,-0.0318,0.2274,-0.3851,-0.3165,-0.2009,-0.1348,0.4492,-0.4081,0.9122,-0.4495,0.0073,-0.2749,0.206,-0.1564,0.0825,-0.0618,-0.17,-0.3143,0.2067,-0.0569,0.1437
5.1051,0.3442,-0.8239,-0.038,-0.7542,1.1677,0.4103,0.9152,-0.1699,-0.4003,-0.9923,-0.5998,-0.403,-0.6071,1.1767,-1.4545,0.6126,0.2019,-0.6614,-0.9096,3.5991,-1.8407
1.9503,-0.1427,0.5026,-0.8181,0.3106,-0.393,-0.239,0.0432,-1.11,0.345,-0.5341,-0.5998,-0.3422,-0.9046,1.3808,-0.4535,-0.2123,-0.2457,-0.3509,-1.3189,4.1006,0.8003
-0.14,0.0243,-0.1529,-0.6085,0.3962,-0.4729,-0.3183,-0.1363,-0.9437,-0.1056,-0.7167,-0.4949,-0.3216,0.1043,-0.9451,-0.1095,-0.3295,-0.255,2.2957,0.0436,1.1596,-0.4921
-0.6338,-0.1836,2.9085,-0.4016,0.1973,0.4117,-0.26,3.3546,0.4025,0.3509,1.229,-0.4536,-0.2407,0.2023,1.4883,1.5608,-0.5865,-0.2317,0.2287,-0.9574,0.7424,-1.1263
0.5018,-0.1176,-0.4573,0.3723,-0.5039,-0.3207,-0.132,-1.4118,0.8054,-0.4577,-0.8666,-0.551,0.1742,-0.7933,1.7102,-1.675,-0.2959,-0.2193,-0.5246,0.5623,-0.371,0.6914
-0.3501,-0.1959,-0.1819,1.4314,-0.4797,-1.3007,-0.4354,-0.9226,0.4751,-0.2309,-0.8689,-0.5457,0.9285,-1.1659,-0.7971,-0.5277,0.157,-0.0945,-0.4921,1.7461,-0.2155,1.0491
-1.1783,-0.2437,-0.5969,2.3558,-0.0675,-1.1512,-0.4131,-0.5735,0.369,-0.4752,-0.4295,-0.2662,0.5354,-0.8179,0.104,-0.9998,0.0805,-0.144,-0.602,0.4622,-0.4727,0.8584
-0.5832,-0.1733,-0.0693,-0.328,-0.558,0.5568,0.0654,-0.4047,-0.5133,-0.2289,0.9657,-0.084,-0.1266,0.0665,1.0543,0.1193,-0.1949,-0.2386,-0.7586,-0.5613,-0.453,-0.3065
0.0518,-0.1122,-0.6828,-0.3247,-0.1883,-0.0049,11.3987,-1.2142,-0.5077,-0.2036,-0.3523,0.3329,-0.2171,2.2808,-0.4791,-0.3284,-0.5106,-0.2543,0.1734,-0.4219,-0.8558,-0.6982
-0.2781,-0.2339,-0.6087,-0.1409,-0.5245,2.024,0.1336,-0.3601,0.3525,-0.2433,0.4067,1.1748,-0.0149,-0.9167,-0.1818,-1.06,-0.3627,-0.215,-0.3998,-0.4468,-0.1783,2.4399
-0.8306,-0.2345,-0.4774,1.1356,0.0891,-0.9748,0.1379,-0.5032,0.6381,-0.4006,-0.1371,-0.3134,-0.0142,-0.315,-0.4294,-1.3223,-0.4905,-0.2208,-0.6525,0.4337,-0.8584,-0.1646
0.0741,0.0939,0.3361,-0.4358,-0.329,-0.6718,-0.2409,0.1108,-0.6666,-0.4685,-0.1292,-0.0647,-0.009,-0.2487,-0.6854,-0.8649,-0.4048,-0.218,-0.3131,0.5471,-0.2782,-0.4368
0.2748,-0.2671,-0.5143,-0.9183,0.0879,-0.3005,-0.317,-0.5859,0.1229,-0.3843,0.1917,-0.1787,-0.2457,-0.6125,-1.7629,0.0294,-0.5883,-0.2248,1.1718,0.3926,-0.5168,0.7711
-1.1588,-0.1887,-0.3101,-0.8025,-0.1279,-0.1397,0.4171,-0.8413,-0.6693,-0.4264,1.0306,-0.3879,-0.3909,-0.6968,-0.0713,-0.6513,-0.5102,-0.0739,0.6376,-1.1598,2.4775,-0.5961
-0.6411,-0.2648,-0.7417,-0.7973,0.1491,1.1119,-0.2397,-0.866,1.7936,-0.25,-0.6966,-0.5085,-0.1955,-0.6025,2.7867,-0.4129,-0.3271,-0.2341,0.7616,-0.4308,-0.8863,-1.7219
