"AKR1A1","ALDOB","CA2","CAB39L","CAMK2G","DLGAP5","EPHB6","FAM120A","GABPB1","IFNAR1","IGF2BP3","IL31RA","LRRN3","NCEH1","NGLY1","NSUN3","PLD6","PRLR","RTEL1","TXNDC15","ZBTB7C","ZNF584"
0.4321,12.2775,0.5746,-0.5705,0.4942,-0.5017,-0.2452,-0.7677,-0.783,-0.4101,-0.0485,-0.5321,-0.0117,-0.6249,-0.2488,0.0028,-0.1371,-0.1279,-0.3039,-0.2975,-0.2324,-0.1974
1.262,-0.1574,-0.2888,-0.4371,-0.2153,-0.4818,0.202,-0.0414,-0.9986,-0.3946,-0.8276,-0.4637,-0.1788,0.0426,0.8498,0.0139,-0.4222,-0.1876,1.5191,-0.6124,-0.1892,0.9419
-0.4693,-0.2471,-0.6906,-0.8666,-0.1872,1.1833,0.4649,-0.6763,-0.4107,0.9972,1.1957,2.1774,-0.3101,2.3218,0.2034,-1.5479,-0.679,-0.2504,-0.362,-0.1881,-0.7176,-0.5338
0.9174,-0.2303,-0.5545,-1.3495,-0.0111,-0.2523,-0.2201,-0.6443,-0.1948,-0.5526,0.2528,-0.046,-0.2809,0.1174,-1.7021,0.3483,0.5111,-0.274,1.4683,0.7305,0.3211,0.165
-0.061,-0.2503,-0.2764,0.5573,-0.0624,-0.7,-0.046,0.7203,-0.2625,0.1104,-0.9428,0.827,-0.2899,0.4412,0.348,0.6977,-0.3853,-0.2436,1.144,-0.314,0.7907,-0.6638
-1.31,-0.2563,-0.7744,2.1712,-0.4921,-1.3511,-0.518,-2.3435,-1.1949,-1.2498,-0.9747,-0.5998,10.5114,-1.5221,-0.5468,-0.1332,1.0319,-0.1167,-0.7571,1.8799,-1.1371,0.9571
-1.8667,-0.2655,-0.6202,-0.2563,1.1103,-1.3293,-0.3128,-1.5836,-0.4962,-1.569,-0.9524,-0.5998,-0.2986,-1.1438,-0.5624,-1.07,2.8611,1.0241,1.0144,2.0389,-1.1161,2.213
-1.1819,-0.1675,-0.7257,0.7727,-0.2456,-1.3262,-0.2945,-1.1393,-1.1609,-1.1511,-0.9157,-0.5536,0.4836,-1.4559,-1.3221,0.3081,3.8339,1.2204,0.8062,2.7263,-0.9068,0.654
-1.1774,-0.2545,-0.5999,0.9106,9.1624,-1.3516,-0.5704,-0.6551,-0.5927,-1.1193,-0.9951,-0.5998,4.3286,-1.4916,-2.0343,-1.6803,2.4956,2.1911,-0.205,5.7661,-1.0803,-0.1784
-1.3291,-0.2725,-0.6689,-0.5808,0.6768,-1.3621,-0.5853,-0.3596,1.1804,-0.9067,-0.9842,-0.5998,-0.3238,-1.5405,-0.491,-1.0197,0.6237,11.3184,0.2775,1.6435,-1.2159,1.9674
-1.9602,-0.2696,-0.8156,-0.6038,3.6767,-1.2464,-0.5838,-0.1731,-1.034,-2.3012,-0.9757,-0.5998,5.2708,-1.6263,1.9063,0.1858,2.5952,3.631,0.3979,4.6831,-0.4165,2.0404
-0.8555,-0.2016,-0.5213,1.292,-0.0842,-0.0433,-0.2766,-0.0361,0.382,2.4302,0.0727,-0.283,-0.363,0.0237,0.4099,0.0964,-0.3389,-0.2369,0.7897,-0.7601,-0.466,-0.2125
-0.2577,-0.2433,-0.7436,-0.872,-0.2964,-0.6303,-0.4974,0.3823,-1.5549,-1.2217,-0.9679,-0.5998,0.7936,-1.4993,-1.2289,-1.7545,9.6932,3.8304,-0.232,4.7974,-1.0729,1.3172
-0.1963,-0.2495,0.589,1.6435,-0.4516,-0.9087,0.2362,-0.2187,0.1724,1.0233,-0.5903,-0.24,0.0427,0.4081,0.4741,0.3885,-0.2096,-0.1098,-0.8936,0.2096,-0.3282,-0.7586
-0.3255,-0.1879,2.8971,-1.0404,-0.1097,1.5971,-0.4482,1.7681,1.3954,-0.9594,-0.9851,0.2936,-0.3337,4.0572,0.223,-0.4305,-0.1343,-0.2391,-1.0096,-0.2394,-0.8289,-1.024
-0.5114,-0.2689,-0.4063,0.3663,-0.034,1.4509,-0.4839,0.2239,2.6115,-0.8308,-0.0465,-0.5998,-0.3552,1.675,-0.3738,0.6914,-0.6878,-0.1784,-0.0274,-0.3511,-0.0792,-1.5088
0.6447,-0.0704,0.3737,-0.2287,-0.1805,-0.1447,-0.0334,-1.0694,-0.3241,-0.7383,0.1566,-0.4436,-0.1933,-0.2322,-0.4997,-0.3488,0.0782,-0.2305,0.5203,-0.3153,0.1546,0.3311
-0.765,-0.1383,-0.3898,0.5598,2.0757,-0.1397,-0.3992,1.013,-1.0394,-0.7445,-0.9732,-0.3002,-0.1335,-0.6832,-0.7354,0.1144,-0.1068,-0.249,-0.5352,-0.2332,0.7198,0.264
-0.1934,-0.259,1.709,-0.4713,0.5039,1.2548,2.031,2.2969,0.2565,1.3179,2.1341,-0.5527,-0.3756,0.1551,-0.3028,1.5797,-0.603,-0.2119,-0.7067,-0.7797,1.1255,-0.8697
0.4977,-0.1418,0.4535,1.1147,-0.6454,-1.3608,0.4203,-0.5979,-1.295,0.3139,-0.9589,-0.5998,-0.1585,-1.0112,0.582,-1.0801,1.7403,0.8749,-0.8729,0.2092,-1.0121,0.8653
-0.8298,0.0426,-0.3478,1.4435,-0.76,-0.9702,-0.2279,0.0755,0.1348,1.6825,-0.7648,-0.344,0.6142,0.313,-0.4639,0.4393,-0.0653,-0.0419,-1.0549,0.4985,-0.1159,0.4916
-0.5093,-0.19,-0.174,0.3455,-0.6936,-0.9825,0.2392,-0.1759,0.4165,0.7553,-0.729,-0.4657,-0.0277,1.3731,0.7706,0.6631,-0.3851,-0.1095,-0.9565,0.6495,-0.4511,-0.0478
0.5481,-0.2259,-0.7126,-1.0158,-0.2943,0.3558,-0.1133,-0.4069,-0.1288,-0.0638,0.916,0.196,-0.2159,1.6517,0.3683,-0.3193,-0.4807,-0.2596,1.4302,-0.3378,0.3122,-1.0122
0.0966,0.6836,-0.3486,0.294,-0.6432,-0.5309,-0.2644,-0.5152,-0.6471,1.5926,-0.9379,-0.5998,0.0052,-0.3521,-1.5351,0.6768,0.0111,-0.2427,-0.3692,0.4505,-0.5041,-0.4532
-0.7199,-0.2252,-0.6611,0.2712,-0.3059,2.8195,-0.2265,0.2756,3.2447,-0.3762,1.1615,0.8446,-0.2824,0.6716,-0.9271,0.811,-0.2762,-0.1935,-0.3098,-1.5124,-0.8992,0.3873
0.4206,-0.1469,-0.3792,-0.6545,0.2596,0.0668,0.608,0.9221,-0.5277,-1.061,1.1174,-0.4348,-0.3856,-0.5756,-0.2862,1.9112,-0.4659,-0.1258,2.2992,-0.4193,0.5402,-0.7053
