"ANKIB1","LIG3","DBF4","HFE","ATP2C1","RUFY3","AQR","ARNTL2","EDC4","RAB27B","LSG1","DSG2","HERPUD1","POLQ","LAMA3","LAMC2","PARP12","ZNF76","SEC61A2","CHFR","SRI","LRCH4","UBE2K","REXO1","RAPGEF3","CD59","RRN3","ALG9","LAG3","RAB11FIP3","ALKBH5","TMEM101","CDC45","SH2D3C","SRPK1","HNRNPH3","KLHL22","HMGXB4","HDAC10","PLEK2","RSPO4","TAF1C","MTFMT","ESRP1","CHRAC1","KCNN4","DMPK","IL27RA","MIER2","PLEKHA4","CRTC1","ZNF14","RUNDC3B","CDK6","BET1","MET","TAX1BP1","RLN1","UNC119","GNRHR","OSBP","CD81","SLC35F2","OAS2","TFEB","TFG","TP53I3","KCNJ13","TRIM67","RNF2","RPL21","WWP1","HJURP","IL17C","TREM1","NRSN2","SBDS","BEST3","MPST","PRKRIP1","MOSPD2","GADD45G","DNMT1","LRP3","ATP6V1E1","CAP1","ACAP3","TOP2A","PRMT7","SLC39A11","MRPS36","TIMM17A","ARHGAP32","PRR5L","NAT10","BRIP1","USP20","RNF121","KIF23","HAUS2","CLCA2","PNPT1","CENPO","MYPN","HCN4","FGF5","SHROOM3","VAMP1","VPS37B","RHOF","MBNL2","CMTM2","DPEP3","GFOD2","PELP1","PADI1","NXPH2","PHOSPHO2","EIF2A","NCEH1","SRD5A1","CDCA5","TATDN1","PLIN2","LRSAM1","DGKZ","CHEK1","DUSP15","EPS8","PTPN14","ZNF256","CAST","SLC25A27","TMSB4Y","WNT7A","PEX10","B4GALT5","HTR6","ZNF276","RACGAP1","FLYWCH2","TTC9C","PDZK1IP1","FBLIM1","MSX1","IWS1","S100A12","LRRC58","ZNF148","PIGX","F2RL1","TRA2A","MELK","LRRC18","REEP3","E2F7","TMCO5A","NOLC1","ZNF3","ZSCAN21","STAT6","MYO5B","ZNF23","NFKBID","ZNF83","SETD5","TM4SF20","P2RY12","ZNF804A","ARMC10","RNF139","LRRC8E","BPGM","ZMAT3","C11orf86","PRPF8","NPAS4","MRPS22","EIF1AD","RAB6A","LYSMD3","ZNF404","ANAPC2","B3GNT8","ZNF491","HNRNPA0","TMEM139","GPC5","SPDYE7P","D2HGDH","DDX60L","FAM181B","C8orf33","NDN","RBM10","AP2A2","MYBL1","FAM186A","C15orf41","UBE2H","MESP2","EVL","HRH1","TRPV1","PGAP1","MYO5A","S100A10","MBP","MIER1","ZNF485","HLA.DRB5","WDHD1","TYW1","TAP2","GABBR1","SAMD9","SYT3","LTC4S","GPC2","PEX26","LINGO3","TNFRSF13B","RPSAP52","CDK3","TUG1","RACGAP1P"
17.2,9.62,6.9,6.71,37.47,41.95,11.05,28.21,20.58,3.64,17.16,20.64,68.83,5.2,45.09,63.98,11.01,22.55,2.47,26.92,48.05,28.78,17.25,9.06,4.53,200.41,11.79,9.11,0.55,13.78,20.22,7.24,4.07,2.89,17.85,26.32,12.84,8.04,19.64,4.72,0.2,20.45,5.28,13.71,6.79,13.11,31.97,4.29,5.5,5.79,6.15,4.4,1.18,22.51,11.21,48,50.06,0.13,9.33,0,13.12,145.46,8.45,11.08,5.39,38.68,9.95,0.04,0.05,11.91,32.52,26.21,3.86,0.02,2.47,4.85,35.94,0.05,9.71,17.7,7.24,1.28,24.38,5.78,50.38,134.19,18.01,20.29,20.48,10.01,7,23.72,21.99,8.56,10.84,2.61,7.37,13.7,7.66,6.58,0.79,47.88,2,0.43,0.05,1.35,10.49,10.74,16.38,2.64,53.76,0.33,0.05,3.17,6.54,5.13,0.82,1.82,31.55,9.94,6.11,2.56,11.65,15.26,10.66,18.21,9.24,0.49,26.25,34.74,2.78,71.4,9.75,0,0.57,4.9,17.77,0.07,31.2,8.28,8.27,12.93,7.68,36.87,1.99,25.24,0.3,13.52,18.81,7.23,10.52,60.07,3.45,0.18,27.64,1.17,0.02,18.32,15.63,3.16,50.78,6.48,2.99,6.37,58.26,44.19,0.14,2.23,0.26,20.56,12.33,2.01,12.46,14.37,0.08,37.74,0.19,15.71,9.09,38.26,8.13,1.6,17.5,0.49,0.8,24.39,3.8,0.19,0.09,31.56,8.56,0.81,10.02,13.24,8.87,19.24,1.54,0.29,3.08,36.43,0.17,30.96,2.58,2.78,9.3,12.05,101.59,9.35,20.24,1.18,150.21,3.19,10.97,7.13,32.65,12.3,0.19,1.76,2.28,10.42,0.03,0.54,0.46,15.81,37.71,0
7.23,3.45,8.84,3.64,11.35,2.14,3.29,26.23,5.06,5.28,9.38,37.25,28.85,1.96,59.36,176.91,10.68,2.95,0.67,7.45,64.37,11.98,37.55,2.7,3.9,332.37,7.79,5.88,0.01,0.68,17.48,15.08,5.1,0.04,12.09,16.15,1.8,5.55,1.54,17.97,0,2.46,3.51,12.84,6.4,12.81,0.85,0.27,1.81,3.95,0.62,0.64,0,10.24,4.76,61.22,29.56,0,3.24,0,5.75,13.08,24.13,3.34,0.5,26.16,14.86,0,0,3.72,386.19,2.23,8.63,0.04,0,0.66,35.38,0.01,6.96,7.98,1.04,0.16,12.85,0,21.15,123.28,3.36,24.68,5.3,17.5,20.06,31.16,6.31,0.1,6.23,0.92,1.38,30.06,8.44,8.77,0,10.07,6.02,0.05,0,0.02,37.14,0.37,26.07,60.23,9.44,0,0,3.32,5.56,88.15,0,2.15,37.59,27.52,3.95,16.2,16.83,0.43,2.09,5.9,20.01,0,22.36,4.83,0.8,58.43,0,0,4.67,11.06,19.15,0,2.32,45.36,5.39,9.95,9.23,8.83,0.47,11.38,0,3.78,11.89,5.75,27.52,17.76,14.03,0,11.11,2.21,0,11.08,4.56,2.52,47.48,6.53,1.48,1.61,14.61,7.3,0,0,0,9.15,5.61,2.9,3.86,1.53,2.53,9.02,0,37.47,18.57,28.96,5.57,0.61,3.89,0.29,0,22.35,34.74,0,0,4.01,12.87,0,9.1,0,9.27,7.18,2.1,0,3.47,18.31,0.58,0,3.51,0.15,0.29,0.54,217.67,22.77,7.06,0.85,0.36,12.4,3.53,5.96,0.16,9.61,0,0,0.18,7.05,0,0,0.44,0.47,3.72,0
16.81,7.02,5.99,4,29.22,10.24,8.31,24.81,11.87,6.07,10.43,51.32,31.48,1.72,66.58,110.52,16.86,5.11,1.56,8.5,82.68,17.53,19.73,4.25,4.17,164.51,10.27,5.03,0.37,3.31,16.42,10.64,2.55,1.67,17.26,22.64,4.82,8.03,5.59,11.35,0,5.62,3.95,38.23,10.99,19.67,2.79,2.04,5.07,1.84,1.24,2.9,0.21,18.23,10.16,82.56,93.18,0.15,5.4,0,17.88,97.16,7.63,19.82,5.25,33.2,14.72,0,0.03,16.46,45.39,24.51,5.51,0.12,3.42,2.6,34.34,0.08,17.51,6.63,5,0.71,8.71,2.27,50.15,140.12,3.7,27.97,8.96,19.53,4.62,16.26,23.55,10.4,10.14,1.93,2.95,8.34,6.86,6.53,0.06,15.27,2.96,0.08,0,0.48,22.93,1.76,22.97,27.28,74.57,0.07,0.01,2.7,5.95,33.27,0,1.96,31.33,14.74,7.05,3.3,15.23,21.69,3.98,10.65,7.29,0.15,62.57,11.46,0.71,94.87,0.95,0,3.58,5.48,46.57,0.01,6.44,11.58,7.22,13.2,44.49,33.8,0.59,17.25,0,9.36,14.03,4.24,17.51,19.9,5,0.02,38,1.14,0,18.3,10.75,3.26,29.88,10.36,2.89,1.78,23.26,30.33,1.18,0.29,0.02,21.24,11.72,2.95,7.14,5.78,0.61,44.14,0.04,15.39,9.2,40.99,4.42,0.88,4.14,1.12,0.58,12.94,16.14,0.02,0,4,15.7,0.11,12.54,5.85,8.02,12.56,0.99,0.06,3.39,43.39,0.09,14.18,12.01,0.57,3.19,6.55,235.59,7.23,16.45,1.43,9.81,2.17,6.67,6.96,4.22,5.61,0.15,0.25,0.63,8.61,0.06,0.47,0.23,1.58,21.98,0
22.03,8.64,5.46,5.83,38.77,20.51,16.56,13.42,9.7,6.85,18.61,68.59,53.13,1.24,331.55,332.78,33.48,4.85,3.49,14.38,44.01,18.19,20.53,5.46,3.34,311.73,24.49,11.18,0.64,9.04,19.76,4.78,0.68,1.61,28.97,52.81,4.56,6.63,4.53,29.01,0.01,6.05,5.16,40.05,9.84,27.41,6.12,1.95,5.36,3.46,1.98,3.57,0.66,25.88,12.63,45.35,192.15,0.07,6.44,0,26.54,138.42,19.95,34.91,6.55,39.15,22.94,0,0.08,14.5,17.52,37.15,1.23,0.59,2.1,3.15,83.43,0.59,11.55,7.53,10.02,2.82,15.04,2.41,30.41,157.17,6.66,10.87,9.34,19.08,10.84,19.6,35.11,14.47,11.57,1.28,4.31,11.63,5.04,9.85,0.02,14.66,2.32,0.04,0.01,0.48,19.07,1.85,27.16,18.68,44.19,0.08,0.03,3.59,4.3,8.71,0,1.96,43.93,18.41,7.91,2.64,13.42,12.2,4.71,12.94,5.48,0.41,49.78,9.88,2.39,110.02,4.68,1.46,0.12,4.85,24.94,0.01,8.08,9.75,9.46,14.44,66.09,43.99,1.61,24.01,0.05,11.41,16.73,12.99,23.23,48.09,8.83,0.03,36.3,4.14,0,19.5,16.71,3.82,43.35,36.73,2.7,3.38,40.22,27.65,8.93,1,0.06,24.15,12.73,4.23,8.22,8.16,1.32,40.26,0.05,12.95,15.32,66.9,2.11,0.96,6.84,1.86,0.83,21.74,13.04,0.19,0.02,2.4,28.37,0.06,10.45,4.98,11.52,17.94,1.18,0.05,3.26,42.14,0.29,14.15,3.01,0.29,4.16,7.23,651.24,15.86,22.17,1.21,44.84,2.31,8.29,10.07,6.71,70.29,0.02,0.47,0.86,7.41,0,0.03,0.33,0.87,33.4,0
10.44,6.75,14.75,2.6,24.65,6.4,13.45,15.74,5.46,3.73,14.31,224.38,22.3,2.62,147.77,101.72,29.92,4.6,1.48,5.07,49.18,1.86,22.4,0.98,1.97,309.18,13.28,5.73,0.9,1.69,12.59,13.13,19.57,1.63,24.53,18.24,5.47,7.59,1.35,54.05,0,2.6,8,21.06,15.86,3.9,2.18,2.59,1.99,1.3,0.35,2.69,0.53,7.89,11.99,17.15,47.62,0.07,6.02,0,9.89,89.92,8.12,54.24,2.25,29.03,22.04,0,0.01,17.01,141.8,11.15,10.55,0.03,5.18,1.92,33.88,0.16,10.18,4.92,5.43,0.31,9.03,0.4,92.21,130.05,2.42,71.67,9.17,6.97,13.75,45.22,3.8,1.77,16.17,3.85,1.78,5.3,20.79,13.18,14.68,26.21,5.52,0.03,0,0.26,3.18,1.33,3.91,2.44,13.09,1.06,0.05,2.03,6.36,0.14,0.03,2.79,47.51,6.2,3.42,3.41,59.65,27.67,2.01,6.06,10.99,0.07,14.33,5.75,0.94,75.69,1.18,0.56,0.81,3.35,23.28,0,3.55,25.23,4.01,10.67,6.41,14.53,1.1,14.67,8.66,12.05,10.81,8.99,16.23,24.79,21.03,0.04,29.54,1.34,0.01,22.68,6.42,2.5,14.41,1.48,2.8,0.89,15.18,11.17,0.05,0.73,0.05,18.63,21.91,7.27,7.68,2.81,0.03,24.01,0.02,49.68,8.95,21.55,1.51,1.18,2.96,0.18,0.61,10.11,0.49,0.02,0,1.71,13.06,0.03,24.64,5.11,7.18,8.57,1.23,0.01,3.13,15.11,0.56,7.69,4.47,0.2,2.39,6.82,448.98,3.5,12.3,7.03,43.25,9.12,5.76,15.61,1.93,46.98,0.04,0.03,0.14,9.96,0,0.05,3.98,0.77,18.27,0
16.38,9.36,4.48,6.71,42.28,10.51,13.48,18.33,10.68,6.28,18.41,35.91,62.78,0.85,27.61,78.77,14.12,3.69,1.36,7.01,84.83,9.78,22.27,4.99,2.65,232.83,18.03,8.84,0.11,5.46,20.47,6.23,1.84,1.86,21.82,34.59,5.13,9.5,5.86,17.8,0,5.89,5.31,22.01,11.3,14.72,5.38,3.11,4.34,3.68,1.7,3.01,0.41,22.62,11.22,48.15,68.96,0.03,3.86,0,20.07,132.01,8.53,12.55,7.29,42.81,12.09,0,0.05,7.9,21.65,26.41,1.77,0.15,5.61,2.71,51.52,0.04,19.04,5.86,6.91,1.44,10.56,3.58,45.09,149.57,3.03,8.45,12.31,22.5,10.32,14.86,16.06,4.17,8.81,1.37,2.59,9.09,3.5,8.19,0.02,11.04,1.34,0.06,0,0.36,40.1,1.31,15.26,10.58,40.95,0.25,0.02,3.8,4.68,5.36,0.02,2.07,41.68,22.56,7.47,1.39,13.12,15.57,2.95,10.11,4.33,0.15,54.39,14,1.39,112.25,2.1,0,1.64,5.28,22.6,0.02,5.72,6.59,9.51,10.42,129.47,40.43,1.56,16.8,0.18,15.47,17.23,11.12,31.57,22.77,3.03,0,51.42,0.65,0.06,20.04,9.97,3.38,28.55,15.39,3.72,1.01,17.5,19.35,6.09,0.19,0.08,20.11,14.35,1.83,11.69,8.41,0.18,32.1,0.03,17.71,9.86,43.29,9.48,0.18,4.29,1.09,0.85,25.33,9.06,0.12,0,3.83,8.16,0.05,9.3,9.31,9.62,16.21,1.12,0.01,4.22,43.21,0.31,12.22,5.21,0.21,3.13,6.28,356.36,7.04,23.29,2.12,9.78,2.87,7.15,12.61,3.26,16.57,0.52,0.89,0.24,10.86,0,0.11,0.68,0.58,34.44,0
13.04,10.13,4.67,4.3,40.46,8.29,6.62,3.53,12.24,19.24,15.07,59.36,47.59,0.68,56.61,94.17,18.04,7.43,1.51,7.44,94.38,10.02,11.61,2.89,5.09,226.87,16.28,9.6,0.71,4.39,14.99,13.76,1.61,1.63,29.2,27.26,3.36,8.72,8.17,19.88,0.01,6.01,4.17,35.51,8.05,69.65,8.86,6.57,3.04,4.46,2,3.54,0.33,13.05,8.22,32.87,65.54,0.05,3.3,0,27.88,118,5.62,19.69,9.19,35.8,14.63,0.06,0.03,13.78,41.71,24.97,1.67,0.01,0.17,2.76,54.17,0.05,34,6.44,7.76,1.33,8.5,1.85,50.51,136.04,5.4,59.13,11.81,31.53,8.11,17.51,30.96,15.81,16.45,0.99,3.1,8.78,2.51,3.98,0.04,13.78,2.55,0.1,0,0.49,46.71,0.64,25.34,5.19,55.26,0.17,0.03,3.86,5.04,6.8,0,2.52,34.09,14.85,5.96,1.31,12.73,15.9,3.07,11.83,3.06,0.14,41.02,10.74,0.55,133.45,1.27,0.87,0.44,6.92,20.24,0.01,8.53,9.43,5.2,8.64,143.17,31.74,0.38,17.2,0,9.96,18.8,5.04,36.02,19.18,1.57,0,29.95,0.37,0.46,29.08,9.65,3.53,55.26,16.59,2.79,1.48,10.22,27.7,9.01,0.29,0.02,18.03,12.15,4.67,6.11,3.82,0.94,34.24,0.01,15.21,11.54,40.64,6.25,0.71,3.74,2.21,0.78,20.4,7.53,0.2,0.05,4.68,7.8,0.03,11.38,3.7,3.38,17.32,0.65,0.03,2.37,24.05,0.03,6.21,3.82,0.48,4.26,2.7,192.91,10.17,18.15,3.91,18.41,2.68,7.36,10.23,2.21,16.21,0.02,2.14,0.12,9.89,0,0.06,0.05,1.23,31.31,0.01
20.01,11.64,9.11,2.06,32.3,7.54,6.17,6.01,7.98,6.69,15.53,72.79,37.68,0.59,25.12,68.24,13.98,4.58,1.67,8.37,123.16,17.82,20.66,2.07,0.99,99.5,7.39,8.08,0.25,2.76,14.43,21.72,1.52,0.96,35.63,13.3,2.92,4.19,3.89,15.96,0,3.54,4.99,25.81,14.42,72.83,3.35,0.27,2.45,5.2,1.4,3.7,0.15,28.07,10.77,102.2,139.41,0.02,7.71,0,17.84,62.83,2.94,7.05,5.55,26.74,6.42,0,0,16.07,87.13,24.69,2.83,0.14,0.79,0.91,43.48,0.04,43.2,6.15,3.94,1.79,6.19,1.84,53.79,130.98,2.58,17.67,11.56,13.45,14.96,20.25,22.49,12.18,11.67,0.51,2.69,7.63,2.56,5.4,0.01,12.65,2.09,0.04,0.01,0.07,51.45,0.25,28.99,1.92,47.4,0.14,0,4.12,3.56,8.88,0,1.4,48.64,15.12,22.6,3.01,21.35,16.36,2.09,11.13,3,0.11,22.04,9.54,0.95,111.69,0.47,0,0.05,8.25,14.65,0,5.3,9.69,7.77,13.25,54.91,35.15,0.31,10.25,0.1,11.87,14.74,5.41,27.45,6.62,7.66,0,33.28,0.38,0.05,26.98,14.6,5.18,26.24,17.58,3.08,1.44,34.52,14.32,0.05,0.33,0.01,32.3,9.81,2.72,7.18,5.22,0.02,22.96,0,24.81,10.56,40.22,4.24,2.38,3.1,1.04,0.12,18.68,8.18,0,0,7.4,3.48,0.01,14.28,1.86,8.76,10.31,0.29,0,2.24,29.84,0.15,2.57,2.81,0,2.28,1.51,379.09,6.19,14.5,3.06,7.16,2.74,10.19,10,0.51,9.68,0.03,4.14,0.16,6.4,0,0.04,0.22,0.61,24.32,0
11.09,6.91,4.67,3.49,31.44,8.09,9.56,10.03,11.7,9.47,9.77,34.7,63.04,0.77,63.62,279.19,22.24,4.07,1.76,9.66,61.38,14.49,15.36,4.07,7.33,271.48,14.42,6.5,0.15,5.31,19.8,10.26,2.01,2.39,12.24,13.3,4.83,6.77,6.3,39,0.01,3.33,4.8,11.29,6.41,28.68,3.04,2.12,4.15,4.39,1.28,1.44,0.26,19.71,6.56,40.43,64.95,0,8.42,0,16.47,142.64,12.31,14.93,7.9,26.23,9.54,0.01,0.05,10.53,42.39,17.42,1.77,0.1,12.96,2.31,50.5,0.69,25.08,7.08,6.76,5.52,9.57,6.86,58.21,211.14,4.82,9.02,12.22,29.35,8.79,22.66,17.4,11.02,6.67,1.28,3.65,7.19,2.79,5.3,0.01,7.89,2.07,0.23,0.02,0.21,44.22,1.53,10.87,16.59,40.35,2.37,0.02,5.71,4,2.75,0,1.58,21.81,12.09,4.58,2.1,5.26,38.72,3.6,14.26,2.18,0.51,44.04,10.1,1.09,95.95,0.92,0,0,6.08,19.46,0,8.25,8.01,12.21,12.13,130.12,55.13,1.44,12.36,0.58,5.65,14.09,8.83,30.9,15.23,2.04,0,17.54,0.42,0,14.26,11.23,2.01,52.52,15.18,2.53,2.11,5.77,11.47,0,0.59,0.12,18.4,8.97,2.8,7.68,4.47,0.35,27.66,0.04,12.34,10.64,28.23,6.67,0.53,5.25,1.36,0.42,16.25,5.61,0.11,0,4.16,10.2,0.04,6.43,9.63,9.71,9.89,0.63,0.02,2.86,34.25,0.36,13.48,5.6,0.35,1.99,6.94,400.99,13.23,18.45,1.29,90.81,2.22,7.65,9.27,1.1,46.31,0.28,1.7,0.58,11.55,0,0.07,0.12,0.77,19.52,0
15.55,6.99,3.96,4.79,29.32,10.78,11.79,18.44,9.94,5.51,12.65,58.56,38.07,1.28,120.67,144.2,25.89,5.2,2.53,12.58,47.94,13.67,15.47,2.96,4.35,337.36,8.81,5.99,0.44,5.65,15.54,9.15,1.76,1.33,13.79,23.02,4.95,4.42,5.84,18.09,0.05,7.09,4.93,14.38,6.83,30.1,7.47,0.88,4.9,5.03,3.33,2.74,0.19,29.34,4.78,40.45,45.09,0.05,7.17,0,18.41,168.99,5.75,35.49,6.58,37.08,16.71,0,0.05,9.66,27.42,11.33,3.05,0.26,2.46,6.82,32.59,0.23,9.74,8.15,4.39,3.49,10.77,4.63,29.78,111.97,7.42,11.8,13.71,15.52,4.64,11.34,22.79,22.11,14.12,1.03,3.06,12.45,9.42,7.49,28.05,10.21,2.81,0.08,0.05,0.72,11.4,2.03,15.42,5.7,29.86,0.35,0.01,4.39,3.69,2.36,0,1.18,19.83,9.02,11.29,2.75,4.02,9.48,3.94,15.97,4.98,0.32,24.43,15.98,2.97,104.84,1.69,0,1.84,5.97,25.88,0,10.18,10.25,8.52,11.55,36.43,38.49,0.9,14.86,0.22,4.62,14.72,6.12,11.85,22.03,4.24,0.07,19.69,2.03,0.08,16.58,10.2,4.01,30.71,8.89,2.65,1.67,21.83,19.27,0.15,0.29,0.02,18.54,9.24,1.49,7.12,5.06,0.16,27.46,0.01,11.85,11.61,36.41,3.66,0.8,7.17,0.93,0.49,18.1,8.01,0.01,0,6.82,8.34,0.19,8.11,6.5,11.68,12.5,0.69,0.03,5.77,35.01,0.35,14.51,4.26,0.39,2.81,10.04,183.01,6.75,10.29,1.35,12.22,3.49,8.06,12.31,3.87,18.76,0.09,0.45,1.2,7.54,0.01,0,0.49,1.96,23.9,0
11.94,6.89,2.21,2.21,19.32,6.2,6.06,11.43,7.24,16,7.09,50.14,31.77,0.46,94.58,165.9,10.54,3.29,1.19,6.7,43.92,7.6,9.23,3.46,4.01,171.93,9.33,5.44,0.22,4.9,18.37,9.54,1.38,2.12,8.97,12.23,5.08,4.98,5.02,14.14,0,3.95,3.8,13.31,5.13,17.6,11.84,0.92,4.66,4.39,1.49,1.4,0.56,14.13,4.41,45.49,35.23,0.05,4.94,0,11.43,144.21,2.59,6.35,4.62,18.78,19.02,0,0.03,8.39,43.15,10.5,1.1,0,1.63,2.91,33.46,0.01,18.14,3.97,4.78,0.84,7.4,7.96,38.11,93.04,3.07,4.14,8.04,13.36,5.44,12.67,18.36,8.76,6.17,0.76,3.39,6.41,2.29,3.09,0.05,7.82,1.39,0.02,0.01,0.15,10.75,2.01,11.69,7.93,22.46,0.07,0.18,2.71,4.48,8.63,0,1.04,19.06,6.53,3.6,1.08,6.91,16.94,3.14,9.01,2.39,0.17,75.25,9.72,1.18,77.91,0.56,0.84,7.56,4.17,16.27,0,3.34,5.15,6,7.52,42.55,24.1,0.72,9.97,0.16,5.14,12.67,9.56,23.36,12.22,0.97,0.04,20.15,0.47,0,8.94,6.73,2.01,28.5,27.62,0.99,1.36,6.8,12.09,2.37,0.81,0.08,11.55,8.98,1.75,4.54,9.11,0.97,25.07,0.03,12.68,7.28,23.26,3.14,0.16,4.62,1.01,0.63,19.19,1.34,0.05,0,3.32,5.2,0.16,5.86,10,8.66,11.01,0.62,0,2.17,31.04,0.1,14.38,5.39,0.31,2.23,6.47,247.88,13.47,10.97,0.96,29.85,1.31,4.55,4.92,1.87,9.06,0.12,2.23,0.28,9.27,0.05,0.05,0.24,0.46,13.96,0
20.82,15.69,17.07,5.21,35.75,10.39,9.34,20.16,12.1,12.47,30.17,39.42,60.7,2.23,13.81,51.85,18.1,9.16,1.62,8.32,351.83,10.48,26.57,4.54,2.91,142.27,14.4,6.45,1.45,4.89,38.97,8.81,6.49,1.76,36.03,31.55,5.84,11.72,3.79,18.83,0.07,4.13,8.29,59.1,14.51,1.04,9.49,2.74,3.87,4.01,1.38,4.3,0.5,8.98,17.71,25.09,64.65,0.13,6.36,0,12.49,50.47,0.85,9.43,1.46,65.5,12.95,0.02,0.01,11.55,45.35,18.33,6.19,0,4.26,2.45,42.04,0.02,24.58,10.63,6.5,4.45,30.73,2.14,46.39,133.12,2.8,45.59,10.99,35.64,11.94,22.4,17.06,19.69,15.38,4.93,4.67,4.76,14.24,6.81,2.58,14.04,4.38,0.08,0.01,0.27,41.24,1.51,17.75,1.28,31.67,0.21,0.05,3.49,7.81,0.67,0.09,2.78,42.26,16.63,4.61,2.91,16.6,23.68,4.16,15.26,5.12,0.12,30.88,4.27,0.72,94.23,1.36,1.99,0.02,4.67,16.02,0.01,4.89,17.13,6.75,9.1,37.1,14.79,1,16.51,0.48,12.3,18.92,9.42,13.06,21.1,9.5,0.02,19.98,2.33,0.01,23.25,17.28,3.49,26.23,28.92,3.25,1.1,15.97,29.67,0.48,0.17,0.16,31.18,11.51,1.14,7.49,5.13,0,49.88,0.03,17.9,8.24,32.46,5.09,0.6,6.37,3.64,0.28,30.49,0.74,0.08,0,3.61,13.12,0.59,13.89,4.45,12.72,19.87,0.91,0.05,1.17,31.26,0.44,6.5,4.82,0.37,5.23,4.23,248.47,13.61,26.2,2.98,20.27,7.67,6.66,4.15,3.73,7.25,0.03,1.05,0.14,9.42,0.03,0.05,0.08,2.58,50.94,0.05
15.03,6.14,3.22,4.69,35.98,7.23,11.87,22.03,6.94,10.48,14.88,181.88,28.2,1.51,41.77,93.99,18.05,4.59,0.57,7.93,66.47,7.44,16.78,4.44,4.04,420.96,11.7,10.11,0.08,2.47,20.06,12.93,2.88,0.73,22.9,11.68,2.97,8.42,4.05,101.57,0.1,2.42,4.46,43.72,13.43,25.35,3.22,1.75,5.74,2.73,1.06,2.43,0.27,11.56,4.41,69.61,64.68,0,6.55,0,20.23,127.88,14.51,14.04,3.35,49.08,13.27,0,0.03,10.15,54.7,21.09,3.94,0.19,7.19,1.37,36.96,0.04,30.3,4.26,5.44,0.99,8.76,4.38,47.93,357.99,2.6,20.9,5.99,10.92,11.52,17.2,22.1,6.63,13.91,1.63,2.28,13.05,6.53,10.7,0.1,10.7,2.27,0.07,0.02,0.31,22.56,0.56,23.53,39.15,49.28,0.06,0,2.99,5.21,39.61,0.02,1.2,65.87,14.92,4.33,5.65,16.99,59.3,2.56,9.63,10.11,0.17,58.26,7.93,3.05,115.41,0.64,0,4.83,3.82,34.53,0.02,3.27,16.66,4.24,12.76,30.71,51,0.89,11.92,0.05,8.08,20.36,5.46,103.51,9.81,5.77,0,29.56,1.32,0.04,18.44,5.98,2.01,38.65,16.89,1.33,1.22,12.29,23.79,0.11,0.2,0.01,14.24,13.41,6.98,4.63,3.88,10.77,29.62,0.01,35.93,12.36,49.59,3.71,0.56,3.78,1.64,0.28,20.54,9.66,0.02,0,2.32,5,0.03,11.08,4.19,10.19,12.4,0.8,0.02,2.15,31.41,0.04,7.09,8.47,0.04,1.76,6.95,377.06,7.29,12.42,1.1,16.85,4.35,5.45,9.12,2.34,10.64,0.04,0.8,0.29,8.78,0,0.07,1.92,1.19,19.05,0
8.63,3.55,11.59,3.73,10.98,4.56,4.39,18.55,4.8,3.6,10.2,23.19,12.22,1.61,120.48,243.01,10.94,4.37,1.76,4.56,68.18,6.45,32.78,2.14,1.08,166.16,12.78,5.29,0.04,1.91,19.03,9.76,7.98,0.06,20.87,26.3,2.67,7.74,1.28,19.31,0,2.91,7.72,16.93,11.93,10.35,1.04,1.44,2.26,4.19,0.28,0.74,0.03,12.95,6.89,32.87,53.17,0.03,4.32,0,7.01,17.84,13.85,1.71,1.12,23.98,25.63,0,0,6.25,373,7.03,16.36,0.03,0.03,1.68,67.27,0.03,7.92,5.93,3.7,0.17,8.65,6.48,34.84,174.98,2.68,63.68,6.34,16.21,23.21,52.23,3.37,1.6,6.28,2.99,1,16.61,44.5,8.09,0.06,11.06,6.17,1.22,0.04,0.26,20.6,0.29,17.1,15.22,11.79,0,0,3.92,7.2,19.36,0.11,1.24,26.13,13.65,5.26,11.63,36.68,11.6,1.45,5.65,18.19,0.08,20.89,7.4,2.67,46.7,0.11,0.85,1.11,9.45,10.65,0,2.3,53.46,6.95,11.82,8.77,23.32,1.73,13.92,0,6.43,9.02,4.77,36.34,26.6,15.55,0,16.17,2.17,0.08,16.13,4.14,2.66,23.69,4.22,1.47,1.8,7.65,7.73,0.01,0.05,0.02,6.97,11.18,1.6,5.39,1.18,1.38,12.41,0,31.37,11.36,18.09,1.84,0.32,3.9,0.38,0.06,27.71,20.55,0,0,2.07,12.87,0.08,16.31,0,10.09,7.46,4.72,0.01,2.31,15.9,0.32,1.22,5.4,0.23,0.66,1.64,283.4,5.93,6.81,1.32,4.74,9.61,7.16,10.49,0.96,12.21,0,0.03,0.32,6.58,0,0,2.2,0.15,12.02,0
