PatientID,SMAGP,TAP2,TMEM48,UBE2H,USP20,UTP23,WDR8,WHSC1L1,WNT7A,ZBTB46
TCGA-F2-A44G,-0.2848,0.5272,1.1879,0.0776,-0.9642,0.0621,0.8371,0.1902,0.0914,-0.3008
TCGA-F2-A44H,-1.0355,-0.5962,-0.7098,-0.2391,-0.3517,-0.4064,0.0917,-0.3052,-0.6842,0.2729
TCGA-F2-A7TX,0.9536,2.5778,2.0554,1.8658,-0.6354,1.4819,-0.2789,1.2265,1.0483,-0.5986
TCGA-F2-A8YN,-0.0696,1.4908,0.4724,1.1936,-0.2736,-0.9873,0.0592,-0.4933,-0.5925,-0.6133
TCGA-FB-A4P5,-0.5272,0.3937,-0.0162,-0.9953,0.8164,-0.5232,0.3827,-0.5801,-0.8488,0.0839
TCGA-FB-A4P6,-0.2225,-0.1846,-0.4196,-0.7379,0.2273,-0.4116,-0.1491,0.3458,-0.6363,0.5685
TCGA-FB-A545,-0.8544,0.2089,0.1457,0.3728,-0.4615,-0.041,0.8992,-0.124,2.2617,0.7748
TCGA-FB-A5VM,0.0306,1.5705,1.202,-0.9658,0.7923,1.0786,-0.6573,-0.9392,0.3812,-0.5792
TCGA-FB-A78T,1.3689,0.0367,-0.7829,-0.3644,0.2451,-0.6034,0.7685,0.3141,-0.8264,-0.7537
TCGA-FB-A7DR,-0.8921,0.4012,-0.5626,1.1023,0.3501,-1.0781,-0.8177,-0.5566,-0.8526,-0.4793
TCGA-FB-AAPP,1.0219,-1.1876,0.3322,0.8038,-0.3928,-0.1025,0.8121,-0.5839,-0.8631,-2.0582
TCGA-FB-AAPQ,1.3859,-0.5914,-1.1608,1.8156,-1.0322,-0.7319,-1.5916,0.6025,-0.5585,-1.1409
TCGA-FB-AAPS,-1.2724,-0.2974,-1.1105,-0.985,0.4643,-0.8691,0.6,-0.5113,-0.0642,0.9864
TCGA-FB-AAPU,1.7852,0.6451,1.4369,1.5128,-0.4483,-0.2376,-1.1707,0.5223,-0.1733,-1.1326
TCGA-FB-AAPY,0.2526,-0.1681,-0.5275,-1.2147,-0.0915,-1.3656,1.3643,-0.2015,-0.5555,-0.0293
TCGA-FB-AAPZ,0.2784,-0.4395,-0.1066,-0.0569,-0.0746,-1.0354,0.1182,-0.571,-0.6409,1.0171
TCGA-FB-AAQ0,0.0727,0.2705,-0.4511,-0.158,-0.8,-0.9644,1.2185,0.0809,0.0643,-1.0681
TCGA-FB-AAQ1,-0.2783,-0.243,-0.0654,2.0705,-0.923,-0.4524,-0.5146,-0.1473,-0.8402,-0.3117
TCGA-FB-AAQ2,-0.2893,0.7288,8.4484,-0.002,0.0143,1.3183,0.2521,-0.9588,0.5612,-0.9706
TCGA-FB-AAQ3,0.6767,-0.4516,-0.6956,-1.2322,-1.0848,0.3901,0.772,-0.9135,0.5336,-1.4642
TCGA-FB-AAQ6,0.7865,0.2564,-0.7025,0.0359,-0.9669,0.0756,-0.4164,0.3212,-0.2288,-0.6446
TCGA-H6-8124,-0.8835,-1.1788,1.2052,-1.0716,-1.2228,1.5744,-0.259,0.443,1.7163,1.109
TCGA-H6-A45N,-0.2754,-0.2117,-0.5226,-0.6806,0.4367,-1.1199,0.5693,-0.2307,0.3577,1.8745
TCGA-H8-A6C1,-0.7647,-0.0176,0.9343,-1.307,-0.5906,-0.2306,0.943,-0.339,-0.5202,0.4825
TCGA-HV-A5A3,1.1164,0.239,-0.6028,0.6921,0.2347,1.7972,1.5353,0.7713,0.2117,0.7151
TCGA-HV-A5A4,0.2766,0.4173,-0.0278,-0.511,-0.0617,-0.6542,0.3054,-0.0337,1.9021,-0.526
TCGA-HV-A5A5,-0.2619,0.3553,-0.6257,-0.6625,0.1223,-0.4066,-0.2825,-0.6987,-0.6086,0.8845
TCGA-HV-A5A6,-0.2676,0.2825,-0.6229,-1.1618,-0.178,1.7051,3.6451,-1.3734,-0.5015,-1.4259
TCGA-HV-A7OL,2.553,0.0827,-0.3828,-1.1668,0.6338,-1.4477,1.7169,-0.7636,0.1442,-1.4471
TCGA-HV-A7OP,1.1833,-1.0452,-0.6933,-2.0951,1.2947,-1.8009,0.8295,-1.6088,-0.8631,-1.1767
TCGA-HV-AA8V,-0.9104,-0.5923,-0.4667,-0.1859,0.2183,-0.5213,0.2048,0.4651,0.3001,0.5499
TCGA-HV-AA8X,-0.6089,-0.2684,0.816,0.3178,-0.5895,-0.8088,3.5977,0.9224,0.1482,-1.2671
TCGA-HZ-7289,2.3098,-1.0158,1.0537,2.1974,-0.6049,1.416,-0.7502,-1.4913,-0.8596,-1.9332
TCGA-HZ-7918,-0.3235,0.309,0.82,-0.0582,-0.8184,1.7574,-1.8192,0.5501,-0.8284,-0.6736
TCGA-HZ-7919,0.9615,-0.189,1.1479,1.3746,-0.7639,0.1211,-0.9081,0.7722,1.9753,-0.9767
TCGA-HZ-7920,-0.903,-0.2795,0.266,-0.4336,-0.301,1.0945,-1.4718,0.124,-0.5839,-0.3685
TCGA-HZ-7922,-0.2021,-0.6057,1.5985,0.3112,-1.1471,3.1245,-1.509,0.1321,-0.3041,-0.9616
TCGA-HZ-7923,-0.8505,-0.0382,-0.3254,-0.5767,0.5365,0.631,-0.6011,0.3112,-0.5203,1.0087
TCGA-HZ-7924,1.0811,-0.5195,2.3425,-0.1567,-0.5962,0.2656,-0.9592,0.6869,-0.3358,-0.6718
TCGA-HZ-7925,0.0312,0.9061,1.1877,1.1699,-0.8101,1.3634,-0.1954,0.2363,-0.1238,-0.0477
TCGA-HZ-7926,1.9445,-0.4024,-0.0294,1.1443,-0.8926,-0.013,-1.0683,-0.3539,1.028,-0.3534
TCGA-HZ-8001,-0.3362,-0.8636,-0.7797,-1.8046,0.4613,-0.2068,-0.6226,-0.4099,-0.771,-0.4062
TCGA-HZ-8002,-0.5817,-0.3251,0.2576,0.1082,-0.59,1.2209,-1.5727,0.5351,-0.6932,-0.3042
TCGA-HZ-8003,-1.2884,-0.0478,0.5727,0.7321,-0.2522,1.2737,-0.9584,0.4766,-0.6988,-0.0381
TCGA-HZ-8005,-0.565,3.679,0.4299,3.0525,-0.8695,0.1061,-0.3096,0.2882,1.2152,-0.7208
TCGA-HZ-8315,0.2139,-0.1607,-0.24,1.1095,-0.4749,1.109,-0.3101,0.8823,0.9569,-0.0501
TCGA-HZ-8317,-0.4667,-0.5888,0.4164,1.1132,-0.9682,0.0285,-1.3009,-0.0461,-0.1611,-0.8545
TCGA-HZ-8519,-0.9578,-0.2927,-0.1142,-0.4146,1.0765,2.4885,-0.4862,1.5104,-0.7951,1.3825
TCGA-HZ-8636,-0.5444,-0.6528,0.0959,1.5663,-0.7261,2.3356,-0.1736,0.445,0.2205,0.749
TCGA-HZ-8637,-1.0165,5.5785,1.2484,-0.8647,-0.2692,1.5483,0.0475,0.5409,-0.8547,0.3271
TCGA-HZ-8638,0.911,0.1645,1.3013,-0.1452,-0.362,-0.277,-0.2926,1.0015,-0.541,-0.6925
TCGA-HZ-A49G,-0.8708,0.4036,-0.0964,-1.1508,0.0809,-0.3266,-0.0404,-0.1208,-0.8256,0.4848
TCGA-HZ-A49H,0.2395,-0.26,-0.9149,-1.489,0.3086,-0.0632,-0.0779,-0.7371,-0.7943,-0.1363
TCGA-HZ-A49I,0.3334,0.4148,-0.8835,-0.1264,0.3696,-1.0754,1.676,-0.4286,-0.6153,0.461
TCGA-HZ-A4BH,-0.783,3.007,0.1879,0.3724,-0.3576,-0.2669,0.0114,-0.3308,-0.8051,0.6362
TCGA-HZ-A4BK,0.3604,0.0604,-0.5689,-0.5879,-0.0553,-0.6538,0.4539,-0.3497,0.4255,0.7811
TCGA-HZ-A77O,-0.3548,2.6841,0.5332,-0.9978,-0.9586,-0.2379,-0.486,-0.0585,1.7724,-0.9648
TCGA-HZ-A77P,-0.3962,-0.68,-0.3057,-0.5614,0.8392,-0.5582,-0.2427,0.1353,-0.6741,-0.2398
TCGA-HZ-A77Q,-0.5456,0.2095,-0.54,0.5023,-0.2481,-0.2952,-0.3557,-0.3024,-0.3377,0.776
TCGA-HZ-A8P0,-0.2934,-0.7261,-0.3927,-0.0302,-0.4489,-0.9042,1.4328,-0.5132,-0.7958,0.4849
TCGA-HZ-A8P1,2.4369,-0.617,-0.752,-0.8979,-0.487,-0.0413,-1.2158,-1.034,-0.6657,-1.4203
TCGA-HZ-A9TJ,0.9702,-0.4418,-0.0609,-1.0743,-0.2924,-0.8131,1.4039,0.0788,-0.2986,0.4637
TCGA-IB-7644,1.0337,-0.8513,1.8309,1.5014,-0.6893,0.8415,-0.1152,2.2085,-0.3406,-1.3337
TCGA-IB-7645,-0.6762,-0.343,0.6189,1.0924,-0.8794,1.572,-0.9036,0.2248,-0.8183,0.211
TCGA-IB-7646,0.1368,0.646,0.2327,2.1884,-1.3823,1.0251,-1.7471,1.3076,-0.8631,-1.4339
TCGA-IB-7647,-0.303,-0.3854,1.0781,1.3381,-0.8718,1.8807,-1.1167,-0.239,-0.8605,-0.4096
TCGA-IB-7649,-0.2888,-0.4033,-0.0334,-0.1073,-0.8355,0.9678,-1.9657,0.4729,-0.1767,-0.2632
TCGA-IB-7651,0.6774,2.4285,1.128,-0.3129,-0.633,0.2001,-0.893,0.0067,-0.5928,-0.0816
TCGA-IB-7652,-0.0536,-0.5107,1.2417,1.2474,-0.13,0.3373,-0.1969,0.5223,-0.1677,-0.085
TCGA-IB-7885,-0.4914,0.5163,0.6992,1.2178,-0.2758,-0.4305,-0.5669,-0.275,0.6736,-0.5121
TCGA-IB-7886,-0.1068,0.2461,0.6115,1.4538,-0.9234,1.9857,-1.3329,1.1148,-0.7512,-0.6466
TCGA-IB-7887,0.0138,-0.4443,1.1267,0.262,-0.2662,0.2867,-0.5292,0.3342,-0.6378,-0.708
TCGA-IB-7888,-0.3073,-0.1511,0.0303,-0.791,-0.5467,1.0633,-1.5822,0.334,-0.8613,-0.6803
TCGA-IB-7889,0.2552,-0.4195,-0.6077,-0.2181,-0.3974,1.0542,-1.1997,-0.2668,-0.7273,-0.9062
TCGA-IB-7890,-0.8079,-0.7645,0.1492,0.0411,-0.6538,1.6057,-1.815,-0.2311,1.294,0.6054
TCGA-IB-7891,-0.5188,0.2522,0.5342,0.0203,-0.6369,1.2438,-1.5146,0.3213,-0.6475,0.1462
TCGA-IB-7893,-0.5114,-0.3841,2.5934,1.6744,-1.1775,1.3145,-1.4504,0.6653,-0.7187,-1.2735
TCGA-IB-7897,-1.3435,-0.1002,0.7771,0.4506,-0.3161,1.8135,-1.491,0.7568,-0.6307,0.2037
TCGA-IB-8126,-1.0904,-0.5799,-0.3393,0.4974,0.0796,1.7442,-0.9407,1.2212,-0.8004,-0.1509
TCGA-IB-8127,2.0201,0.4443,-0.3794,2.4024,-0.1455,1.4538,-0.5159,0.7763,-0.5596,0.9379
TCGA-IB-A5SO,-0.2141,0.1406,-0.271,-0.4911,0.2524,-0.7581,0.2249,-0.2727,0.9082,0.5847
TCGA-IB-A5SP,0.8821,-0.3081,0.1221,-0.5601,-0.1317,-1.0152,0.8889,0.6788,-0.6842,-1.2052
TCGA-IB-A5SQ,-0.2928,-0.506,0.4078,-0.379,-0.0674,0.9479,-0.7646,-0.8468,-0.2025,2.207
TCGA-IB-A5SS,-0.0473,-0.1217,0.3258,1.3498,-0.6055,0.4887,0.4903,0.1842,3.7602,0.3438
TCGA-IB-A5ST,-0.9019,0.7066,0.5489,-0.4883,0.1132,-0.0394,0.5663,-0.3892,-0.7205,0.7145
TCGA-IB-A6UF,0.1071,-0.4435,-0.1531,0.5661,-0.0623,0.1406,1.3457,-0.4084,-0.8002,-0.204
TCGA-IB-A6UG,-0.5662,-0.3718,-0.2096,0.4588,0.6781,1.2363,0.3246,-0.1194,-0.8053,0.7239
TCGA-IB-A7LX,-0.0229,1.2815,-0.2778,-0.3931,-0.7459,2.0121,-0.6494,-0.0658,0.9246,0.145
TCGA-IB-A7M4,-0.2953,1.3607,1.0254,-0.4518,-0.1234,1.9971,-0.0802,4.4146,-0.3764,-0.9776
TCGA-IB-AAUM,-0.3933,-0.8355,-0.4931,-0.489,0.3621,0.0364,0.2985,0.1636,-0.6829,-0.1168
TCGA-IB-AAUN,-0.1139,5.8261,-0.4804,0.8172,-0.6298,0.966,-0.6738,-0.5667,3.4033,-0.2459
TCGA-IB-AAUO,-0.5603,1.67,-0.09,0.2553,-0.4738,-0.6769,2.0621,0.2456,3.7321,-0.2365
TCGA-IB-AAUP,-0.8907,0.9472,0.3298,-0.4787,1.1277,-0.0885,0.2679,-0.0915,-0.3347,0.9684
TCGA-IB-AAUQ,-0.4543,0.2497,-0.136,-0.3138,0.0009,-1.4573,-0.031,-0.9121,1.2117,-0.7677
TCGA-IB-AAUR,-0.6172,0.1013,-0.3635,-1.0378,1.3039,0.5131,0.6801,-0.0411,-0.3437,1.9304
TCGA-IB-AAUS,-0.888,0.3771,-0.494,-1.0151,-0.2941,-0.6681,-0.1761,-0.3746,-0.724,0.1324
TCGA-IB-AAUT,-0.6708,-0.3108,-0.7394,-0.1976,0.0757,-0.7848,-0.495,-0.1438,-0.4571,1.051
TCGA-IB-AAUU,0.5719,-0.0843,-0.1788,0.6921,-0.7687,-1.4287,0.5202,-0.4258,-0.3028,-0.3733
TCGA-IB-AAUV,-1.3608,-0.725,-0.8207,-0.7824,0.2986,0.3796,-0.3869,-0.5009,-0.732,1.141
TCGA-IB-AAUW,-0.1237,-0.2841,-0.0874,-0.4207,0.1167,0.2903,-0.6291,0.3843,-0.0893,0.4733
TCGA-L1-A7W4,-0.5614,-0.2035,1.0907,0.0355,-0.7075,0.0086,2.4562,-0.9388,-0.1925,-1.2174
TCGA-LB-A7SX,-0.2014,-0.722,0.5482,0.3541,-0.1631,-0.1304,1.753,0.2089,-0.3878,-0.4377
TCGA-LB-A8F3,-0.8153,0.1188,-1.1277,-1.5577,-0.0669,-1.6971,-0.6179,-1.2595,-0.8067,-0.1696
TCGA-LB-A9Q5,-0.651,-0.4669,-0.0162,0.1197,-0.1943,-0.6159,-0.3505,0.6055,0.368,-0.6139
TCGA-M8-A5N4,-0.623,1.5538,-0.4898,1.1561,-0.8407,-0.5841,-0.4062,-0.3483,0.805,1.6482
TCGA-OE-A75W,2.0469,-0.4418,-1.5004,-0.4642,0.5925,-1.0601,1.9126,-1.2624,0.8673,-0.8759
TCGA-PZ-A5RE,0.8597,-0.3196,-0.5972,-1.2698,-0.13,-1.1938,1.4906,1.6277,0.8684,-0.7269
TCGA-Q3-A5QY,-1.1113,0.4185,-0.7514,-1.4529,2.7038,0.0281,0.29,-0.1304,-0.0266,0.34
TCGA-Q3-AA2A,0.5551,-0.4791,-1.0412,-1.2724,-0.8716,-1.0312,-0.6146,-0.5046,0.1815,-0.2131
TCGA-RB-A7B8,0.0414,0.0306,-0.4801,-0.6728,-0.0375,-0.7359,1.4157,-0.4859,0.0161,0.0922
TCGA-RB-AA9M,0.3365,0.1126,-0.1963,-0.202,-0.1986,0.0031,-0.8856,0.1815,1.1704,1.0539
TCGA-RL-AAAS,-0.32,0.3487,-0.7969,-0.8195,0.4858,-0.8269,-0.6398,-0.4988,-0.1828,0.1085
TCGA-S4-A8RM,2.21,-0.4275,-0.8421,1.7186,-0.2691,0.443,-0.7327,1.8584,-0.7165,-1.1038
TCGA-S4-A8RO,2.7493,-0.707,0.7649,-0.7311,0.141,1.2649,-0.5304,0.0318,1.8373,0.0132
TCGA-S4-A8RP,0.8869,-0.0347,-0.5463,-0.8743,0.1767,0.0435,-0.6151,-0.5353,0.7037,0.2442
TCGA-US-A774,-0.6357,0.2957,0.5194,-0.1969,-0.1839,0.307,0.1113,-0.0896,0.7307,0.1297
TCGA-US-A776,1.6386,-1.2841,0.6588,-1.2774,0.3289,-0.2609,1.1714,-1.5118,-0.8631,-1.9145
TCGA-US-A779,1.5801,-0.7837,-0.6311,-0.4004,-0.4102,-1.1151,0.4964,0.1604,2.5563,-1.0258
TCGA-US-A77E,-0.1471,-0.3017,-0.5749,1.3034,0.096,-1.332,0.0791,-0.0813,-0.8303,0.5667
TCGA-US-A77G,2.7243,-0.4842,0.1746,0.2142,-0.4605,-0.6089,1.8188,0.6854,0.7454,-1.1915
TCGA-US-A77J,-0.564,-0.0664,-0.5285,-1.4167,1.1268,-0.9275,0.443,-0.4176,0.0392,0.8251
TCGA-XD-AAUG,-0.9023,-0.9528,-0.7474,-0.4754,1.7466,-0.1149,-0.2913,-0.3309,-0.6624,-0.0865
TCGA-XD-AAUH,-0.9969,-0.5152,-0.9784,-0.9088,0.9222,0.3402,-0.7032,-0.4345,-0.0375,0.9715
TCGA-XD-AAUI,-0.3348,-0.1325,-0.4865,-0.1824,-0.0795,-0.4769,0.6757,-0.2103,0.257,0.3676
TCGA-XD-AAUL,-0.1935,-0.6462,-0.583,-0.8516,-0.5423,-1.2123,0.7326,-0.2117,-0.3448,2.4659
TCGA-XN-A8T3,-0.2258,1.2374,-0.2759,-0.6673,0.1241,-0.2389,-0.0088,-0.4432,0.0904,1.1855
TCGA-XN-A8T5,-0.7446,0.4684,-0.6739,-0.4865,0.8403,0.5134,-0.0971,-0.5276,-0.7911,0.5236
TCGA-YB-A89D,-0.2002,-0.3688,-0.6619,0.4216,-0.1859,-1.0569,-0.1435,-0.0512,0.4499,0.2411
TCGA-YH-A8SY,-0.7697,0.2522,-0.1748,0.2247,-0.6603,-0.6343,0.9524,-0.299,2.4572,-0.6188
TCGA-YY-A8LH,3.0434,1.0053,-0.4383,-0.6875,-0.5795,-1.0231,0.1046,-0.1336,-0.404,-0.711
TCGA-Z5-AAPL,-1.0431,1.6061,0.2048,-0.9145,2.1577,-0.0715,1.2258,0.6012,-0.7255,-0.3804
