"SS18L2","SLC30A9","SLAMF7","PITHD1","NDC1","ALDH18A1","PLPP1","SLC44A1","TOP2B","TM9SF3","AACS","TESC","UNC13D","SIRT1","ABL1","SNPH","CRISPLD2","FOXF1","PRSS33","DKK4","CCL24","SFRP4","PKD2L1","LAMTOR3","MLEC","CILK1","TUSC2","SF3B1","FARSB","ICMT","ELAPOR1","SCAMP3","AKR1A1","STX12","EPHX2","NUDT10","PLP1","ATG4C","HNRNPH2","SAT1","ACE2","MAP3K10","SLC35D2","ADGRE3","SH3BP5","PPP1R1B","MATN2","SARAF","UBQLN1","GLS2","IGF2BP3","SLC31A1","GPAT3","MTMR6","SUOX","NABP2","SLAIN1","TRIM65","IGFBP4","IL19","WDTC1","PRUNE1","SELENBP1","ARNT","CTDSPL","LRIG1","DOCK11","RSU1","ADRA2A","CRIM1","RILPL2","QDPR","SPARCL1","RPIA","THY1","C16orf74","MAGED4","ACSS1","PXYLP1","BRPF1","ZFYVE9","TMED6","ICOSLG","UBE2Q1","COX7A1","AQP5","PMVK","SNHG16","ZNF589","WDR82","SCRG1","SVEP1","NDRG2","PKD1L2","MFAP4","URM1","ZNF528","NUDT8","ENTPD3","APEX2","CRTAP","RNF34","LRRN3","MSL2","DES","KCNE3","MAGEF1","SPTY2D1","AMIGO1","SYNM","FAM43B","ATP6V0A2","NDUFA4L2","LEMD1","NKRF","ENTPD5","ZDHHC9","MPZL1","MAN1A2","FAM3D","TUSC1","RN7SKP72","RN7SKP250","SNORA38","RN7SKP76","SAMD13","HSPA1A","RNVU1.7","IGLV6.57","IGLV2.23","IGLV2.14","IGLC1","IGHA2","IGHA1","IGHV3.15","IGHV3.49","LTC4S","TMEM167B","GPR89P","RPS27AP11","SIRPAP1","SEC63P1","LINC01713","LINC02038","PFN1P3","CYCSP52","RN7SL507P","RN7SL709P","IGKV1D.16","IGKV3.11","INMT","RN7SL504P","RN7SL299P","RN7SL278P","RN7SL679P","MARS2","OR7E28P","ATXN7L3B","DENND11","TMEM238L","LINC00667","RN7SL664P","RN7SL451P","RN7SL300P","SETBP1.DT","MIR497HG"
6.14,22.15,10.27,17.61,7.96,32.11,37.47,42.87,31.61,73.12,15.08,2.01,11.76,7.16,16.72,0.94,78.89,6.27,0,0.12,5.01,38.43,0.06,17.56,27.63,5.51,4.76,105.2,10.89,23.98,5.12,12.7,39.68,18.5,6.22,0.48,0.76,5.18,31.39,334.78,1.02,11.15,7.14,2.49,13.18,2.16,11.06,94.97,38.89,1.17,6.13,11.05,2.59,12.43,5.36,8.43,2,4.92,219.18,0.02,7.13,5.9,5.27,14.43,9.04,13.39,10.16,26.26,2.53,20.95,11.18,9.31,142.52,4.57,108.23,5.12,3.22,2.65,10.25,3.16,6.75,0.59,4.89,17.37,5.96,1.77,5.39,44.07,4.06,25.28,1.55,10,27.01,1.32,25.99,11.08,26.47,1.09,2.18,4.18,48.1,11.29,0.34,9.77,0.77,4.29,11.17,9.81,0.88,2.24,0.63,10,5.4,7.6,4.26,2.5,5.84,84.36,17.75,6.75,1.91,9.47,10.11,116.12,1.27,0.67,92.92,7250.97,35.9,116.15,139.47,413.34,17.12,242.34,124.94,45.99,1.76,15.83,0,0.11,0.39,0.27,0,0.07,0,0,29.7,107.4,21.28,297.91,13.75,54.41,474.79,9.78,853.08,2.26,0.07,18.13,8.18,0.22,10.84,11.48,1517.62,20.45,0.33,2.11
5.63,9.82,0.42,10.44,9.65,8.2,5.29,6.68,5.89,19.83,8.08,35.55,29.64,1.46,2.91,0.11,0.93,0,0,0.22,0.43,0,0,9.27,25.66,0.55,5.29,40.12,8.89,22.72,0.04,15.15,17.94,5.74,0.34,0,0,1.72,14.63,58.97,0.11,0.89,6.85,0,1.86,2.02,0.51,37.5,11.85,0.23,12.97,3.95,10.14,4.22,3.04,18.41,0.22,2.41,21.76,0,3.07,2.67,7.18,6.91,7.96,0.27,0,9.6,0.19,11.89,7.11,6.15,0,3.28,0.02,5.47,0,0.14,0.77,3.42,1.29,0.04,0.26,9.1,0,53.69,12.15,32.14,0.44,11.45,0,0.01,1.15,0.72,0,18.14,7.25,7.01,0.04,2.21,8.78,9,0,5.63,0.11,1.29,8.85,6.93,0.26,0.17,0,2.32,0.16,0.26,1.11,3.1,3.63,14.39,6.96,0.44,0.88,0.54,0.63,194.55,1.27,2.81,41.7,1541.23,0,0,0,0,0,0,0,0,0,6.69,0.15,0.2,0,0.09,0,0.76,0,0,2.85,10.62,0,0,0.07,0.23,0.19,80.51,45.54,2.06,0,25.82,3.11,0.19,3.47,1.93,6.32,22.56,0,0.03
9.61,17.13,1.77,10.07,9.27,18.97,8.76,23.58,28.83,72.95,6.92,38.43,16.48,5.04,10.64,0.43,22.7,1.09,0.01,0.68,0.36,24.16,0.05,18.4,17.51,3.47,6.38,99.76,12.69,20.15,1.03,15.51,32.23,13.9,2.2,0.64,0.25,2.02,18.35,219.27,0.4,0.83,13.18,0.1,10.51,12.79,7.04,73.97,37.46,0.54,17.17,6.6,2.21,10.11,4.68,8.51,2.81,4.89,82.99,0.06,8.87,7.77,4.66,12.95,17.9,10.5,4.28,18.39,5.34,20.69,6.22,3.84,45,9.49,39.27,5.45,2.28,4.09,4.45,4.49,3.54,0.39,2.67,17.03,3.03,12.05,6.66,52.21,2.39,26,0.13,3.9,19.68,0.93,7.16,13.53,7.43,2.73,0.74,2.25,33.95,9.93,0.26,10.14,1.99,8.29,8.83,10.62,0.36,0.74,0.38,7.23,1.26,20.82,3.04,2.05,8.83,54.65,8.34,7.86,1.24,0.24,0.59,19.15,0.78,0.67,90.25,1967.22,0.87,3.84,17.48,38.4,3.44,19.25,1.45,1,0.25,11.72,0.04,0,0.02,0.23,0,1.09,0,0,0.85,1.66,1.15,10.15,2.5,0.39,0.58,0.32,18.95,2.11,0.05,19.85,7.98,0.35,9.91,1.6,1.64,2.08,0.08,0.78
3.65,26.19,5.26,19.48,6.77,22.99,9.89,33.42,30.07,106.98,11.8,100.87,23.31,7.28,14.94,0.71,45.91,3.56,0.19,0.39,7.82,45.42,0.15,27.31,47.13,8.05,4.5,85.37,10.55,21.01,5.68,23.78,28.44,20.33,3.9,0.12,0.05,3.63,28.76,283.98,4.52,2.42,23.8,0.33,6.17,31.58,7.01,133.88,52.33,0.24,36.41,12.67,2.8,9.22,7.11,13.42,1.93,5.62,83.83,0.02,9.44,10.78,18.22,15.5,10.25,7.74,3.81,20.4,5.66,25.7,6.02,4.27,50.37,5.73,23.12,0.27,5.91,5.09,4.96,2.78,9.12,1.02,4.12,29.02,2.79,7.98,9.09,30.84,2.03,16.21,0.37,5.16,23.82,0.68,10.25,12.66,6.97,3.78,1.2,6.21,23.56,14.68,0.31,9.6,0.62,14.9,11.29,16.78,1.8,1.17,0.22,8.27,2.09,24.83,4.49,9.35,15.94,118.22,16.98,22.09,2.49,3.58,1.55,31.99,0.28,2.19,254.34,1214.33,0.25,1.15,5.26,12.45,15.44,41.62,1.57,1.25,0.47,17.95,0.35,0.19,0.33,0.35,0.17,3.65,0,0,2.83,27.17,0.1,3.86,7.96,11.15,3.3,3.11,16.83,1.8,0.06,34.28,7.91,3.21,4.76,6.41,18.4,6.95,0.53,0.96
14.13,12.01,1.65,16.52,15.07,18.08,13.54,28.97,20.66,47.75,6.15,2.87,9.92,6.56,7.25,0.43,24.79,0.66,0.02,0.02,0.88,28.57,0.19,22.04,18.39,2.24,3.91,70.47,32.52,15.4,2.04,13.8,33.22,15.89,4.78,0.3,0.08,3.94,31.09,194.32,1.08,0.9,9.91,0.45,5.14,0.82,2.57,61.58,35.94,0.19,10.26,11.49,3.12,10.55,2.09,8.85,0.71,5.8,70.9,0,2.77,6.42,1.92,9.71,8.13,2.93,4.77,21.48,0.68,11.76,3.14,4.49,67.35,8.15,22.44,20.38,0.69,1.71,5.05,2.78,6.04,0.46,1.01,16.86,6.09,0.32,11.72,59.28,1.94,16,4.17,3.75,5.63,0.06,6.94,18.83,6.98,1.22,1.16,5.21,39.79,11.14,0.09,5.39,36.15,2.25,8.73,10.18,0.37,3.28,0.09,5.86,1.78,1.3,8.58,3.96,8.57,71.92,7.68,0.31,0.85,0.06,0.42,50.48,1.37,0.68,32.23,2833.36,0.41,1.41,7.97,20.22,1.07,8.67,1.98,0.26,0.03,10.54,0.09,0.2,0.25,0.4,0,0.06,0,0,1.66,2.17,0.45,5.42,3.6,0.54,0.31,1.55,14.94,3.04,0,13.65,2.81,0.05,12.51,2.07,2.26,4.5,0.15,1.07
3.9,29.73,3.08,13.49,9.21,28.31,18.6,34.4,27.04,137.84,10.99,81.24,3.49,8.56,13.48,0.6,60.25,5.73,0.3,0.22,19.29,52.6,0.03,15.79,29.67,8.13,4.7,92.92,13.51,26.06,4.99,26.97,43.94,20.7,8.02,0.5,0.29,3.67,33.05,147.64,1.76,2.44,12.12,0.98,14,41.86,13.83,128.66,30.99,0.51,10.82,8.05,1.69,10.17,5.63,11.27,0.83,5.25,126.46,0.35,9.72,9.75,17.79,18.55,15.77,16.02,5.76,27.32,14.23,41.86,7.21,7.35,115.56,7.12,65.28,0.43,2.41,3.58,7.24,3.33,8.51,0.44,3.83,28.48,6.95,117.02,10.79,40.53,1.61,18.58,0.72,6.78,31.18,0.23,30.57,9.43,2.83,3.16,3.07,5.26,39.64,12.06,0.12,11.19,6.53,28.42,22.45,11.29,1.05,3.96,0.39,6.38,16.26,10.35,5.05,5.61,18.88,75.76,16.04,17.84,2.92,0,0.08,20.72,0,3.86,61.27,764.88,6.33,19.64,80.38,208.13,65.75,251.37,34.11,18.08,0.89,17.64,0,0.1,0.65,0.41,0.02,2.14,0.06,0,0.25,1.09,2.13,116.3,13.05,0.1,0.36,0.34,14.5,2.33,0.15,27.75,8.69,0.51,6.3,0.65,0.91,0.9,0.26,0.96
9.97,14.66,2.74,22.31,12.69,36.55,17.34,32.38,42.69,235.47,21.12,66.21,5.74,9.5,8.07,1.94,29.24,2.11,0.66,4.19,8.14,33.86,0.15,10.05,52.36,12.4,8.26,95.07,23.49,24.79,69.95,22.57,54.4,20.32,15.49,0.14,1.05,2.75,29.02,116.8,5.72,1.29,11.35,0.13,9.14,105.21,9.53,120.38,24.76,0.71,9.33,5.06,0.65,10.47,5.88,9.04,10.8,6.96,278.19,1.2,13.22,11.45,44.63,15.53,36.32,18.07,4.81,24.03,13.7,38.23,12.03,3.39,62,10.16,12.24,0.25,4.23,10.5,3.49,5.72,11.82,0.48,2.63,30.14,2.71,83.79,18.36,55.69,3.74,28.08,0.28,5.62,44.18,0.42,20.74,6.9,5.71,4.37,9.22,5.84,30.26,17.84,0.36,12.69,3.86,45.84,11.11,13.36,3.2,1.64,0.22,7.37,1.17,9,4.64,12.95,17.97,89.55,16.05,145.37,1.78,0.3,0.65,10.72,0.88,2.46,55.42,774.32,1.7,7.78,37.59,108.96,33.14,245.62,7.5,2.62,2.14,16.03,0.11,0,0.01,0.47,0.03,2.79,0,0.06,0.76,1.37,1.29,56.84,11.72,0.59,0.35,0.84,12.75,3.69,0.02,40.15,19.75,2.38,4.7,0.63,2.07,2.21,0.28,0.49
11.76,25.17,4.75,24.89,19.53,26.54,4.95,26.7,31.21,124.98,20.91,243.81,4.25,5.6,5.45,1.27,14.19,0.76,7.73,20.34,1.05,7.64,0.06,10.35,56.93,9.6,13.9,67.6,24.56,24.52,0.54,46.69,50.9,18.82,3.51,0,0.4,1.73,13.63,103.53,0.63,2.11,12.2,0.07,6.41,31.69,2.75,96.77,22.82,0.77,0.32,5.69,0.64,10.92,6.12,14.88,10.11,6.27,80.58,0.55,15.61,13.13,12.49,13.35,55.21,20.98,7.87,23.18,28.66,39.92,14.42,12.47,16.16,6.58,9.58,0.25,0.28,11.1,6.23,5.34,0.57,0.47,2.28,32.17,2.99,344.17,12.19,95.79,2.01,22.39,0.3,0.96,75.84,0.03,3.13,12.3,7.98,10.21,13.42,6.47,59.2,22.48,0.04,9.32,0.26,34.27,7.31,9.72,1.85,0.37,0.07,13.53,1.49,39.63,4.88,3.77,24,89.22,9.82,107.89,3.23,0,0.26,16.91,0.17,1.53,17.86,705.26,2.07,12.56,36.47,81.53,24.95,97.85,6.76,2.62,4.14,17.7,0,0.06,0,0.13,0,3.19,0.07,0.09,0.56,0.86,3.33,20.8,6.6,0.24,0,0.88,13.44,6.21,0.03,29.44,15.31,2.28,10.74,0.19,0.29,1.6,0.07,0.39
6.5,18.19,6.03,16.31,7.9,26.56,15.58,46.7,17.14,66.76,11.65,139.08,13.74,3.9,11.57,0.62,58.13,2.13,2,2.08,53.46,85.25,0.43,20.02,27.31,3.57,5.22,67.44,8.48,27.3,7.02,21.62,55.87,18.75,5.5,0.95,0.32,3.34,26.21,178.99,12.08,2.11,18.44,2.24,14.87,20.85,18.96,130.67,35.62,0.45,9.39,10.86,2.09,11.4,6.36,21.34,2.84,4.98,111.21,0.04,8.32,7.39,44.4,14.68,9.29,10.6,6.42,22.82,10.48,20.81,10.38,5.77,66.32,8.63,85.38,0.28,2.01,3.02,3.99,3.44,4.56,2.47,5.17,28.96,7.22,0.66,12.38,38.65,1.84,18.13,1.06,5.65,27.15,0.06,13.13,15.39,1.94,8.15,1.94,6.36,38.8,14.26,0.22,8.12,0.76,25.64,13.39,6.48,2.18,1.32,1.33,10.92,2.42,29.03,4.76,3.66,16.54,94.55,10.51,91.47,2.66,0.14,0.38,2.55,0.13,4.2,135.99,667.45,2.65,17.69,37.35,48.48,59.55,136.17,14.91,2.03,1.7,19.39,0.02,0,0,0.12,0.15,8.11,0,0,0.99,1.72,0.85,32.22,11.4,0.18,0.3,1.84,25.88,1.9,0.04,142.69,11.39,1.98,10.56,1.23,2.06,3.23,0.18,2.01
3.11,12.65,1.17,12.55,6.66,24.04,11.97,31.87,14.56,52.47,12.02,47.82,25.16,3.42,11.84,0.53,30.94,1.98,0.05,0.16,0.1,28.16,0.14,8.98,32.62,3.53,3.8,62.08,6.67,23.41,8.92,12.67,28.39,9.53,3.34,0.25,0.99,1.18,15.74,111.28,0.8,1.83,10.94,0.05,7.82,2.72,7.82,52.18,24.67,0.3,14.54,6.08,2.17,7.36,6.47,10.2,0.62,7.11,108.1,0.05,6.26,4.78,10.74,10.45,9.43,13.01,2.47,15.41,3.74,28.6,7.58,5.24,39.71,7.86,39.86,4.32,1.66,2.21,5.55,3.34,4.36,0.32,1.45,17.2,7.59,14.6,5.64,26.64,1.41,17.33,0.38,4.79,11.63,0.54,17.52,12.62,10.02,3.5,1.1,4.98,23.61,11.46,0.25,8.13,0.92,6.21,13.46,12.81,0.35,1.23,0.31,8.9,8.53,4.4,3.08,5.87,13.38,46.92,9.22,4.55,2.06,0.12,0.49,8.99,0.29,0.85,254.65,1390.66,0.13,2.82,0.53,1.01,0.88,7.23,0.2,0.2,0.45,11.5,0.02,0.2,0.55,0.13,0.03,1.48,0.15,0,1.28,1.59,0,1.29,6.12,0,0.11,1.29,26.32,2.26,0,26.17,5.39,0.06,7.24,0.62,3.15,3.58,0.04,0.64
3.43,12.48,2.22,8.31,4.59,19.36,16.57,38.07,15.76,46.77,7.47,57.49,12.99,3.64,12.52,1.03,44.91,7.11,6.41,1.09,19.71,159.52,0.89,7.87,20.2,2.68,4.05,49.11,8.5,16.83,3.35,17.74,32.27,10.33,4.7,0.48,1.18,1.87,20.62,109.09,6.09,1.46,15.47,0.27,10.77,29.76,9.87,79.51,27.12,0.45,0.39,6.35,1.35,11.59,4.85,7.92,1.16,5.03,112.32,0.04,6.93,6.05,23.32,11.4,10.18,13.14,5.97,19.39,8.35,25.33,4.57,3.8,126.52,5.21,72.34,0.13,1.25,3.12,4.34,3.83,3.65,2.27,3.04,17.08,12.59,9.82,9.27,45.95,1.36,14.91,4.72,5.5,28.27,0.22,28.27,16.06,3.47,4.96,2.32,5.42,38.13,10.72,0.12,5.43,496.91,6.27,9.21,7.58,0.95,28.63,0.45,11.01,2.22,20.59,2.2,3.77,7.91,70.05,10.3,18.23,2.09,0,0,6.95,0.55,1.62,37.01,938.85,0.56,4.77,8.49,10.43,3.5,13.71,3.37,1.06,2.23,8.47,0,0.09,0,0.12,0.04,0.69,0,0,1.23,2.21,0,7.21,16.91,0,0.33,3.39,21.87,1.51,0.04,17.66,5.08,0.12,7.36,0.74,2.13,3.67,0.4,1.1
13.01,35.47,1.73,15.66,14.2,26.04,13.65,70.43,45.33,175.96,21.81,14.91,1.62,7.43,19.57,0.26,54.18,2.8,0.03,0,297.63,91.95,0.91,24.89,51.27,17.04,9.52,98.4,11.11,19.3,281.25,16.6,68.4,19.85,7.34,0.43,0.04,5.56,42.03,278.66,0.94,3.32,22.58,0.57,11.95,29.12,26.13,87.94,40.57,0.46,2.28,19.35,7.96,9.28,14.51,13.03,16.81,6.67,86.34,0.18,14.46,9.81,15.71,21.79,10.19,15.64,6.82,17.89,0.82,26.41,12.71,7.52,55.09,10.42,51.75,0.26,0.53,15.47,3.43,5.51,8.49,1.51,2.13,26.81,5.6,0.16,10.02,76.64,4.12,22.02,1.66,5.53,8.43,0.15,21.42,13.58,3.27,3.68,0.14,4.68,25.32,15.85,0.13,13.48,1.51,7.54,27.6,19.19,0.29,1.58,0.29,8.25,3.36,0.1,5.45,2.82,17,108.45,20.82,207.79,7.59,0.09,0.41,13.74,0,2.97,30.74,918.43,2.29,22.48,112.04,147.66,56.96,279.91,20.4,6.21,1.05,16.09,0.06,0.11,0.46,0.28,0,1.91,0,0,0.37,0.55,2.02,61.93,9.57,0,0.29,0.27,8.34,3.14,0.14,31.65,43.7,8.77,5.78,0.53,0.63,0.42,0.25,0.97
15.87,14.85,0.91,9.13,19.94,12.5,6.94,27.22,34.76,32.45,7.95,35.16,32.88,3.72,9.28,0.45,14.59,1.48,0.23,6.6,1.37,17.22,0.06,21.57,27.53,5.58,4.83,105.68,9.62,17.43,1.7,22.75,48.6,8.16,1.77,0.24,0.24,1.79,26.67,324.71,0.32,1.85,16.61,0.17,8.23,28.12,6.01,104.39,36.42,0.25,13.92,7,4.5,7.64,4.17,10.67,3.4,4.44,77.66,0,4.89,8.2,7.99,14.35,17.31,10.21,2.91,15.25,1.83,11.91,6.11,4.19,22.23,8.8,21.67,3.04,2.84,5.97,4.18,5.86,10.92,0.05,2.55,22.62,5.13,28.4,8,66.35,1.3,19.53,0.5,1.74,19.9,0.37,8.84,13.55,5.14,3.88,1.44,4.6,42.71,12.44,0.1,9.37,2.91,17.33,12.11,22.61,0.55,0.64,0.15,5.24,29.24,1.45,3.69,4.14,10.56,81.59,9.3,10.33,0.7,0.09,0.54,15.24,0.23,1.71,142.2,2558.72,0.69,4.09,12.73,13.84,3.14,18.89,1.68,0.6,0.8,13.14,0.04,0.06,0,0.33,0,1.43,0,0,0.87,2.24,0.19,5.12,5.58,0.74,0.64,1.47,14.55,2.36,0,23.59,6.03,2.68,6.72,0.75,0.68,2.14,0.09,0.26
8.49,18.56,4.36,14.65,14.06,12.21,5.28,12.67,10.23,32.82,7.67,3.26,20.14,3.26,4.42,0.84,4.9,0.02,0,0.58,0.17,0.03,0,9.02,24.62,0.72,5.47,52.66,14.66,28.55,0.1,23.57,26.35,7.76,0.32,0.01,0,1.83,25.89,112.64,1.06,7.71,7.28,0,4.17,0.07,1.04,51.05,17.2,0.03,17.45,6.46,17.33,4.64,2.39,13.99,0.35,5.48,24.27,0,2.52,3.79,3.39,10.51,6.61,0.68,0.69,11.3,0.01,10.58,5.89,8.37,0.02,2.07,0.35,3.75,1.56,0.71,4.31,2.81,2.45,0,0.22,18.24,0,3.26,16.26,64.46,0.39,12.51,0,0.02,1.26,0.83,0.03,10.59,3.78,0.7,0.31,4.35,8.96,11.16,0,4.4,0.28,1.59,7.17,3.99,0.05,0.69,0.13,3.46,0.08,1.91,2.92,1.57,7.04,31.8,7.67,0,1.09,0.15,0.38,526.27,0.37,1.6,51.54,1654.91,0,0,0,0,0,0,0,0,0.03,7.59,0.23,0.08,0.02,0.02,0,0.32,0,0,2.36,11.29,0,0,0.13,0.38,0.62,51.48,40.98,2.15,0,23.09,1.67,0.16,9.6,1.49,7.42,15.2,0.01,0
5.99,16.48,3.26,11.31,9.35,30.1,18.49,32.34,20.62,95.36,7,35.4,9.25,5.34,10.07,0.54,25.49,2.22,2.55,0.23,6.78,18.47,0.1,12.17,18.78,4.24,6.38,67.64,10.82,22.13,17.38,15.59,65.52,12.58,6.44,0.14,0.05,1.9,24.63,120.56,1.79,2.41,10.75,0.14,7.94,43.69,11.17,97.74,19.56,0.32,6.52,7.76,2.05,7.1,4.86,8.19,3.44,5.55,69.48,0.04,11.06,5.61,15.19,10.27,19.62,20.11,2.96,14.09,25.24,23.71,4.85,6.19,44.75,8.19,27.04,0.7,1.63,12.81,3.3,4.3,4.38,0.22,3.8,13.73,5.91,14.68,8.48,20.25,1.85,19.57,0.46,5.25,20.85,0.36,25.78,11.08,3.08,4.42,1.81,5.48,28.71,6.89,0.29,7.85,2.14,44.97,14.84,8.93,0.99,1.04,0.1,5.04,3.49,3.66,2.64,6.51,11.05,59.61,9.74,9.63,2.23,0.18,1.19,10.33,0,2,19.19,645.65,8.98,49.27,202.84,148.79,233.41,654.01,32.19,15.42,0.79,10.36,0,0.1,0.71,0.22,0,0.49,0,0,6.71,1.4,2.21,117.53,9.06,0.51,0.18,0.99,23.74,2.47,0.02,16.62,10.88,1.89,9.19,1.12,2.05,3.56,0.19,0.85
7.55,21.07,2.36,9.73,11.18,59.68,14.79,29.95,17.02,108.3,14.09,145.51,16.96,7.14,8.95,1.9,30.74,1.05,0.4,1.41,11.44,19.72,0.23,12.58,32.76,3.83,8.2,47.83,10.41,14.87,37.78,50.08,71.77,8.51,2.56,0.21,0,2.57,28.16,513.74,4.4,1.96,18.41,0.6,10.21,39.54,0.69,50.21,31.13,0.54,5.74,14.71,0.85,6.23,5.33,11.54,0.33,5.49,81.84,0.3,7.03,7.88,22.07,15.15,18.37,31.22,4.64,22.99,0.64,25.9,18.94,5.16,22.36,6.92,31.98,0.1,0.95,12.48,8.36,4.06,5.73,0.41,3.79,12.67,6.79,73.28,10.69,88.12,1.75,19.68,0.25,1.28,10.71,0.15,3.84,20.48,1.24,12.2,1.65,7.6,47.51,8.93,0.06,8.31,0.86,46.98,5.35,16.01,2.57,1.04,0.09,8.43,3.15,3.99,2.91,7.1,16.3,83.56,9.76,7.63,1.24,0,0.32,5.45,0.1,0.8,479.49,940.26,3.27,37.72,55.22,69.82,39.21,497.42,33.07,20.83,1.25,16.7,0,0,0.05,0.05,0,1.73,0,0,1.4,1.83,1.13,105.17,3.42,0.14,0.74,1.98,26.4,2.05,0,42.25,10.1,9.49,7.17,0.9,0.92,3.51,0.03,0.48
6.43,16.87,8.97,15.01,8.87,19.02,14.78,24.46,25.07,57.48,11,55.5,6.92,4.79,12.16,1.71,38.01,7.94,0.18,0.13,0.79,19.75,0.33,10.03,30.57,3.67,8.26,65.99,6.85,24.67,3.06,16.29,46.67,9.85,4.6,0.24,2.06,2.73,23.43,75.49,1.38,2.71,5.12,0.17,11.61,30.86,9.64,95.74,20.36,0.55,10.68,4.87,1.78,11.35,9.34,8.95,2.28,5.87,156.66,0,14.54,4.9,22.13,10.29,25.39,37.14,5.1,19.63,3.96,26.89,5.94,5.24,86.34,5.25,25.92,1.49,1.31,4.11,7.96,4.03,1.67,0.47,3.42,14.99,8.09,54.37,8.62,27.58,1.81,23.27,6.35,2.71,42.78,1.1,33.79,10.26,2.65,6.15,1.46,4.97,42.29,12.31,0.17,8.5,640.56,14.25,11.51,10.67,1.26,64.52,0.34,8.52,1.14,11.62,3,7.79,11.11,48.99,14.77,66.16,2.44,0.12,0.42,10.58,0.21,1.11,145.5,1112.04,3.54,9.1,26.86,138.08,19.68,122.32,9.87,2.7,1.12,9.55,0.02,0,0.81,0.07,0.03,1.32,0,0,0.93,2.38,0.78,16.03,10.48,0.15,0.25,1.52,20.26,2,0.07,21.72,3.42,0.48,8.82,0.79,1.15,3.91,0.22,1.08
10.48,15.09,1.77,15.2,6.8,11.59,7.84,11.54,8.96,34.25,8.63,1.25,19.93,1.92,3.32,0.23,2.65,0,0.03,0.03,0.09,0,0,13.83,26.26,0.75,11.3,52.79,14.75,30.11,0.05,14.33,23.51,8.57,0.06,0,0,1.16,26.67,97.94,0.3,0.68,13.13,0,4.49,0.06,2.01,36.12,18.97,0.15,16.25,5.52,5.74,5.86,4.58,15.34,0.88,2.94,23.53,0,3.32,2.48,4.92,8.21,16.24,0.09,0.01,13.12,0.04,7.15,5.88,2.8,0,2.73,0.11,5.59,0,0.57,1.76,3.54,1.67,0,0.07,13.29,0,30.65,7.67,17.29,0.72,16.65,0.03,0.05,4.55,0.49,0,28.28,5.64,3.32,1.37,4.29,8.01,10.15,0,4.54,0.07,2.52,10.23,7.29,0.06,0.28,0,2.76,0.08,0.15,1.74,2.3,5.66,20.65,8.24,0.4,1.63,0.12,2.2,630.61,0.8,1.21,74.41,7319.44,0,0,0,0,0,0,0,0,0.12,6.7,0.06,0.07,0,0.02,0,0.52,0,0,2.1,4.08,0,0,0.16,0.15,1.63,3.28,12.05,1.91,0.01,18.02,1.15,0.14,1.66,1.98,7.77,5.17,0,0.02
0.37,4.39,0.06,4.04,1.08,4.27,1.26,0.8,0.56,1.5,3.53,0.45,7.8,0.22,2.24,0.03,12.06,0,0,0,0.26,0,0,0.16,3.65,0.02,0.69,5.16,1.93,6.61,0.1,5.27,7.16,0.14,0.28,0,0,0.05,2.88,14.99,0,0.2,1.48,0,0.2,0.17,1.54,3.58,3.37,0.08,1.36,2.27,2.15,0.2,0.38,6.79,0,3.27,3.1,0,0.75,1.61,0.45,3.29,1.86,0.03,0.04,7.6,0,2.28,2.76,1.79,0,0.72,1.99,3.83,0,0.45,0.9,1.07,0.18,0,0.36,3.07,0,0,2.07,18.46,0.5,2.7,0,0.07,0.63,0.56,0,7.27,0.81,2.35,0,3.95,2.5,10.3,0,4.87,0,0.05,0.87,0.67,0,0,0,0.64,0,0,0.4,0.31,2.07,8.09,0.57,0,0,1.14,1.53,688.62,0.51,0,47.8,710.13,0,0,0,0,0,0,0,0,0,0.92,0,0,0,0,0,0,0,0,3.91,1.69,0,0,0.23,0,4.19,5.09,6.49,0.33,0,1.1,0.16,0,1.05,1.09,4.47,7.27,0,0
11.14,29.86,9.23,19.33,10.34,65.41,23.1,35.25,24.36,146.45,8.32,53.93,6.21,8.01,13.63,1.54,46.37,5.69,0.1,4.19,8.39,80.8,0.3,16.69,31.82,11.95,6.37,83.75,13.68,31.72,22.31,26.7,54.33,17.35,6.85,0.34,0.39,2.98,41.2,373.87,12.11,3.08,16.46,0.25,10.73,37.73,7.99,92.02,47.16,1.05,6.2,17.49,1.15,13.6,7.25,25.77,5.47,5.25,84.52,0,10.51,9.37,18.42,12.59,13.68,20.27,8.73,24.43,2.29,22.54,8.21,6.45,93.35,15.66,37.75,0.55,0.75,16.96,5.92,4.86,5.9,0.31,6.12,25.15,6.52,9.93,5.66,46.74,2.01,22.72,1.06,5.86,13.98,0.15,16.87,16.07,3.39,3.73,0.23,6.08,50.85,11.08,0.1,13.63,8.64,45.72,20.86,11.44,2.66,2.8,0.19,5.9,3.95,0.27,7.26,7.07,19.82,92.63,13.22,5.38,3.01,0.1,0.44,20.14,0.26,1.07,22.08,212.12,33.2,169.38,525.11,851.41,300.64,1142.29,56.17,29.09,0.94,11.79,0.05,0,1.16,0.24,0.03,2.52,0.03,0,0.39,0.58,17.57,402.25,14.88,0.25,0.21,0.58,15.56,8,0,22.27,12.32,4.21,9.14,0.47,0.19,2.23,0.26,1.64
