"LIG3","KDM7A","COX15","EPHA3","FAM120A","TRAF3IP2","TOP2B","TM9SF3","CRYBG3","OSTM1","DNMT3B","UNC13D","LRRFIP2","PALMD","SF3A1","SNPH","CHRDL1","HTR2A","OLFM4","FOXF1","TRPA1","DKK4","NEFM","ATP1A3","CCL24","CCDC47","SMARCD2","SGCA","SOD3","CAPRIN2","ATP5F1B","PPM1H","NT5DC3","SMOC2","C7","TUSC2","NPRL2","PODXL2","PDE1A","IGFBP5","STK25","STRN","NFE2L2","KLHL12","AKR1A1","ATF6","ECRG4","GPR68","CNRIP1","UFM1","ELF1","KCNJ8","CPXM2","RNF113A","PTGER2","SLC2A4RG","TRPV5","RNASE1","CRB3","ADGRE3","SH3BP5","KHDRBS3","ZSWIM4","MMACHC","FBXO21","GLS2","TGFBRAP1","STAB2","ITM2B","IGF2BP3","SCN7A","ZNF189","ALDOB","GPAT3","SLC15A4","NABP2","LPAR6","AFG3L2","TRIM65","SOD1","RPL11","WDTC1","NECTIN4","TOR1AIP1","C1orf56","HHIPL2","THSD7B","LRIG1","PXDNL","INTS4","DIXDC1","GUF1","RPIA","OXNAD1","CYP2U1","PXYLP1","KCNS2","ZFYVE9","TMEM171","RCAN1","EFCAB14","TPPP3","ZNF222","SLC25A44","ALDH16A1","RAVER2","PBXIP1","WDR82","ADCY1","HNRNPK","SVEP1","PGAP4","CRYL1","GFI1B","NDRG2","MFAP4","ATP23","MTMR10","GREM1","ENTPD3","HR","GFM1","KCNAB1","HIC2","SYAP1","OTUD7A","SIK2","CRTAP","KISS1","RIOX2","TMEM43","GAP43","TP53RK","MYOZ2","LRRN3","SLC25A30","PODN","CSRP2","TMEM9B","ACER2","MAGEF1","IMP3","TMTC2","ZNF664","JRKL","GUSBP1","UBALD2","GALNT17","ATP6V0A2","LSAMP","MRPL40","ZNF284","DIPK1C","INSYN2A","NLGN3","SRGAP2B","SCOC.AS1","HOXA4","FAM118B","MPZL1","MIER1","MAN1A2","RN7SKP72","RN7SKP250","SNORA38","RN7SKP9","TCEA3","XKR4","RNU1.89P","RNU1.4","IGLV4.60","IGLV1.47","IGHV2.5","IGHV3.15","IGHV1.45","SFT2D2","MXD3","ZNF134","MIR99AHG","TMEM167B","TAFA5","RN7SKP111","RN7SKP165","FTH1P10","RTCA.AS1","MRPL20.AS1","IGHV3.72","SLC2A1.AS1","SPATA20P1","PIK3CD.AS2","CHORDC1P1","LINC02574","MAP3K20.AS1","ALG1L6P","HOXB.AS2","RN7SL263P","IGKV1.17","INMT","RN7SL299P","IGKV2.30","IGKV2D.29","RPLP0P2","RN7SL679P","RN7SL395P","IGKV1.27","SCARNA22","OR7E28P","ATXN7L3B","LYN","LINC02732","WAC.AS1","IGLL5","TIFAB","DENND11","HLX.AS1","SH3RF3.AS1","VS"
9.62,11.2,9.86,12.09,37.82,7.56,31.61,73.12,8.25,23.03,0.83,11.76,12.29,8.95,19.91,0.94,4.6,0.2,79.19,6.27,0.7,0.12,0.1,8.77,5.01,39.76,19.13,0.23,5.96,29.98,120.41,3.01,2.45,10.58,104.48,4.76,3.52,2.16,13.66,345.39,51.19,7.21,43.7,9.83,39.68,11.61,0.73,2.33,6.73,28.96,30.32,14.17,6.48,4.75,4.15,22.61,0.13,67.89,2.5,2.49,13.18,2.65,11.16,1.86,12.92,1.17,8.24,0.05,338.03,6.13,2.95,9.16,0.45,2.59,9.22,8.43,17.57,18.62,4.92,82,557.25,7.13,7.41,30.19,0.65,0.59,2.8,13.39,0.3,13.13,6.18,5.74,4.57,4.96,5.03,10.25,0.09,6.75,0.64,14.32,27.92,7.72,2.57,4.77,8.54,3.07,25.02,25.28,0.24,188.16,10,2.92,6.9,0.05,27.01,25.99,1.62,2.96,102.07,2.18,1.89,16.11,0.39,1.97,14.18,0.14,9.02,48.1,1.71,9.87,31.5,1.44,7.17,0.25,0.34,4.9,19.29,9.63,21.69,1.22,11.17,13.06,9.27,21.45,5.66,35,7.22,0.77,10,16,12.53,0.95,0.34,0.28,1.73,45.08,0.05,0.86,7.84,84.36,20.24,17.75,9.47,10.11,116.12,19.71,14.79,0.31,87.51,27630.47,0.26,985.08,73.44,124.94,0.22,25.06,5.64,8.03,13.67,15.83,8.36,3.12,0.14,0.18,1.42,3.55,3.25,2.03,0.91,1.42,0.04,0,0.08,0,0.06,160.05,418.39,13.75,474.79,9.05,2.22,3.35,853.08,1445.52,24.37,31,0.07,18.13,20.15,0.18,5.78,118.8,0.38,8.18,0.31,0.57,"1"
3.45,1.36,8.37,0.03,21.63,4.43,5.89,19.83,1.43,1.05,0.98,29.64,7.42,0,7.29,0.11,0.01,0,0.32,0,0,0.22,0,0.36,0.43,25.52,2.71,0,0,4.27,124.82,1.43,0.86,0,0.02,5.29,4.03,0,0,0,19.22,4.74,12.91,7.93,17.94,3.42,0,0.04,0,18.46,12.05,0,0,2.07,0.02,22.29,0.02,4.89,20.18,0,1.86,0.31,0.58,2.72,6.05,0.23,2.44,0,35.53,12.97,0,1.39,0,10.14,6.55,18.41,0.52,4.85,2.41,93.34,1077.47,3.07,4.84,6.43,0.33,0.01,0,0.27,0,9.89,0.26,2.04,3.28,2.82,0.42,0.77,0,1.29,1.27,14.89,10.19,0.1,0.99,2.22,4.67,0.29,9.29,11.45,0,150.1,0.01,1.92,1.81,0,1.15,0,1.56,1.23,0,0.04,2.35,16.06,0.01,0.79,9.24,0,2.6,8.78,3.79,9.51,6.61,0,3.62,0,0,1.24,0,0.17,10.09,1.14,8.85,8.51,1.28,18.61,5.41,2.61,10.67,0,2.32,0,9.42,0.49,0,0,0,6.94,0.04,0,5.61,14.39,7.06,6.96,0.54,0.63,194.55,2.26,0.88,0,1.84,5482.14,0,0,0,0,0,12.05,4.33,4.44,0,6.69,0,0.2,0,0.04,0.11,4.33,0,1.6,0,0.28,0,0,0,0,0,8.31,0,0.07,0.19,0,0,0.02,45.54,0.91,0,171.3,0,25.82,2.5,0.45,1.45,0,0,3.11,0,0,"1"
7.02,8.74,11.05,1.54,36.63,5.59,28.83,72.95,6.19,9.93,0.71,16.48,13.73,2.02,25.32,0.43,1.17,0.02,1.62,1.09,0.07,0.68,0.11,0.92,0.36,37.3,25.21,0.45,4.62,5.98,125.97,3,1.88,6.53,22.35,6.38,4.44,3.15,1.84,113.6,25.04,13.39,35.72,10.16,32.23,9.28,0.52,2.26,2.85,31.58,54.21,3.03,1.27,3.48,1.29,10.92,0.03,73.19,10.6,0.1,10.51,3.68,7.41,1.7,12.27,0.54,6.61,0.09,260.85,17.17,0.58,5.63,0.3,2.21,13.54,8.51,13.23,20.63,4.89,52.1,556.31,8.87,27.44,20.3,0.75,0.01,0.29,10.5,0.15,10.63,3.62,4.57,9.49,4.26,1.69,4.45,0.02,3.54,0.93,8.86,30.88,16.32,1.35,3.6,3.22,4.06,26.21,26,0.2,149.71,3.9,4.17,7.4,0.01,19.68,7.16,1.89,5.62,58.5,0.74,3.88,15.4,0.16,1.23,11.75,0.3,4.07,33.95,6.11,8.07,28.63,0.33,4.82,0.01,0.26,3.84,6.89,5.1,14.1,5.49,8.83,9.08,8.25,34.48,5.4,8.57,20.75,0.3,7.23,3.21,10.19,1.04,0.26,0.04,0.17,24.68,0.02,0.31,5.86,54.65,16.45,8.34,0.24,0.59,19.15,2.1,4.43,0.1,0.17,4300.93,0.12,3.44,1.36,1.45,0,18.31,2.46,7.14,0.45,11.72,2.98,0.7,0.09,0,0.47,4.25,0.8,2.41,0.5,0.65,0.02,0,0.02,0,0.05,2.94,3,2.5,0.58,1.42,0.17,1.34,18.95,0.81,1.1,3.76,0.05,19.85,16.95,0,3.94,4.76,0.14,7.98,0.19,0.09,"1"
8.64,14.27,10.9,13.23,56.99,9.86,30.07,106.98,8.02,14.52,0.69,23.31,13.7,3.04,16.05,0.71,1.56,0.1,511.69,3.56,0.19,0.39,0.05,1.19,7.82,55.65,19.9,0.59,14.89,7.09,133.72,7.36,3.15,8.27,50.1,4.5,2.67,6.09,4.68,115.92,13.75,12.59,49.67,13.84,28.44,18.77,0.7,1.51,2.24,49.25,58.93,2.82,5.68,5.7,1.4,9.84,0.06,38.14,15.45,0.33,6.17,2.23,5.82,0.94,20.1,0.24,8.84,0.2,210.54,36.41,3.44,13.62,5.07,2.8,16.28,13.42,13.08,12.34,5.62,97.73,382.41,9.44,39.34,28.49,1.27,0.12,1.09,7.74,0.08,10.73,5.05,5.92,5.73,4.07,1.86,4.96,0.09,9.12,1.58,15.25,50.3,10.85,1.36,6.46,5.76,4.17,33.12,16.21,0.5,191.61,5.16,6.43,12.45,0.05,23.82,10.25,3.15,14.35,17.38,1.2,2.46,19.92,1.14,0.87,21.62,0.29,7.55,23.56,0.85,8.77,19.73,0.19,7.27,0.04,0.31,6.95,8.58,5.34,36.32,4.42,11.29,13.83,12.17,54.25,13.33,4.55,13.21,0.58,8.27,3.55,5.67,0.81,0.13,0.07,0.31,18.12,0.01,1.26,10.28,118.22,22.17,16.98,3.58,1.55,31.99,8.35,14.49,0.06,6.88,5046.62,0.24,1.7,0.85,1.57,0,38.89,1.35,8.61,5.16,17.95,3.2,4.34,0.08,0.21,0.2,4.04,0.33,0.66,0.07,0.54,0,0.06,0.03,0,0,8.67,0.66,7.96,3.3,0.22,0,1.59,16.83,3.78,0.84,6.81,0.06,34.28,26.22,0.15,9.61,2.3,0.03,7.91,0.1,0.28,"1"
6.75,4.28,10.09,2.22,27.63,8.93,20.66,47.75,4.14,12.78,1.6,9.92,11.98,4.57,10.94,0.43,9.05,0.5,142.77,0.66,0.23,0.02,0.01,0.14,0.88,31.26,25.24,0.53,0.69,6.17,163.85,0.54,1.98,8.37,10.6,3.91,6,0.5,2.9,33.44,19.03,6.92,24.01,15.59,33.22,9.22,0.24,1.92,3.52,29.89,20.6,4.87,4.94,8.87,1.11,8.51,0,106.84,2.18,0.45,5.14,1.68,0.83,2.05,7.85,0.19,4.18,0.06,181.6,10.26,0.73,8.58,1.43,3.12,8.04,8.85,16.08,29.61,5.8,118.68,870.96,2.77,10.3,28.21,0.42,0.1,0.18,2.93,0.13,5.7,4.48,3.22,8.15,7.63,1.54,5.05,0.06,6.04,0.74,13.19,17.43,2.84,1.75,3.91,2.1,2.52,9.68,16,0.17,230.48,3.75,5.58,3.59,0.01,5.63,6.94,3.71,4.72,52.96,1.16,2.57,18.84,0.46,0.82,10.7,0.06,1.89,39.79,0.01,12.96,23.31,0.18,8.72,0.05,0.09,4.12,3.86,10.73,18.74,1.25,8.73,15.38,1.76,8.28,4.12,3.98,6.79,0.34,5.86,1.63,48.46,0.69,0.06,0.08,0.08,11.73,0.03,0.09,5.93,71.92,12.3,7.68,0.06,0.42,50.48,1.52,3.32,0.02,0.2,6035.46,0,1.98,1.68,1.98,0,15.35,0.76,5.06,0.91,10.54,0.32,1.22,0.16,0.07,0.31,3.81,0.89,0.09,0.73,0.3,0,0.14,0.02,0,0.01,4.08,2.81,3.6,0.31,2.95,0.39,0.69,14.94,0.76,4.34,4.11,0,13.65,17.77,0.4,5.9,4.24,0.03,2.81,0.03,0.11,"1"
9.36,11.26,10.66,9.51,54.55,5.73,27.04,137.84,8.23,12.51,0.53,3.49,14.58,3.55,28.48,0.6,2.59,0.28,514.33,5.73,0.3,0.22,0.27,0.67,19.29,73.56,22.77,0.68,11.59,5.18,144.7,6.63,5.48,16.76,25.46,4.7,3.76,3.29,6.64,179.08,20.01,12.6,40.51,9.29,43.94,27,1.05,2.38,3.99,34.73,43.84,10.25,14.39,5.54,10.34,12.41,0.01,22.05,13.81,0.98,14,4.74,5.29,2.02,16.23,0.51,8.99,0.07,358.43,10.82,1.56,11.85,10.86,1.69,15.29,11.27,19.66,11.71,5.25,157.69,466.19,9.72,27.64,26.62,0.66,0,1.11,16.02,0.12,8.6,8.18,9,7.12,3.56,3.78,7.24,0.19,8.51,4.11,14.01,39.4,13.48,1.79,6.75,5.29,4.05,48.55,18.58,0.52,152.44,6.78,6.75,14.89,0.06,31.18,30.57,2.4,14.61,119.1,3.07,1.03,23.89,0.62,0.7,19.29,0.74,8.14,39.64,0.09,10.54,30.14,0.85,5.17,0.09,0.12,4.74,25.56,10.63,25,2.05,22.45,11.23,7.04,30.68,9.95,5.22,12.76,0.38,6.38,8.63,14.09,1.28,0.3,0.19,0.57,15.73,0.02,0.79,7.62,75.76,23.29,16.04,0,0.08,20.72,0.5,16.96,0.07,0.19,4426.3,0.33,14.96,18.58,34.11,0.17,26.98,1.07,2.75,6.69,17.64,8.27,0.09,0,0.12,0.5,3.21,4.44,0.31,1.59,0.24,0.06,0,3.34,0.08,0.23,7.34,17.51,13.05,0.36,25.13,8.39,1.8,14.5,0.34,20.06,7.8,0.15,27.75,20.21,0,12.51,29.86,0.03,8.69,0.56,0.36,"0"
10.13,10.97,16.16,12.69,47.96,15.51,42.69,235.47,8.46,8.86,0.81,5.74,22.48,3.68,38.85,1.94,8.35,0.08,1495.19,2.11,0.13,4.19,0.47,0.59,8.14,78.25,22.81,0.61,10.46,3.52,181.42,8.23,4.36,14.11,46.17,8.26,7.98,12.14,3.9,33.75,17.65,13.77,34.57,18.2,54.4,16.42,0.68,4.09,2,25.26,48.92,2.38,4.78,5.81,1.58,8.33,0.01,54.41,19.53,0.13,9.14,5.48,2.98,2.77,12.28,0.71,8.14,0.05,256.75,9.33,7.05,12.92,10.5,0.65,15.23,9.04,11.09,12.11,6.96,181.52,642.73,13.22,29.56,30.71,1.12,0.2,0.98,18.07,0.08,9.25,5.86,4.79,10.16,6.32,1.51,3.49,0.47,11.82,3.66,10.32,55.25,20.24,2.37,7.99,3.05,10.37,43.85,28.08,0.36,161.49,5.62,8.54,18.72,0.34,44.18,20.74,3.27,7.25,9.44,9.22,6.7,18.06,0.38,1.35,10.18,0.49,6.91,30.26,0.22,11.21,43.01,1.28,6.69,0.04,0.36,5.2,13.35,3.15,25.09,12.36,11.11,17.42,10.12,29.48,8.67,7.68,17.5,0.25,7.37,3.94,11.9,1.85,0.55,0.21,0.65,13.52,0,0.49,8.29,89.55,18.15,16.05,0.3,0.65,10.72,1.28,47.92,0.1,0.34,2526.27,0.09,5.98,4.53,7.5,0.36,35.24,1.52,4.25,2.46,16.03,2.79,0.6,0.19,0.15,0.78,4.06,0.36,0.38,0.04,0.51,0,0,6.61,0.04,0.02,2.57,1.35,11.72,0.35,4.56,1.49,0.77,12.75,0.37,3.54,1.26,0.02,40.15,16.24,0.03,5.25,13.34,0.02,19.75,0.2,0.14,"0"
11.64,6.08,20.07,2.04,48.19,5.84,31.21,124.98,3.7,2.9,0.71,4.25,8.82,2.35,16.68,1.27,0.34,0.01,126.39,0.76,0.03,20.34,0.03,0.53,1.05,33.6,17.98,0.22,2.02,3.87,314.61,10.89,4.23,6.28,1.67,13.9,9.21,23.86,1.72,27.54,19.76,10.94,28.83,19.69,50.9,11.3,0.85,0.59,0.97,28.62,29.12,1.2,2.46,7.52,19.61,21.39,0.07,168.44,28.52,0.07,6.41,8.23,3.7,2.54,25.59,0.77,6.38,0.01,213.55,0.32,0.3,15.1,65.41,0.64,15.32,14.88,9.01,28.99,6.27,201.63,995.29,15.61,27.14,25.55,1.61,0,0.32,20.98,0.07,8.01,3.6,7.01,6.58,9.99,0.89,6.23,0.01,0.57,1.59,9.65,41.62,6.34,3.2,12.24,11.84,5.35,30.88,22.39,0.09,125.63,0.96,11.57,13.15,0.02,75.84,3.13,3.6,4.9,8.13,13.42,1.79,25.56,0.43,0.65,11,0.1,6.83,59.2,0,14.78,26.96,0.2,8.98,0.01,0.04,3.28,4.13,1.73,28.11,4.06,7.31,8.89,22.32,59.94,5.96,2.98,17.78,0.08,13.53,0.96,12.75,1.48,0.82,0.01,0.13,8.19,0,0.08,9.17,89.22,14.5,9.82,0,0.26,16.91,1.62,25.29,0,0,2591.46,5.23,12.47,34.52,6.76,2.82,18.94,2.14,6.19,0.74,17.7,1.7,1.51,0,0.08,0.19,4.53,0.86,0.12,0.06,0.05,0,0.18,0.89,0,0,2.58,8.69,6.6,0,4.45,1.99,0.19,13.44,0.1,14.32,1.59,0.03,29.44,17.97,0,3.91,13.2,0,15.31,0.05,0.01,"0"
6.91,8.36,13.87,12.27,67.14,7.65,17.14,66.76,4.72,11.87,0.26,13.74,10.3,1.77,19.93,0.62,4.68,0.11,202.28,2.13,0.1,2.08,0.11,0.61,53.46,107.64,54.4,0.89,7.2,3.58,257.48,7.09,1.54,14.38,50.26,5.22,5.12,2.11,5.54,225.04,18.53,9.59,31.94,12.28,55.87,12.72,1.05,7.46,3.55,31.74,44.33,5.24,12.05,11.04,9.56,8.02,0.02,167.75,20.24,2.24,14.87,4.15,3.59,1.03,11.71,0.45,7.38,0.11,278.53,9.39,4.19,9.61,0.62,2.09,12.78,21.34,7.81,25.93,4.98,128.8,513.57,8.32,30.87,24.2,1.05,0.01,1.05,10.6,0.18,6.23,4.88,3.89,8.63,3.69,2.91,3.99,0.13,4.56,1.62,11.54,39.1,8.23,1.24,7.18,7.17,2.36,29.4,18.13,0.38,153.8,5.65,7.32,38.11,0.1,27.15,13.13,3.14,6.91,72.35,1.94,3.34,14.66,0.84,0.99,12.45,0.39,5.22,38.8,0.15,7.06,23.96,0.64,5.3,0.05,0.22,5.66,11.74,3.07,18,5.95,13.39,16.63,3.26,17.17,5.26,2.29,18.07,0.54,10.92,3.9,9.98,0.6,1.1,0.15,0.65,16.58,0.09,0.22,10.07,94.55,18.45,10.51,0.14,0.38,2.55,0.55,13.52,0.09,0,2484.99,0.22,4.25,9.43,14.91,0.29,26.8,1.39,3.48,2.16,19.39,6.84,0.31,0,0.08,0.37,5.05,5.02,0.1,1.58,0.22,0.04,0.09,0.87,0,0.26,3.39,41.99,11.4,0.3,10.27,3.21,2.04,25.88,0.43,9.07,4.17,0.04,142.69,28.07,0,3.34,9.18,0.05,11.39,0.46,0.15,"0"
6.99,6.02,8.66,5.19,48.85,6.74,14.56,52.47,5.04,10.11,0.67,25.16,7.34,2.19,15.45,0.53,1.09,0.06,459.7,1.98,0.34,0.16,0.07,1.03,0.1,36.17,24.21,0.59,5.91,13.97,148.18,6.46,2.74,7.92,6.83,3.8,3.86,2.65,2.23,289.96,33.05,7.22,27.6,7.21,28.39,6.05,0.74,3.14,2.06,16.35,38.85,2.13,8.7,5.05,1.28,31.53,0.03,94.29,3.63,0.05,7.82,3.65,4.41,1.42,11.97,0.3,7.38,0.01,215.6,14.54,2.16,5.45,1.42,2.17,14.73,10.2,5.45,12.7,7.11,46.77,381.43,6.26,9.41,15.04,0.86,0.02,0.56,13.01,0.26,10.96,2.64,2.79,7.86,2.55,1.33,5.55,0.01,4.36,1.51,6.64,31.39,5.36,1.08,4.1,8.13,1.85,27.47,17.33,0.4,138.94,4.79,4.3,8.16,0.03,11.63,17.52,2.13,4.58,55.62,1.1,2.12,13.4,0.84,0.76,11.2,0.28,4.14,23.61,0.08,6.86,23.72,0.3,4.02,0.03,0.25,4.29,12.96,10.23,14.32,1.42,13.46,17.15,7.49,28.7,11.37,23.45,11.7,0.54,8.9,4.6,7.78,0.52,0.2,0.1,0.37,17.81,0.03,0.53,4.15,46.92,10.29,9.22,0.12,0.49,8.99,0.73,7.24,0.07,0.44,5514.16,0,0.27,0.4,0.2,0,17.73,2.01,7.5,1.86,11.5,3.83,0.35,0,0,0.28,3.57,0.21,2.91,0.27,0.36,0,0.13,0.15,0,0.07,4.95,0.16,6.12,0.11,0.23,0,2.86,26.32,0.43,0.62,10.69,0,26.17,8.99,0,5.22,0.61,0,5.39,0,0.13,"1"
6.89,6.05,10.1,2.9,43.84,5.58,15.76,46.77,3.46,10.65,0.44,12.99,8.26,3.4,20.59,1.03,8.22,0.23,13.26,7.11,0.04,1.09,0.06,0.75,19.71,29.42,17.32,3.91,13.52,5.09,121.84,3.26,2.27,31.59,42.17,4.05,3.41,3.6,7.25,179.46,17.49,6.01,18.3,11.26,32.27,10.6,1.18,3.24,2.92,16.35,26.49,6.24,13.55,6.75,5.75,9.01,0.03,61.14,19.68,0.27,10.77,2.69,3.39,0.84,13.44,0.45,6.69,0.14,200.7,0.39,6.02,7.71,38.43,1.35,7.93,7.92,3.6,12.05,5.03,61.81,490.45,6.93,24.59,23.96,1.29,0,1.51,13.14,0.14,5.68,6.43,3.85,5.21,4.95,3.47,4.34,0.2,3.65,2.4,9.21,18.72,5.8,0.96,4.25,6.83,2.38,27.96,14.91,0.43,123.95,5.5,8.62,10.62,0.07,28.27,28.27,2.55,4.36,100.33,2.32,5.37,12.7,1.7,0.58,6.7,0.54,3.87,38.13,0.06,4.62,30.56,1.08,4.15,0.04,0.12,4.01,29.86,8.51,19.3,2.52,9.21,11.97,7.93,21.05,3.1,3.37,14.84,1.57,11.01,3.95,8.31,0.35,0.56,0.07,0.68,11.58,0.08,0.65,5.31,70.05,10.97,10.3,0,0,6.95,1.67,9.37,0.19,0.67,3300.57,0,1.26,0.23,3.37,0.1,24.76,0.7,2.49,3.74,8.47,7.01,0.34,0,0.07,0,2.46,0.91,0.29,0.29,0.24,0,0,0,0,0.23,6.48,1.48,16.91,0.33,0.66,0,1.52,21.87,1.26,2.36,1.76,0.04,17.66,14.43,0,3.57,2.56,0.04,5.08,0.43,0.33,"0"
15.69,27.62,10.22,5.08,88.44,6.17,45.33,175.96,9.81,8.26,0.54,1.62,20.83,3.62,25.85,0.26,7.77,0.58,3.1,2.8,5.71,0,0.28,0.44,297.63,52.62,32.13,2.47,14.06,4.48,162.69,9.36,5.56,19.26,28.25,9.52,5.94,3.7,5.39,63.95,16.69,10.47,30.29,16.76,68.4,18.52,1.14,3.12,2.72,44.33,45.17,3.6,14.07,7.72,7.25,8.5,0.06,91.16,7.74,0.57,11.95,10.95,2.28,3,15.85,0.46,7.03,2.17,287.38,2.28,0.84,14.2,31.29,7.96,3.13,13.03,7.28,17.42,6.67,106.3,576.63,14.46,7,26.74,1.64,1.52,0.14,15.64,0.07,5.44,6.17,18.91,10.42,7.63,2.84,3.43,0.05,8.49,4.3,14.12,44.93,7.66,1.84,7.71,6.39,17.71,19.58,22.02,0.49,230.43,5.53,5.38,23.03,0.07,8.43,21.42,3.93,4.96,81.98,0.14,2.01,15.63,0.67,1.05,15.74,0.46,7.51,25.32,0,15.39,17.46,0.43,5.99,0.15,0.13,2.98,13.29,7.71,31.42,2.64,27.6,16.95,15.12,53.07,3.04,4.88,15.71,0.51,8.25,4.58,15.08,0.95,0.03,0.09,0.51,13.88,0.03,0.43,6.01,108.45,26.2,20.82,0.09,0.41,13.74,1.16,43.62,0.24,0.21,2049.42,0.11,18.09,39.63,20.4,0.62,21.46,2.68,4.27,1.52,16.09,2.61,0.3,0,0.05,0.3,3.52,46.87,0.4,1.03,0.19,0.1,0.11,0.05,0,0.03,2.43,28.21,9.57,0.29,10.28,3.2,0.59,8.34,0.19,11.5,7.45,0.14,31.65,27.98,0.04,12.65,21.15,0.03,43.7,0.22,0.44,"0"
6.14,19.28,4.41,6.35,43.29,19.27,34.76,32.45,5.12,8.07,1.32,32.88,14.27,0.99,27.31,0.45,0.57,0.07,77.88,1.48,0.16,6.6,0.13,0.26,1.37,33.81,19.84,0.33,3.59,20.4,203.3,1.76,4.25,9.21,20.29,4.83,3.76,3.41,2.23,75.61,34.13,5.27,25.98,7.04,48.6,17.52,0.26,1.5,2.13,33.9,43.81,2.52,3.06,5.25,1.4,11.94,0.03,76.71,19.49,0.17,8.23,8.11,5.08,2.35,17.74,0.25,6.02,0.03,141.63,13.92,0.79,5.09,1.03,4.5,16.1,10.67,5.49,16.53,4.44,102.39,414.03,4.89,58,15.72,0.63,0.06,0.4,10.21,0.24,9.75,2.99,4.31,8.8,3.47,1.07,4.18,0.04,10.92,1.58,13.78,29.66,2.28,0.92,4.37,5.54,1.2,45.75,19.53,0.22,176.42,1.74,4.21,10.46,0,19.9,8.84,2.67,10.03,43.43,1.44,3.39,16.17,0.3,1.11,10.28,0.53,4.02,42.71,62.17,8.37,33.61,0.46,6.84,0.01,0.1,3.71,5.27,4.63,18.13,9.07,12.11,14.89,10.16,35.65,6.57,7.9,21.47,0.13,5.24,2.59,9.11,0.58,0.19,0.06,0.2,20.57,0.01,0.31,5.28,81.59,12.42,9.3,0.09,0.54,15.24,3.23,4.39,0,0.37,3307.73,0,3.77,8.76,1.68,0,21.08,1.24,9.77,0.95,13.14,3.98,5.45,0.07,0.37,0.17,2.74,0.11,1.61,0.27,0.27,0.02,0,0,0.03,0.05,3.52,1.05,5.58,0.64,2.91,0.89,1.46,14.55,0.97,0.95,4.97,0,23.59,11.19,0.04,3.05,3.18,0.04,6.03,0.04,0.16,"1"
3.55,0.67,12.63,1.51,15.94,5.21,10.23,32.82,2.09,4.34,0.91,20.14,9.16,0.01,9.16,0.84,0,0,3.68,0.02,0,0.58,0,0.43,0.17,43.61,13.83,0.03,0.15,5.25,127.19,2.95,1.67,0.04,0.01,5.47,2.81,2.49,0.1,2.96,18.98,4.15,13.45,12.33,26.35,6.26,0,1.5,0.19,15.33,7.37,0,0.04,3.2,1.05,13.52,0.02,6.82,8.42,0,4.17,2.69,0.57,3.24,7.22,0.03,2.53,0,28.55,17.45,0.01,2.88,0.05,17.33,4.19,13.99,2.02,13.17,5.48,206.03,1208.76,2.52,2.41,15.86,1.38,0.04,0,0.68,0.02,6.94,1.1,4.01,2.07,2.94,0.5,4.31,0,2.45,4.26,17.6,12.34,0.24,0.8,3.6,6.4,0.61,17.13,12.51,0.12,215.1,0.02,1.51,0.58,0,1.26,0.03,1.63,1.09,4.36,0.31,0.81,12.61,0.3,0.87,13.74,0.01,1.9,8.96,0.04,9.78,15.64,0.02,3.41,0,0,2.58,0.1,3.11,10.31,1.13,7.17,19,1.39,19.77,4.85,4.62,14.29,0.01,3.46,0,12.13,0.49,0,0.01,0.04,10.99,0.04,0.02,4.65,31.8,6.81,7.67,0.15,0.38,526.27,3.36,1.01,0,8.2,12115.18,0,0,0,0,0,11.78,2.82,5.15,0,7.59,0,0.16,0,0.79,0.35,3.88,0,0.51,0.25,0.52,0,0,0,0,0,6.77,0,0.13,0.62,0,0,0.16,40.98,1.19,0,229.29,0,23.09,8.97,2.6,4.09,0,0,1.67,0.06,0.02,"1"
