"MAP3K14","KDM5D","ATP2C1","ARNTL2","RAB27B","DSG2","POLQ","LAMA3","DLX3","DMRT3","SEC61A2","TRO","PRR11","MAP2K7","ZNF324","ZNF671","EZR","KLHL22","UPB1","RIN3","SALL4","RSPO4","FERMT1","OIP5","CRTC1","AVL9","CDK6","MET","WASL","MTMR4","OSBP","SLC35F2","ZNF346","SMC4","DHCR24","APOA1","KIF14","TRIM67","TMEM175","LRP3","ACAP3","TOP2A","PUM1","MICAL1","ANP32B","UBL7","DEF8","RNF157","SEMA6C","C1QL2","EIF2A","NCEH1","C7orf50","MAL2","FAM83A","INCENP","MPZL2","EPS8","PTPN14","SLC6A1","RNF166","TUBBP5","U2AF1L4","RACGAP1","SCNN1D","FAM160A1","ITGA2","RAD21","HDX","REEP3","MYO5B","MLKL","NMD3","CKAP2L","PDCD6IP","ARMC10","ZNF296","PRPF8","KCTD13","MRPS22","RAB6A","CCDC57","ZNF404","ANAPC2","ZNF575","CLK3","GPC5","GIPC3","D2HGDH","SLC26A11","DDX60L","ZNF467","SIAH2","ZNF708","ANXA2","LCK","FAM43A","UBE2H","S100A16","FBF1","EVL","MIER1","OXCT2","SPRN","GPRIN2","ZBTB48","PCDHA1","SERPINB5","SYT3","LTC4S","HERC2P4","MIR155HG","RBM14","ASPRV1","TP53TG3B"
5.72,0.23,37.47,28.21,3.64,20.64,5.2,45.09,0.21,0.01,2.47,8.4,7.54,8.16,2.8,2.08,55.06,12.84,2.66,5.11,10.08,0.2,10.33,1.67,6.15,13.51,22.51,48,19.85,10.4,13.12,8.45,9.35,22.64,10.54,0.15,2.44,0.05,12.93,5.78,18.01,20.29,28.12,13.09,21.94,9.51,22.6,3.33,1.62,0,31.55,9.94,16.88,23.21,3.65,4.55,20,26.25,34.74,1.9,9.13,0.73,7.89,8.28,2.04,17.24,37.04,49,1.92,27.64,6.48,11.33,25.83,2.78,36.85,20.56,0.5,37.74,11.2,15.71,38.26,98.12,1.6,17.5,0.63,28.16,0.19,0.46,31.56,11.9,8.56,1.25,8.2,9.59,612.92,3.71,1.67,36.43,31.5,13.77,30.96,20.24,1.02,0.22,1.78,9.57,0.05,10.2,0.19,1.76,7.83,0.95,17.74,0.51,0.02
1.42,0.09,11.35,26.23,5.28,37.25,1.96,59.36,0,0,0.67,0,11.11,5.25,1.36,0.68,299.52,1.8,0,0.14,0.05,0,7.68,4.36,0.62,5.5,10.24,61.22,5.2,2.78,5.75,24.13,2.94,21.66,50.99,0.04,1.9,0,2.92,0,3.36,24.68,21.9,2.18,7.81,7.34,16.95,2.41,0.09,0,37.59,27.52,29.3,102.11,21.32,7.88,35.68,22.36,4.83,0,2.93,0.61,5.11,45.36,0.1,1.45,17.71,19.01,0.32,11.11,6.53,5.99,18.03,4.44,19.82,9.15,0.11,9.02,0.92,37.47,28.96,14.09,0.61,3.89,0.07,8.33,0,0,4.01,0.3,12.87,0.08,5.77,0.38,914.11,4.13,0.49,18.31,141.47,0.86,0,7.06,0.02,0,1.78,3.04,0,22.84,0,0,0.08,0.07,14.74,0.37,0
2.96,0.05,29.22,24.81,6.07,51.32,1.72,66.58,0.82,0.08,1.56,2.2,7.89,5.88,1.77,1.23,349.48,4.82,0.37,2.35,2.02,0,12.61,1.69,1.24,20.81,18.23,82.56,24.39,10.13,17.88,7.63,3.61,16.86,21.44,0.33,2.7,0.03,3.57,2.27,3.7,27.97,24.49,5.53,25.34,7.38,13.17,1.44,0.96,0.02,31.33,14.74,16.04,133.43,49.54,9.15,37.01,62.57,11.46,0.62,3.56,0,2.66,11.58,0.33,4.62,29.34,73.11,0.51,38,10.36,8.29,25.14,3.09,68.58,21.24,0.52,44.14,2.29,15.39,40.99,17.56,0.88,4.14,0.19,10.21,0.02,0.29,4,1.89,15.7,0.51,8.71,4.15,933.33,5.97,2.58,43.39,98.29,1.1,14.18,16.45,0.15,0.08,1.11,3.87,0.01,14.76,0.15,0.25,1.41,0.68,9.51,0.2,0.08
3.83,14.5,38.77,13.42,6.85,68.59,1.24,331.55,0.31,0,3.49,3.32,4.15,4.49,3.32,1.44,180.12,4.56,0.35,6.28,2.55,0.01,69.79,1.97,1.98,41.84,25.88,45.35,30.21,6.75,26.54,19.95,4.77,31.41,32.67,0.58,2.3,0.08,4,2.41,6.66,10.87,32.46,9.96,37.4,9.59,11.21,1.39,0.78,0.01,43.93,18.41,28.08,77.74,13.75,8.25,55.44,49.78,9.88,0.56,3.46,1.3,3.17,9.75,0.62,3.94,80.31,54.24,2.43,36.3,36.73,10.65,33.95,2.73,55.07,24.15,0.76,40.26,6.74,12.95,66.9,13.72,0.96,6.84,0.32,17.62,0.19,0.75,2.4,2.98,28.37,2.15,10.1,8.42,1642.19,2.61,3.04,42.14,78.6,1.44,14.15,22.17,1.26,0.07,1.55,5.14,0.03,76.06,0.02,0.47,3.39,0.44,11.13,0.26,0.02
0.75,7.61,24.65,15.74,3.73,224.38,2.62,147.77,0.02,0.05,1.48,1.27,12.29,2.09,1.38,1.32,41.94,5.47,0.11,2.23,2.5,0,23.31,7.17,0.35,14.69,7.89,17.15,11.45,7,9.89,8.12,3.86,34.36,8.77,0.7,7.22,0.01,1.43,0.4,2.42,71.67,13.78,3.34,17.31,7.64,8.53,0.5,0.35,0,47.51,6.2,14.11,88.24,30.68,6.54,34.47,14.33,5.75,0.58,2.42,0,2.16,25.23,0.2,1.69,33.03,93.41,0.91,29.54,1.48,13.73,31.07,12.56,45.03,18.63,0.12,24.01,1.61,49.68,21.55,8.72,1.18,2.96,0.11,8.94,0.02,0.22,1.71,0.99,13.06,0.43,7.2,3.64,1176.01,1.98,0.84,15.11,163.97,1.26,7.69,12.3,0.13,0.02,0.11,2.88,0.01,42.14,0.04,0.03,1.15,0.67,6.73,0.28,0.01
1.89,0.07,42.28,18.33,6.28,35.91,0.85,27.61,0.1,0,1.36,1.85,3.06,4.21,2.53,1.26,126.15,5.13,0.3,3.81,1.91,0,16.52,1.24,1.7,15.79,22.62,48.15,27.38,10.03,20.07,8.53,3.36,17.83,31.78,5.07,0.77,0.05,4.97,3.58,3.03,8.45,25.75,4.18,27.63,8.39,10.99,1.62,1.01,0,41.68,22.56,12.64,93.06,2.67,6.22,39.61,54.39,14,0.96,4.45,0.11,2.88,6.59,0.29,3.49,68.72,43.86,1.44,51.42,15.39,10.33,35.15,1.37,16.07,20.11,0.71,32.1,3.09,17.71,43.29,10.83,0.18,4.29,0.19,11.29,0.12,0.54,3.83,1.34,8.16,1.56,11.81,4,866.36,1.07,1.8,43.21,72.67,1.87,12.22,23.29,0.5,0.05,2.35,4.39,0,12.87,0.52,0.89,0.35,0.46,7.32,0.31,0
2.5,14.04,40.46,3.53,19.24,59.36,0.68,56.61,0.06,0,1.51,1.25,1.48,5.64,3.3,0.92,327.45,3.36,0.24,1.53,2.24,0.01,18.71,0.4,2,15.95,13.05,32.87,23.2,5.6,27.88,5.62,4.01,15.42,80.51,1.04,1.05,0.03,3.64,1.85,5.4,59.13,36.51,10.94,15.7,9.43,8.56,2.16,0.61,0.01,34.09,14.85,14.44,81.36,5.04,6.53,37.62,41.02,10.74,0.22,3.93,1.57,2.32,9.43,0.17,3.96,34.59,38.76,0.8,29.95,16.59,8.05,29.4,1.1,68.46,18.03,3.18,34.24,4.5,15.21,40.64,15.07,0.71,3.74,0.14,17.95,0.2,0.18,4.68,1.35,7.8,0.46,9.97,3.72,519,32.7,1.72,24.05,89.37,1.96,6.21,18.15,0.07,0.02,4.75,6.18,0.03,50.42,0.02,2.14,0.35,0.14,10.68,0.7,0
1.41,0.03,32.3,6.01,6.69,72.79,0.59,25.12,0,0,1.67,0.27,2.28,5.8,4.86,0.32,103.63,2.92,0.12,2.3,0.21,0,53.37,0.79,1.4,32.61,28.07,102.2,20.11,4.94,17.84,2.94,1.87,12.31,51.56,0.26,1.85,0,4.46,1.84,2.58,17.67,28.39,3.42,10.56,7.29,11.18,0.7,0.32,0,48.64,15.12,30.22,95.03,0.85,5.93,21.4,22.04,9.54,0.11,3.72,0,6.72,9.69,0.13,2.93,43.58,33.16,0.28,33.28,17.58,4.52,26.17,1.7,50.07,32.3,0.84,22.96,2.27,24.81,40.22,10.31,2.38,3.1,0.25,6.5,0,0.14,7.4,0.79,3.48,0.56,8.16,2.73,513.81,10.48,5.97,29.84,179.64,1.89,2.57,14.5,0.08,0.05,3.08,5.01,0,19.85,0.03,4.14,1.03,0.02,6.12,0.61,0
1.56,0.09,31.44,10.03,9.47,34.7,0.77,63.62,0.01,0,1.76,2.16,1.52,3.57,2.55,1.71,99.47,4.83,0.35,6.34,0.87,0.01,40.53,1.47,1.28,17.48,19.71,40.43,15.6,4.93,16.47,12.31,3.35,9.46,49.35,0.19,1.26,0.05,6.24,6.86,4.82,9.02,23.84,7.54,12.57,8.55,14.09,5.41,0.35,0,21.81,12.09,26.31,57.53,1.25,7.58,22.56,44.04,10.1,0.56,6.85,0.61,4.19,8.01,0.55,1.52,71.98,26.68,0.96,17.54,15.18,6.73,17.82,1.49,45.83,18.4,0.22,27.66,3.47,12.34,28.23,12.1,0.53,5.25,0.37,15.05,0.11,0.45,4.16,1.84,10.2,1.66,8.48,1.57,1385.64,6.27,2.2,34.25,119.92,2.29,13.48,18.45,0.31,0.11,1.9,6.49,0.15,35.88,0.28,1.7,1.67,0.11,8.86,0.51,0.01
2.54,0.13,29.32,18.44,5.51,58.56,1.28,120.67,0.11,0.04,2.53,2.47,3.68,3.54,2.71,0.66,139.89,4.95,0.28,3.99,5.24,0.05,16.19,2.16,3.33,17.15,29.34,40.45,11.79,5.39,18.41,5.75,4.08,10.38,27.12,0.03,0.91,0.05,6.55,4.63,7.42,11.8,26.09,3.76,17.84,9.36,20.12,0.42,0.65,0.03,19.83,9.02,29.13,64.11,24.25,9.9,50.54,24.43,15.98,0.44,5.32,1.32,4.33,10.25,0.41,4.26,50.38,33.85,0.98,19.69,8.89,4.88,17.89,1.65,36.19,18.54,0.91,27.46,3.39,11.85,36.41,14.59,0.8,7.17,0.38,18.48,0.01,0.21,6.82,1.78,8.34,1.98,11.35,4.01,1121.9,11.15,1.22,35.01,56.69,1.52,14.51,10.29,0.57,0.32,1.5,4.48,0.06,17.52,0.09,0.45,3.51,0.2,12.33,0.51,0.02
0.95,9.62,19.32,11.43,16,50.14,0.46,94.58,0,0,1.19,1.95,1.19,4.06,2.66,1.3,85.75,5.08,0.24,4.82,1.66,0,46.11,0.22,1.49,11.25,14.13,45.49,11.13,5.06,11.43,2.59,1.96,6.04,4.68,47.51,0.59,0.03,4.59,7.96,3.07,4.14,17.03,7.06,12.04,8.05,12.17,0.89,0.54,0,19.06,6.53,15.63,48.54,55.51,3.59,8.24,75.25,9.72,0.39,4.41,0.5,2.87,5.15,0.16,1.55,50.9,23.87,0.63,20.15,27.62,4.9,16.41,0.6,35.75,11.55,0.28,25.07,2.55,12.68,23.26,10.35,0.16,4.62,0.39,11.02,0.05,0.42,3.32,2.09,5.2,1,7.62,2.46,942.82,2.2,4.21,31.04,97.47,1.21,14.38,10.97,0.16,0.35,1.75,2.62,0,47.34,0.12,2.23,0.4,0.17,7.09,0.26,0
3.77,16.53,35.75,20.16,12.47,39.42,2.23,13.81,0.02,0.02,1.62,0.88,8.64,2.61,2.43,0.93,72.96,5.84,0.24,5.17,0.52,0.07,13.7,2.54,1.38,14.48,8.98,25.09,42.41,14.46,12.49,0.85,3.37,25.15,30.02,0.4,3.98,0.01,3.5,2.14,2.8,45.59,32.81,6.91,34.82,10.61,9.13,1.19,0.76,0.06,42.26,16.63,16.4,112.32,0.61,7.88,4.26,30.88,4.27,0.62,3.74,0.18,2.82,17.13,0.07,10.38,22.27,74.11,0.93,19.98,28.92,5.53,27.55,4.34,68.32,31.18,0.67,49.88,5.31,17.9,32.46,15.98,0.6,6.37,0.19,19.26,0.08,0.43,3.61,2.31,13.12,0.67,12.37,7.38,481.27,6.98,1.18,31.26,68.21,2.71,6.5,26.2,0.46,0.02,3.22,4.24,0.02,24.96,0.03,1.05,0.29,0.34,12.61,0.46,0
1.29,0.08,35.98,22.03,10.48,181.88,1.51,41.77,0.31,0.02,0.57,1.4,5.98,5.76,2.37,0.69,561.04,2.97,0.07,3.24,3.26,0.1,26.22,2.64,1.06,14.59,11.56,69.61,13.34,9.33,20.23,14.51,2.16,14.96,26.31,0.21,1.69,0.03,1.71,4.38,2.6,20.9,18.43,8.96,16.26,10.03,8.11,0.27,0.9,0,65.87,14.92,14.74,115.06,63.94,9.76,36.48,58.26,7.93,0.6,2.13,2.1,1.21,16.66,0.21,5.32,98.23,69.22,0.39,29.56,16.89,4.01,35.81,1.79,77.48,14.24,0.32,29.62,1.19,35.93,49.59,6.56,0.56,3.78,0.1,28.17,0.02,0.23,2.32,1.23,5,0.86,20.02,2.53,1313.61,42.56,1.83,31.41,312.38,0.87,7.09,12.42,0.21,0.05,2.05,3.87,0.04,35.94,0.04,0.8,1.24,0.12,9.4,0.6,0.02
1.58,1.68,10.98,18.55,3.6,23.19,1.61,120.48,0.08,0,1.76,0.09,32.04,3.83,1.83,0.34,198.23,2.67,0.05,0.17,0.48,0,10.58,5.41,0.28,6.65,12.95,32.87,4.34,3.13,7.01,13.85,3.88,24.93,53.09,0.29,5.9,0,3.06,6.48,2.68,63.68,27.37,3.47,7.12,15.02,19.87,0.72,0.32,0.01,26.13,13.65,34.01,164.48,16.91,10.72,22.54,20.89,7.4,0,3.6,0.57,5.02,53.46,0.12,0.64,35.58,32.48,1.41,16.17,4.22,5.4,21.78,8.45,20.05,6.97,0.11,12.41,1.48,31.37,18.09,7.28,0.32,3.9,0.25,16.07,0,0.06,2.07,0.46,12.87,0.06,5.05,1.6,1002.22,2.97,1.99,15.9,210.73,1.04,1.22,6.81,0.02,0.01,1.51,3.54,0.02,18.09,0,0.03,0.5,0.27,12.79,0.05,0
1.96,0.07,27.55,13.37,12.99,40.27,0.76,73.9,0.02,0.02,0.92,1.38,3.13,4.67,1.73,1.29,199.14,5.28,0.19,5.51,1.37,0,7.94,3.41,1.85,12.21,11.46,33.64,15.27,9.95,16.99,5.71,2.84,11.03,45.6,3.89,0.89,0.01,4.28,7.41,3.23,13.02,28.37,5.99,14.85,9.87,10.62,0.87,0.5,0,23.52,29.33,14.28,92.08,2.55,8,17.98,46.79,10.96,0.23,3.71,1.44,4.88,5.95,0.12,3.76,29.68,41.18,0.78,10.05,18.78,6.16,17.79,1.46,67.43,12.77,1.27,33.01,3.4,16.06,30.17,10.08,0.63,5.25,0.25,12.48,0.12,0.31,5.49,1.24,17.47,0.71,8.75,2.48,657.28,3.01,1.32,22.37,50.81,1.88,10.46,12.95,0.36,0.05,6.54,4.99,0.04,7.94,0.16,0.79,0.27,0.24,8.37,0.33,0
1.28,0,55.19,11.3,11.18,47.44,1.55,44.75,0,0,1.52,0.7,3.67,4.22,1.95,0.77,101.23,6.04,0.17,2.82,0.8,0,21.62,1.47,0.85,18.13,25.46,38.9,10.51,6.96,30.44,15.04,1.53,7.94,57.23,0.8,1.53,0.01,3.94,11.14,1.9,17.35,19.05,3.99,14.34,11.04,9.34,0.47,0.68,0,25.12,22.28,15.46,21.6,7.33,12.7,59.15,44.8,9.02,1.29,3.84,0.27,1.45,13.18,0.08,6.38,38.79,17.42,0.46,11.63,15.61,8.21,23.08,2.6,46.71,17.52,0.38,43.03,2.29,23.7,43.25,7.92,0.92,4.61,0.1,16.58,0,0.33,4.35,1.68,3.2,0.52,10.25,1.5,399.08,1.51,1.84,33.64,54.52,1.69,4.61,17.32,0.07,0.01,3.18,1.87,0,9.21,0.12,1.25,0.58,0.18,10.2,0.21,0
2.15,0.17,34.23,15.23,8.64,128.57,0.87,63.71,0.02,0.01,1.5,1.22,2.36,4.09,4.18,0.85,123.09,6.97,0.17,4.49,1.32,0.11,6.63,0.83,1.48,16.91,23.25,65.91,7.78,8.65,18.71,16.39,3.14,7.57,21.42,0.48,0.68,0.03,4.5,5.51,4.66,9.24,29.78,3.03,9.08,10.09,9.14,0.76,0.72,0,17.44,14.63,18.28,97.99,21.78,7.31,44.29,52.08,14.27,0.16,3.04,0.62,5.58,7.8,0.21,12.31,49.71,41.83,1.55,19.79,14.95,3.96,21.4,0.64,68.24,17.23,0.36,36.51,3.57,13,36.51,11.6,0.96,7.13,0.35,10.32,0.06,0.36,6.12,1.73,12.52,0.63,8.94,1.58,769.79,3.52,2.44,21.02,67.73,2.4,10.33,12.37,0.19,0.05,1.52,5.42,0.03,28.07,0.09,1.12,1.07,0.22,10.11,0.24,0
1.63,0,8.5,27.28,10.28,21.26,1.08,60.69,0.07,0,0.73,0,8.39,2.96,2.53,0.88,161.59,1.69,0.01,1.09,0,0,6.16,5.53,0.22,4.71,14.16,51.35,8.14,1.87,4.9,12.16,2.28,16.75,62.17,0,1.58,0,2.6,0.31,4.87,28.97,26.79,0.83,14.72,9.64,20.59,0.21,0.05,0,28.07,23.74,34.97,233.27,18.46,7.26,36.65,13.82,5.16,0,1.74,0,8,39.27,0.04,1.4,24.38,57.18,0,25.08,12.28,3.91,12.26,4.14,27.07,13.22,0.39,7.94,1.36,22.16,20.59,6.71,0.17,10.76,0.02,9.56,0.01,0,2.39,0.13,26.87,0.27,5.06,0.97,1830.37,7.12,0.76,26.93,293.53,0.36,0,8.56,0.01,0.02,2.13,2.44,0.01,54.7,0,0.12,0.04,0.03,13.88,0.01,0
