"MAP3K14","KDM5D","ATP2C1","ARNTL2","RAB27B","DSG2","POLQ","LAMA3","DLX3","DMRT3","SEC61A2","TRO","PRR11","MAP2K7","ZNF324","ZNF671","EZR","KLHL22","UPB1","RIN3","SALL4","RSPO4","FERMT1","OIP5","CRTC1","AVL9","CDK6","MET","WASL","MTMR4","OSBP","SLC35F2","ZNF346","SMC4","DHCR24","APOA1","KIF14","TRIM67","TMEM175","LRP3","ACAP3","TOP2A","PUM1","MICAL1","ANP32B","UBL7","DEF8","RNF157","SEMA6C","C1QL2","EIF2A","NCEH1","C7orf50","MAL2","FAM83A","INCENP","MPZL2","EPS8","PTPN14","SLC6A1","RNF166","TUBBP5","U2AF1L4","RACGAP1","SCNN1D","FAM160A1","ITGA2","RAD21","HDX","REEP3","MYO5B","MLKL","NMD3","CKAP2L","PDCD6IP","ARMC10","ZNF296","PRPF8","KCTD13","MRPS22","RAB6A","CCDC57","ZNF404","ANAPC2","ZNF575","CLK3","GPC5","GIPC3","D2HGDH","SLC26A11","DDX60L","ZNF467","SIAH2","ZNF708","ANXA2","LCK","FAM43A","UBE2H","S100A16","FBF1","EVL","MIER1","OXCT2","SPRN","GPRIN2","ZBTB48","PCDHA1","SERPINB5","SYT3","LTC4S","HERC2P4","MIR155HG","RBM14","ASPRV1","TP53TG3B"
0.94,0.17,2.47,17.89,5.14,6.74,0.25,9.06,0,0,0.93,0,5.63,2.09,0.71,0,35.5,2.55,0,0.12,0,0,1.48,6.5,0.58,4.2,10.96,6.84,1.85,1.11,1.42,3.5,1.64,5.35,13.48,0,0.33,0,1.96,1.38,3.44,3.7,7.7,0.76,11.34,2.95,9.98,0.05,0.32,0,12.8,3.32,19.22,7.52,4.78,5.89,1.44,4.38,3.67,0,2.88,0,1.31,8.55,0.71,0.51,1.34,8.06,0,1.1,2,4.47,4.31,2.02,10.64,3.39,0.42,8.43,1.2,7.05,6.28,4.46,0,3.65,0,5.45,0,0,1.34,0.45,0.54,0.39,3.3,0.04,293.18,0.16,2.44,8.5,24.28,1.65,0,1.88,0,0,0.22,2.65,0,6.79,0,0,0,0,13.36,0,0
3.55,8.77,55.1,8.41,6.22,32.78,1.89,34.89,0.14,0,1,0.69,1.6,5.13,1.96,1.72,80.49,4.86,0.1,5.83,1.29,0,17.69,1.39,1.74,19.35,14.34,26.92,23.74,7.59,20.74,12.2,3.13,15.21,20.16,1.21,1.51,0.01,3.23,7.49,4.08,22.11,26.52,7.09,15.69,8.67,17.54,0.54,0.37,0,35.74,14.52,11.84,152.44,0.07,7.01,18.87,42.02,8.98,0.45,7.04,0,2.71,15.33,0.18,1.92,30.19,67.97,0.59,23.16,21.73,9.65,24.64,1.74,36.79,21.7,1.03,40.75,3.19,20.72,49.42,6.37,0.89,5.47,0.12,13.05,0.08,0.32,4.34,2.05,6.4,0.79,12.99,3.61,393.28,5.29,3.16,24.63,36.42,1.57,15.52,13.39,0.34,0.05,2.27,5.98,0,28.65,0.07,0.94,0.4,0.33,10.69,0.37,0.02
2.06,11.16,32.96,58.74,7.82,65.65,0.89,36.15,0.05,0.03,1.77,2.66,2.42,7.32,2.55,1.24,118.51,5.45,1.11,6.52,1.69,0.01,9.34,1.05,2.17,14.33,30.35,25.01,8.26,5.44,14.88,14.68,2.76,13.16,10.56,32.52,1.12,0.01,4.06,2.96,5.72,6.22,17.39,6.97,48.43,6.89,13.3,0.91,0.73,0,50.46,17.46,19.59,38.11,76.35,5.39,22.12,77.48,11.77,2.51,4.64,0.12,2.78,6.55,0.42,8.71,97.83,48.38,1.35,28.21,14.55,8.56,41.1,1.31,45.51,31.81,0.41,34.56,5.26,18.26,30.17,20.72,1,6.77,0.33,17.01,0.09,0.56,4.02,3.64,12.92,0.83,13.29,3.16,756.78,1.28,3.07,17.18,68.98,1.29,12.55,13.7,0.42,0.03,0.32,3.06,0,19.61,0.03,0.16,1.06,0.58,13.06,0.25,0.05
2.07,0.1,29.03,4.95,10.73,23.48,0.37,26.29,0.02,0,0.9,1.12,1.06,5.35,1.71,1,178.75,2.9,0.15,2.83,0.68,0,15.34,1.23,2.08,7.4,19.7,40.97,12.36,7.06,19.31,8.86,3.25,10.03,88.23,0.46,1.16,0,2.43,7.15,2.28,7.87,31.29,9,10.85,7.94,10.75,0.71,0.64,0,44.01,23.3,10.04,40.86,3.3,4.15,60.54,39.18,13.78,0.39,4.27,1.74,2.15,4.51,0.18,6.71,21.87,33.4,0.3,17.56,17.8,12.1,29.78,1.04,34.94,22.38,0.23,28.23,3.18,16.33,50.47,6.75,0.6,5.12,0.25,22.24,0.09,0.38,4.15,1.65,8.69,1.15,14.41,3,504.19,1.67,2.34,32.19,110.26,1.14,9.18,16.17,0.19,0.08,2.25,3.16,0.08,19.04,0.06,1.78,0.84,0.05,10.76,0.87,0.02
2.44,0.15,38.94,28.22,16.79,56.75,1.59,153.25,0.47,0,2.95,1.21,2.62,6.78,4.02,2.16,178.66,3.39,0.19,4.39,2.06,0,47.5,1.61,1.78,20.37,10.45,35.29,19.8,6.12,19.65,6.38,3.92,17.18,97.21,1.24,2.18,0.01,4.73,6.46,8.5,15.11,34.24,8.38,10.2,6.45,15.73,1.29,0.33,0.01,28.41,12.42,20.07,103.77,21.37,12.34,54.96,44.19,7.14,0.14,4.83,2.25,4.21,12.05,0.6,8.22,56.42,43.01,0.51,38.9,17.57,13.59,24.07,1.99,57.03,21.89,0.97,35.06,6.1,12.29,43.65,8.78,0.77,6.77,0.19,12.38,0.08,0.17,8.3,2.08,9.81,0.76,11.57,5.06,884.63,4.74,1.98,41.64,129.17,1.8,10.92,20.42,0.38,0.08,6.12,11.64,0,77.12,0.18,0.51,0.3,0.15,9.79,0.29,0.01
1.58,0.07,48.41,26.62,15.34,472.04,0.81,143.04,0.02,0.12,3.23,3.48,4.83,4.26,1.74,0.91,209.36,12.62,1.3,5.3,4.79,0,25.63,0.73,1.86,19.35,11.12,131.17,25.5,7.58,17.93,9.28,4.84,27.25,15.62,48.13,0.97,0.04,4.23,1.82,4.81,8.71,22.39,3.67,23.6,6.31,7.85,2.78,0.47,0,40.74,13.56,13.19,98.85,54.94,6.2,59.37,87.63,10.91,1.72,3.28,0.94,2.85,7.04,0.26,6.12,55.96,61.69,1.46,53.75,19.75,10.08,30.54,1.6,60.41,25.93,0.21,26.47,4.12,16.39,45.36,14.6,1.32,3.93,0.32,15.58,0.04,0.19,3.87,1.36,32.06,0.33,8.44,4.23,1133.83,1.83,0.89,47.99,69.2,1.73,13.77,22.08,0.57,0.02,0.74,3.58,0.02,19.65,0.01,0.35,0.56,0.64,12.55,0.16,0
0.4,0.52,0.76,0.69,0.23,5.09,10.18,2.15,0,0,3.26,0.88,6.52,7.54,5.66,3.8,5.53,0.8,6.8,0.46,0.54,0,0.16,1.06,0,11.29,0.04,0.51,1.29,0.34,0.17,1.5,2.83,5.64,0.77,0,0.52,0.45,5.03,0.31,0.84,0.37,2.43,3.08,3.84,0,1.81,5.23,0.11,1.05,16.02,0.18,0.38,0,0,0.54,1.52,2.08,376.15,0,0.53,0,14.36,0.55,0,0,3.15,1.86,0,2.75,5.11,2.56,0.54,1.13,7.05,117.16,0.25,9.7,5.77,21.37,9.01,96.31,1.4,0,2.24,19.6,0,0.1,1.32,14.23,1.73,0,0.34,1.32,3.95,2.39,0.81,11.8,0.6,0,24.09,3.61,0.24,14.91,0.22,5.09,1.32,1.18,0,1.63,0.85,1.62,0,0,0.39
2.66,1.3,31.94,6.18,8.83,43.51,0.53,85.01,0.11,0,1.45,0.92,1.46,5.82,3.68,2.25,222.82,2.94,0.19,5.76,1.78,0,14.86,0.89,1.46,22.04,14.17,65.77,17.98,4.92,17.78,8.81,2.86,8.67,54.02,0.6,0.8,0.03,4.45,3.23,4.73,11.25,36.42,5.64,24.79,8.18,10.46,1.78,0.36,0.01,21.67,10.95,18.27,93.72,53.33,7.99,25.38,38.84,6.27,0.46,2.73,1.81,3.5,10.48,1.65,6.42,118.06,40.13,0.58,22.88,21.14,6.02,20.1,1.29,73.65,14.57,0.37,30.48,3.66,12.65,40.39,6.62,0.28,5.67,0.25,21.58,0.1,0.46,4.52,2.32,12.19,2.25,9.83,3.33,1425.11,6.18,2.53,50.92,177.78,1.26,9.56,16.58,0.37,0.09,5.52,5.45,0.01,67.06,0.03,0.6,0.34,0.14,10.31,0.17,0.01
0.77,0.04,37.38,33.56,18.75,178.09,3.64,65.11,0.02,0,1.19,0,13.48,3.29,3.12,0,490.46,3.74,0.05,1.36,0.23,0,15.92,16.1,0.68,11.57,47.16,43.1,9.78,3.75,15.44,21.19,4.19,52.94,60.32,0.02,3.91,0.01,5.13,2.3,4.14,100.26,20.34,2.08,12.37,12.97,20.72,0.09,0.2,0,68.63,37.87,22.02,352.11,48.06,12.96,74.34,45.36,6.29,0,2.12,1.5,6.36,41.75,0.11,5.29,42.65,98.75,0.25,36.03,30.07,5.21,56.97,8.63,78.61,62.96,0.43,11.3,1.41,67.88,69.71,9.81,3.56,2.54,0.07,16.09,0.01,0,3,0.33,29.28,0.3,12.87,3.84,2852.74,12.66,0.43,24.17,159.47,1.58,0.3,26.14,0.02,0,3.51,4.25,0.07,84.1,0,0.27,0.67,0.3,9.67,0.12,0
2.04,0.1,28.41,13.1,9.81,31.06,0.83,16.59,0.43,0,1.26,3.23,1.81,4.17,3.41,1.68,146.06,9.08,0.15,6.66,1.47,0.17,8.3,1.82,1.34,16.5,19.13,48.97,17.37,8.11,21.67,17.27,3.81,9.34,39.92,0.31,0.67,0.03,7.11,9.41,7.25,17.08,26.4,7.5,18.02,12.23,20.8,0.92,1.19,0,29.37,27.14,26.73,74.79,13.98,6.93,21.76,58.68,13.67,0.72,5.4,0.05,3.75,5.84,0.27,10.23,48.4,43.09,1.04,14.71,18.68,5.59,17.18,1.11,36.06,12.72,0.56,37.89,2.65,16.51,39.1,8.63,0.82,5.8,0.16,17.81,0.08,0.55,3.95,2.87,10.62,0.98,12.04,2.86,925.51,5.81,1.93,32.46,90.85,1.76,16,15.07,0.37,0.2,14.34,8.16,0.02,11.92,0.11,1.32,1.19,0.1,9.51,0.61,0
1.96,0.04,25.39,8.74,19.64,56.61,0.77,88.33,0.04,0.08,1.14,1.81,4.68,5.28,2.1,1.81,185.05,3.25,0.27,9.43,1.72,0.01,18.49,1.27,2.3,10.08,21.21,21.42,26.23,8.78,19.41,5.69,3.35,24.24,14.31,0.08,1.71,0.02,3.56,3.42,3.71,18.47,21.75,7.57,52.29,8.57,9.08,0.53,0.91,0,44.29,11.58,12.07,101.2,7.74,7.16,17.47,48.58,13.67,1.34,5.26,1.41,2.74,9.16,0.11,12.06,55.6,47.72,2.3,36.13,16.23,7.83,21.5,2.09,50.61,17.07,0.31,29.56,3.31,16.44,41.97,7.07,1.38,6.41,0.25,11.57,0.02,0.62,2.98,2.28,13.38,0.94,8.26,5.33,1000.4,2.2,1.99,32.64,92.97,1.04,14.09,17.99,0.24,0.07,1.84,3.7,0,46.41,0.14,0.57,3.04,1.06,10.67,0.47,0
3.17,10.22,53.43,16.71,18.92,80.85,1.6,62.27,0.12,0,1.92,3.05,7.45,6,3.49,2.81,160.4,4.26,0.43,5.76,0.82,0.24,12.18,0.62,1.95,18.74,26.38,94.33,28.9,13.03,21.07,12.87,5.53,30.65,73.5,0.07,2.14,0.04,6.21,1.98,3.82,18.53,26.35,10.14,24.12,8.19,11.33,8.21,0.49,0.02,55.71,16.47,14.39,106.1,4.87,7.31,82.61,67.2,33.41,0.29,5.78,1.13,3.79,8.01,0.47,6.01,69.65,63.2,2.22,45.8,18.88,9.36,29.79,1.78,57.17,36.09,0.37,37.25,5.6,16.86,48.29,23.48,2.44,5.57,0.43,11.66,0.18,0.55,5.04,2.51,12.97,0.93,9.47,6.36,774.23,3.76,1.53,31.79,56.57,3.98,11.66,34.43,0.5,0.03,5.67,4.08,0.05,8.03,0.78,2.51,2.49,0.33,11.43,0.4,0
1.61,6.04,34.46,22.76,13.1,86.76,1.12,95.5,0.06,0.02,2.29,3.25,6.26,2.64,2.11,1.03,419.75,4.41,0.16,5.32,2.44,0.03,17.42,1.19,1.25,13.11,15.83,46.26,12.11,8.05,16.98,12.56,3.05,14.34,19.03,1.51,1.44,0.07,4.72,5.09,5.63,18.29,27.36,6.83,13.91,7.51,14.21,0.65,0.83,0,35.8,9.93,15.64,74.67,69.51,7.69,45.45,59.95,9.17,0.46,4.55,0.8,2.39,9.55,0.38,5.45,66.09,49.86,2,28.18,18.96,5.73,24.41,1.94,42.27,15.39,0.39,32.9,1.85,19.13,47.02,9.83,0.36,6.32,0.2,14.5,0.04,0.45,4.1,1.55,11.61,0.62,10.49,3.37,1357.6,3.96,3.71,19.35,75.98,1.3,16.75,14.21,0.7,0.14,0.57,3.49,0.02,62.57,0.22,0.38,0.42,0.28,7.93,0.26,0
3.34,0.07,31.62,11.92,21.9,64.97,1.24,33.98,0.01,0,1.04,1.36,4.43,6.75,4.12,1.96,237.11,4.96,0.11,2.72,2.89,0,20.29,1.08,1.16,24.13,20.81,68.38,29.03,12.16,24.02,10.72,4.68,13.29,34.62,1.51,3.29,0.05,3.66,6.73,4.17,26.68,37.57,5.14,18.11,7.55,9.46,3.59,0.46,0,40.12,9.92,30.95,128.28,10.44,6.8,39.58,48.6,15.83,0.27,2.54,0.07,5.64,16.88,0.21,2.85,52.62,58.93,4.95,34.28,35.46,6.24,22.2,2.48,49.39,25.55,0.32,56.1,3.48,19.4,34.07,16.2,0.85,7.47,0.19,10.29,0.2,0.22,4.52,2.29,13.99,1.48,8.63,2.97,615.03,25.04,2.14,44.56,93.96,3.4,13.51,14.34,0.29,0.15,1.7,7.81,0.07,42.14,0.11,1.06,0.29,0.42,9.55,0.32,0.02
2.02,0.01,56.72,18.3,45.23,34.16,1.24,61.29,0,0.02,2.86,0.21,3.81,5.68,2.36,0.57,130.67,1.79,0.23,1.05,0.06,0,15.59,1.79,2,18.97,1.24,41.87,19.62,10.99,28.73,12.67,3.7,21.36,93.79,0.09,2.6,0,2.57,0.25,2.21,13.02,27.95,4.5,26.61,8.99,8.1,5.02,0.91,0,54.69,23.6,12.93,176.52,3.92,7.51,57.85,38.09,11.05,0.17,2.25,1.35,2.55,8.45,0.25,11.43,34.89,43.43,2.21,19.85,28.01,10.32,33.45,2.43,69.32,25.67,1.7,20.69,5.67,14.11,42.17,10.61,2.72,6.74,0.45,17.7,0.95,0.18,6.75,1.03,6.46,0.56,14.51,6.75,515.62,0.72,1.4,33.93,188.05,0.69,2.11,40.07,0.04,0.07,3.48,5.67,0,38.48,0.01,0.99,0.26,0.09,10.65,1.93,0
4.85,0.04,43.95,63.85,14.08,207.86,1.79,169.42,0.06,0,2.44,1.34,15.59,6.57,1.68,1.26,196.38,3.88,0.22,7.93,1.26,0,18.75,1.68,1.02,25.37,29.8,313.54,31.87,5.69,36.87,21.15,2.8,26.01,17.31,0.04,3.53,0.01,4.21,3.29,3.9,21.34,25.74,7.57,40.37,7,12.65,2.2,0.47,0,54.83,20.92,30.79,300.52,178.94,11.6,60.84,109.86,14.08,0.16,5.86,1.56,5.46,18.94,0.25,7.45,86.46,124.25,1.35,73.27,31.4,11.64,29.09,6.88,66.17,42.5,0.82,34.68,4.77,16.74,81.18,10.96,0.57,4.99,0.09,15.08,0.04,0.4,6.27,1.78,36.4,3.86,9.22,4.88,1003.09,5.21,2.29,57.97,70.42,1.36,12.08,20.53,0.1,0.07,0.47,3.1,0,20.05,0.15,1.12,0.66,0.46,11.71,0.25,0
2.45,0.02,41.71,8.11,17.22,48.55,1.38,28.78,0.02,0,1.68,2,5.48,4.9,3.45,4.61,127.81,5.65,0.23,5.11,1.74,0.01,24.24,2.22,1.41,22.78,19.6,44.13,28.05,10.79,20.79,4.63,4.44,21.78,42.5,1.48,2.06,0.01,6.51,4.41,5.28,11.9,33.45,5.45,28.11,10.96,11.43,1.78,1.12,0,38.17,9.84,22.72,120.22,6.75,10.1,55.03,26.47,9.29,0.44,5.26,1.83,4.13,14.98,0.26,4.25,38.93,44.82,2.05,35.53,25.49,8.93,29.61,1.48,60.92,32.33,0.44,37.05,3.15,19.81,46.57,13.66,0.77,9.44,0.3,16.1,0.33,0.46,5.61,1.51,9.24,0.54,13.4,4.88,1187.82,2.49,2.76,45.9,54.07,2.37,15.71,24.57,0.2,0.16,1.69,6.49,0.03,20.93,0.13,1.23,1.44,0.29,10.9,0.26,0
3.4,13.84,38.89,18.97,20.23,125.71,1.51,98.39,0.33,0.08,1.16,3.31,6.98,5.96,2.35,1.55,348.84,4.61,0.22,6.39,2.2,0.06,23.01,1.42,2.77,17.79,19.88,84.15,25.18,10.01,17.22,9.79,5.08,28.29,60.03,0.05,1.94,0.03,4.35,3.21,4.8,20.37,31.67,9.14,25.31,8.12,12.88,0.91,0.64,0,59.93,22.46,30.94,166.58,10.81,7.72,59.39,68.22,12.23,0.6,4.82,3.24,2.08,9.23,0.43,8.37,86.09,47.02,3.16,37.01,30.53,14.25,45.38,2.74,63.15,30.09,0.55,30.64,4.17,28.42,44.73,18.02,1.73,6.34,0.28,16.09,0.32,0.29,5.98,2.92,21.51,1.34,12.85,5.51,1400.6,4.47,2.97,31.87,132.7,2.05,11.94,21.59,2.6,0.14,1.94,4.38,0.07,38.4,0.03,0.61,2.01,0.43,12.17,0.1,0
2.29,3.24,51.95,22.84,13.97,66.91,1.23,110.03,0.05,0.02,1.42,1.74,4.5,3.28,3.75,1.85,318.8,5.96,0.15,2.23,2.14,0,29.12,2.16,1,20.47,15.6,72.49,22.6,11.3,20.8,14.43,4.23,18.02,43.37,0.15,1.93,0.02,4.83,3.63,4.56,27.43,26.76,6.24,16.83,9.48,13.56,0.94,0.38,0.01,39.48,20.28,25.27,100.85,10.83,8.45,76.93,48.85,8.93,0.28,4.95,1.73,6.06,11.92,0.28,6.55,57.67,47.23,2.75,38.87,16.61,6.63,30.12,2.79,55.49,20.99,0.56,29.96,2.41,23.91,59.68,7.99,1.66,5.21,0.15,11.11,0.18,0.24,4.59,2.72,9.91,0.51,10.52,2.92,1156.27,5.29,2.09,30.04,101.09,2.5,12.04,23.53,0.46,0.12,7.11,4.28,0.03,61.55,0.14,1.13,0.25,0.57,10.96,0.37,0
2.97,18.42,49.08,18.51,12.07,178.38,2.76,82.43,0.04,0,2.51,1.48,6.15,3.97,4.28,1.18,207.05,4.78,0.34,5.35,6.98,0,18.85,1.72,1.65,20.07,18.8,43.1,26.84,10.47,23.45,6.51,5.84,38.72,38.45,0.27,3.2,0.02,5.5,2.56,4.4,33.02,39.89,8.63,45.32,6.62,9.08,3.62,0.64,0,40.5,29.25,15.75,137.02,0.45,9.62,27.26,67.31,12.16,0.31,5.73,1.65,3.73,16.08,0.21,2.72,76.43,56.21,1.86,22.58,21.67,6.45,30.75,3.5,65.05,23.3,0.97,34.77,4.34,19.96,40.98,14.91,1.64,7.83,0.25,10.68,0.13,0.51,3.79,2.51,24.46,0.68,10.61,4.54,540.81,10.2,1.87,36.91,54.29,1.27,11.52,27.41,0.35,0.1,1.35,8.11,0,22.61,0.05,0.88,0.43,0.83,17.83,0.27,0.06
1.96,0.17,51.53,77.26,8.49,84.07,2.68,215.15,0.08,0.04,1.79,3.06,8.22,3.44,2.15,1.47,84.24,5.76,0.14,6.09,1.38,0.01,22.13,2.18,1.09,11.74,22.89,42.77,23.52,5.7,11.62,4.48,4.13,35.17,42.64,0.21,3.15,0.02,4.48,3.56,5.76,31.35,24.73,6.06,29.54,9.88,12.62,0.62,0.57,0,54.79,17.96,21.74,72.7,54.42,7.4,44.57,16.98,13.07,1.05,5.78,1.73,3.12,10.96,0.37,6.99,74.8,58.2,0.9,29.32,6.45,6.88,28.33,8.4,44.98,25.88,0.33,29.48,3.13,30.53,38.3,11.63,0.43,5.68,0.19,15.45,0.03,0.44,4.78,1.98,9.23,0.74,13.88,2.6,1323.92,1.75,3.21,40.88,88.19,2.91,17.92,21.41,0.32,0.07,0.27,5.37,0.01,106.68,0.13,1.01,0.59,0.62,7.89,0.23,0
2.73,0.37,38.77,20.99,12.18,52.84,1.96,46.66,0.15,0.01,2.12,0.64,3.51,3.27,1.88,1.17,310.2,3.83,0.53,3.61,1.23,0.04,14.89,3.7,1.42,17.47,9.69,33.51,19.33,5.5,16.06,9.23,3.19,28.29,21.67,0.93,2.95,0.01,3.08,7.54,5.29,41.47,18.64,10.22,32.99,8.77,15.13,1.39,0.44,0,52.49,10.47,15.31,77.01,1.98,6.82,35.78,66.13,5.95,0.21,4.64,0.41,3.18,15.68,0.53,7.57,79.99,69.53,2.09,27.71,21.05,7.45,36.1,2.84,42.04,21.14,0.48,27.74,3.21,27.08,47.23,12.75,0.99,5.32,0.16,18.17,0.44,0.16,4.75,2.02,13.73,0.92,7.63,5.58,1335.14,3.94,2.13,33.38,121.04,1.17,11.25,18.58,0.37,0.08,2.84,4.94,0.01,50.08,0.06,0.57,0.29,0.61,8.13,0.33,0
2.87,0.07,36.63,12.3,30.44,50.29,0.91,134.28,0.07,0,1.34,1.58,4.11,4.61,3.21,2.75,254.29,3.63,0.2,3.6,2.52,0.01,23.57,1.64,0.98,17.06,8.35,29.81,24.1,7.9,21,11.68,3.77,16.17,52.14,1.16,2.27,0.01,5.11,4.18,5.75,18.03,38.79,11.78,18.08,12.79,13.43,0.9,0.58,0,53.71,11.57,21.64,99.09,1.65,9.18,39.87,65.05,8.81,0.3,4.05,0.91,4.42,10.34,0.38,5.02,29.65,47.75,2.31,31.6,30.82,10.4,31.19,1.78,62.35,26.33,0.67,32.62,4.06,20,46.58,11.94,0.99,6.58,0.16,20.89,1.78,0.32,8.23,1.42,13.82,0.54,12.33,5.15,1355.64,4.07,0.94,26.8,138.13,1.12,8.2,22.96,0.27,0.06,2.03,6.12,0.02,43.52,0.08,1.16,2.44,0.33,8.24,0.35,0
1.84,10.47,36.08,15.63,3.37,74.73,0.92,39.7,0.04,0,1.9,1.48,3.27,4.36,2.59,1.75,154.08,5.03,0.24,4.55,3.28,0,17.33,0.79,1.76,15.65,16,46.7,31.3,8.72,19.18,6.56,4.13,15.41,49.2,0.18,1.45,0.01,5.26,2.97,6.32,12.37,29.27,7.43,24.84,5.34,12.37,1.51,0.96,0,41.75,12.83,12.42,83.05,9.2,6.64,35.22,97.94,5.12,0.46,5.88,0.59,3.47,6.35,0.18,7.52,52.38,54.93,1.07,37.27,39.15,7.05,27.54,1.93,74.2,22.87,0.39,39.71,4.28,14.68,42.8,13.88,0.38,6.34,0.23,11.68,0,0.49,5.17,2.87,8.66,0.99,8.97,3.42,465.69,3.7,1.27,42.59,55.44,1.78,12.02,20.12,0.18,0.09,0.87,6.15,0.02,15.68,0.25,0.68,1.3,0.12,9.71,0.23,0.14
4.21,12.01,31.57,9.03,31.22,95.33,1.03,38.15,0,0,1.33,1.86,3.07,6.28,3.05,0.93,342.86,4.71,0.2,3.21,1.08,0,23.85,1.23,2.23,16.07,6.44,37.37,23.3,10.17,20.65,7.21,3.24,12.31,34.37,0.87,1.21,0.01,4.57,4.53,5.64,9.51,35.13,9.13,20.99,11.05,10.74,1.07,1.17,0,48.1,7.67,14.11,56.61,1.14,7.28,33.64,49.96,9.08,1.01,3.45,1.59,3.19,8.36,0.38,5.94,30.97,37.52,1.63,17.42,52.6,6.44,27.43,1.27,70.85,16.47,0.4,49.88,3.92,15.39,35.18,11.88,0.54,7.49,0.32,20.88,0.08,0.55,6.81,2.14,14.11,0.44,11.57,4.17,910.5,8.91,1.02,30.59,107.02,2.02,8.16,16.61,0.49,0.01,2.14,6.38,0,73.56,0.06,0.95,0.54,0.09,13.41,0.54,0
1.79,0.06,33.54,17.57,14.59,47.8,1.91,27.57,0.26,0.03,2.09,0.49,3.58,3.54,1.45,0.98,159.5,2.9,0.54,2.72,1.06,0.09,10.13,5.13,1.3,15.44,7.33,23.27,13.34,3.98,13.07,7.82,3.61,22.74,21.9,1.28,2.29,0.01,2.25,9.92,4.86,48.71,17.77,8.13,19.89,6.31,10.13,1.01,0.41,0,46.29,8.84,10.75,66.97,0.77,5.72,39.63,47.31,6.29,0.08,3.53,0.18,1.98,11.89,0.54,5.49,44.8,49.86,1.83,22.77,20.14,5.65,35.49,2.24,42.28,16.05,0.34,23.84,2.31,22.96,36.53,9.73,1.44,4.7,0.13,12.98,0.48,0.1,4.49,1.3,13.83,0.45,6.73,5.72,838.79,2.17,1.35,17.01,83.32,1.32,6.92,15.43,0.31,0.02,3.7,4.66,0,44.46,0,0.9,0.44,1.12,5.37,0.57,0
3.76,0.23,39.73,12.1,31.05,27.2,1.16,66.52,0.15,0.02,1.37,0.64,4.5,5.71,2.67,2.34,206.24,2.89,0.22,3.26,0.45,0,10.02,0.92,1.18,19.08,18.73,26.27,20.28,11.25,28.55,9.28,3.54,17.24,64.56,1.76,1.08,0.01,3.63,6.04,2.11,20.44,23.63,6.77,38.7,6.38,12.08,1.04,0.5,0.01,52.17,18.56,18.17,111.46,0.52,9.32,30.14,106.39,5.63,0.12,4.66,2.35,3.16,11.7,0.11,5.01,48.78,58.08,1.56,23.01,24.49,10.06,29.16,2.49,64.82,23.35,0.52,57.22,4.1,26.24,40.23,7.4,0.77,7.15,0.18,9.78,0.72,0.2,2.57,1.51,17.77,0.36,11.16,5.6,514.1,6.59,1.26,22.86,169.78,0.75,13.92,12.95,0.27,0.04,3.51,3.18,0,18.9,0,0.93,0.19,0.5,7.79,0.2,0
2.96,0.04,49.9,19.56,8.17,54.04,2.49,23.3,0.07,0.07,1.44,2.18,7.48,4.81,1.59,2.5,182.26,5.66,0.35,4.01,3.04,0.16,6.67,1.84,2.17,17.87,14.28,77.6,22.17,7.05,13.5,8.81,5.43,31.31,31.25,0.12,1.63,0,6.89,3.29,7.52,16.28,22.6,8.2,22.61,7.07,15.64,1.38,0.43,0,35.83,15.92,17.96,88.07,12.28,5.93,59.01,66.49,7.83,0.25,7.19,0.5,3.63,12.16,0.37,7.61,72.63,56.78,2.3,36.68,10.67,9.11,33.27,5.81,63.59,23.32,0.23,43,3.58,17.82,54.41,20.28,1.4,5.19,0.2,11.42,0.2,0.41,5.15,2.4,15.83,2.95,6.56,7.84,770.3,3.33,2.55,36.2,41.38,1.84,19.15,14.73,0.5,0.12,1.97,4.71,0.1,15.48,0.15,0.3,2.27,0.5,11.53,0.18,0
1.39,3.28,35.18,24.36,15.53,83.23,1.98,76.67,0.1,0.05,1.46,2.04,8.11,5.68,2.29,1.01,16.04,4.73,0.24,7.12,1.29,0,24.13,5.51,1.72,20.51,9.72,97.27,22.18,10.31,22.22,16.67,3.94,31.04,75.87,0.15,2.94,0.06,3.75,6.12,4.4,31.94,27.13,3.89,39.09,15.25,13.17,5.93,0.59,0,47.24,43.37,26.87,133.36,8.66,11.1,46.58,67.89,12.92,1.32,4.03,2.77,3.98,15.63,0.2,3.07,37.76,62.29,3.13,92.74,18.01,10.1,54.81,4.11,48.63,61.5,0.75,23.29,4.55,24.15,47.39,10.74,1.45,6.09,0.12,24.08,0.08,0.47,3.48,0.88,20.25,1.01,16.61,3.29,1251.4,0.71,1.37,51.92,93.17,1.66,13.01,23.16,0.96,0.11,3.37,6.16,0,24.42,0.05,0.12,0.98,0.52,10.12,0.23,0.02
