"EDC4","EIF2A","GUCY2C","ITGA2","LOC100129066","LOC728743","MED26","PCDHGB5","POT1","SAV1","SFRS17A","SH2B1","SLMAP","SNAI3","TCTE3","TIMM17A","TRIM67"
0.4362,-1.8335,-0.2029,-1.1694,0.2125,0.1395,-1.3817,-0.0159,2.648,-1.3555,-1.1374,-0.2736,-1.2438,-0.848,2.0949,-1.3814,8.3897
0.8404,-1.1493,10.9689,-1.4275,-0.6634,0.0619,0.833,0.1616,0.6885,-1.65,0.0961,2.1184,-0.4837,5.6209,6.4706,-0.7554,8.5303
-0.1317,-1.8566,-0.2011,-1.3779,0.4667,-0.119,0.6112,0.0339,1.4326,-2.1533,-0.8116,-0.4691,-0.3432,-0.6253,0.3823,-2.2429,4.4224
0.7793,-0.2319,-0.2012,0.3099,-0.4655,-0.1893,-0.8437,0.1953,0.3149,-0.351,-0.5696,0.252,1.0537,-0.7621,-0.5432,-0.1051,-0.2931
-0.8446,-0.7739,5.061,-0.5144,4.8541,-0.5646,0.5326,-0.5054,4.5457,-1.0931,-0.7446,-0.3468,-0.6306,-0.867,0.2457,-1.675,0.2083
-0.5447,-0.8044,-0.185,-0.1698,0.1793,0.3859,0.1251,0.9745,-0.2366,0.0409,-0.5187,-0.6866,-0.1615,0.9171,-0.2283,-0.9473,-0.1038
0.4073,1.2416,0.0072,0.7785,-0.5823,-1.0015,0.0985,-0.5012,-0.2991,0.2211,2.1516,-0.2389,0.6992,-0.7402,-0.1033,0.023,-0.2866
1.1526,1.3056,-0.202,-0.0857,-0.626,0.1527,-1.2578,-0.4713,0.0249,-0.4286,-0.1779,1.9652,0.3479,-0.6747,-0.0191,-0.8247,-0.0321
-0.0629,-1.2156,-0.2008,-0.6848,0.1582,0.1382,-0.1296,-0.5138,-0.1596,-0.0165,1.0312,0.8864,-0.4457,0.2395,0.3093,0.7798,-0.1551
0.2175,2.0617,-0.1686,-0.421,-0.2775,-0.5668,0.1022,-0.38,-0.1769,0.6081,-0.9928,0.1536,2.7402,0.4379,-0.348,1.5478,-0.0209
-1.3578,-0.2836,-0.1747,1.0638,-0.2547,-0.6491,-1.4257,-0.4242,-0.2705,0.1331,-1.0844,-0.8568,0.5587,-0.2827,-0.958,-0.4175,-0.3304
-0.6631,2.286,-0.1912,-1.317,1.7604,0.9027,-0.4361,-0.0954,-0.8413,1.5354,0.3237,0.2817,-0.7054,0.6267,0.4578,-0.7653,-0.0506
-0.4335,0.0389,-0.201,-0.1458,-0.3008,-0.8534,-0.6568,0.1465,-0.3592,0.9913,-0.9331,-1.3579,-0.2175,0.5427,-1.157,-0.5735,-0.1149
-0.7815,-0.4774,-0.2007,0.0989,-0.189,-0.7527,-1.0149,-0.1887,-0.1692,0.0578,-0.698,-1.2082,0.1357,0.4696,-0.6482,-0.3062,-0.072
-0.8088,-0.074,-0.2033,1.228,-0.2848,-0.8427,0.3108,-0.5732,-0.3269,4.4339,0.0199,0.509,0.5393,-0.6088,0.5501,0.3885,-0.1753
0.1941,0.2303,-0.2043,-0.6581,-0.0515,-0.0806,-0.4074,-0.4781,-0.0796,0.5636,0.4301,-0.0975,-0.5135,-0.5598,-0.9623,0.3042,-0.2262
-0.8174,0.0318,-0.1992,0.4466,-0.4653,-0.4007,-0.3503,-0.4237,-0.2746,-0.1887,-1.0352,-1.4604,0.0449,-0.4347,-1.2764,-0.0636,-0.3072
-0.2111,1.266,-0.202,0.1166,-0.3148,-0.0647,-0.5159,-0.4464,0.5341,0.5743,-0.867,0.1468,0.4352,-0.5409,-0.7829,0.2081,-0.1741
0.5572,-0.8841,-0.2011,-0.7617,-0.2906,0.5373,0.8217,-0.1777,0.1508,-0.5458,0.4462,0.4388,-0.4185,1.1816,0.5507,-0.387,-0.3361
0.3253,-0.7955,-0.2031,-0.5372,-0.7333,0.6339,4e-04,-0.3411,-0.6736,0.1586,0.1135,1.1315,-0.1686,0.981,0.3813,-1.3463,-0.1211
0.9348,-0.9748,-0.2003,1.0726,-0.7333,-0.4571,0.8554,-0.5292,2.0204,0.5409,-0.8647,1.4627,0.4849,-0.9124,-0.0208,-1.2526,-0.065
0.5882,0.5283,-0.2006,-0.9151,0.0086,-0.2544,1.1178,-0.6228,0.1271,-1.0221,-0.5057,-1.1235,-0.9065,0.3691,-0.5565,2.0787,-0.2719
2.3976,0.3451,-0.1728,-0.5064,0.0276,-0.0258,0.3328,-0.5332,-0.7323,-0.7762,1.0429,1.4138,-0.1564,0.2897,2.0283,-0.4177,0.0092
-0.7413,-0.2361,-0.1852,-0.3495,-0.3627,-0.4556,-0.1704,0.469,-0.6788,-0.3349,-0.6625,-0.2838,2.9819,-0.6558,-0.5887,0.629,-0.0538
0.8448,-0.8679,3.2083,-0.5021,0.6798,-0.0425,-1.162,-0.6415,1.1254,-1.5723,-0.2429,1.0033,-0.642,-1.1406,0.8065,-0.2682,-0.2943
-0.3814,1.8743,-0.1931,0.5234,-0.3687,-1.1015,0.1819,-0.5864,-0.4595,0.9474,1.2225,-0.8031,-0.3968,-0.9345,-0.1188,0.1321,-0.2907
-0.0743,-0.9781,-0.2006,-1.0558,-0.4531,0.7713,1.1608,-0.3494,-0.6907,-0.0038,1.7337,0.673,-0.5724,0.1817,0.1969,-0.6107,-0.2064
1.2947,0.4668,-0.0563,0.0594,-0.2756,-0.9027,0.2278,-0.2603,-0.6971,2.0626,0.5596,-1.2686,0.2369,0.7868,0.9373,0.4495,-0.2612
1.1448,-1.007,-0.1314,-0.7771,0.6975,0.6522,1.8848,-0.5818,-1.2338,-0.6394,1.4522,1.5151,-0.8005,1.679,0.3221,-0.9294,-0.0574
0.3902,0.1347,-0.1979,1.1983,-0.5862,-0.6778,0.0406,0.8744,-1.138,0.3107,0.7682,-0.6351,0.3157,-0.6495,-0.0488,-0.7999,-0.1731
1.8176,2.1677,-0.1552,0.8597,-0.613,-0.2924,1.1235,-0.596,0.8413,-1.2037,1.4618,0.9601,0.2766,-0.0219,4.3736,0.1574,-0.311
