"EDC4","EIF2A","GUCY2C","ITGA2","LOC100129066","LOC728743","MED26","PCDHGB5","POT1","SAV1","SFRS17A","SH2B1","SLMAP","SNAI3","TCTE3","TIMM17A","TRIM67"
0.8734,-1.1691,-0.1572,0.0256,0.0458,-0.5876,-0.61,0.8806,-0.2718,-1.2238,0.5506,0.5701,-0.1724,0.4595,-0.1165,0.8267,-0.173
-0.5219,-0.6209,-0.1929,-0.9066,-0.0603,0.2446,0.8445,-0.2021,0.2689,-0.2168,0.5401,-0.3434,0.3323,1.1957,0.1888,-0.4945,-0.0596
-0.5704,-0.4679,-0.1896,-0.7134,-0.4138,-0.4493,-0.3518,0.1387,-0.5037,-0.0657,0.1308,-0.1822,-0.0387,-0.0218,-0.5546,-1.0617,-0.1657
0.3826,2.588,-0.2009,-0.2391,-0.3861,-1.3008,-1.238,7.3771,2.9913,2.1965,1.6797,0.308,0.3472,-0.8782,0.8052,0.2835,-0.3375
1.9353,-0.1755,-0.2006,-0.9276,-0.4506,1.5801,-0.6669,-0.5986,2.0225,-0.8794,1.3044,3.0633,0.5853,-0.4897,0.934,1.0085,-0.242
1.0901,-0.2719,-0.2025,-0.3737,-0.2177,1.0556,-0.9282,-0.439,-1.866,-0.8036,0.311,0.4791,-1.0784,-0.5999,0.6556,3.1576,0.2803
-0.389,0.4762,-0.1994,0.0121,0.937,0.0477,-0.8924,-0.3745,-0.6463,0.3007,-0.5331,-0.4156,0.3555,0.2763,-1.0227,0.3513,-0.0827
1.4952,-0.5812,-0.2018,2.3554,-0.3832,-0.516,0.0177,1.1791,0.0824,0.3331,1.2925,0.8116,-0.0117,-0.4583,0.4306,-0.7934,-0.1103
1.1621,-0.5418,-0.1902,-1.0829,-0.3298,1.8174,-0.9192,-0.591,-0.3481,-1.9725,-0.5694,2.2165,-0.8617,1.315,0.1789,0.6458,-0.3264
0.3405,-1.1866,0.1251,-0.4355,-0.2307,-0.5981,0.8589,0.1874,-1.6596,-0.6414,0.0528,0.1687,-0.1571,-0.3871,-0.8595,0.2928,-0.2603
1.0984,0.1798,-0.1735,-1.1785,-0.085,3.1084,3.5164,-0.2635,-0.3485,-0.0844,1.9975,0.2289,-0.944,4.8655,1.2622,-0.6303,-0.1665
0.8195,-0.299,-0.2018,-0.5818,-0.4404,-0.2464,0.6597,-0.2234,-0.9896,0.0901,0.8315,1.3896,0.0618,-0.5484,1.8847,-0.8905,-0.2438
-0.137,0.7357,-0.1985,-0.7969,-0.4906,0.2011,-0.3267,-0.2226,-0.5472,-0.1532,0.6487,0.0031,-0.323,-0.4264,0.581,0.4923,0.0362
-0.2532,-0.1201,-0.2013,0.304,-0.2973,-0.4342,-0.4599,0.6973,-0.7421,-0.7766,0.0117,-0.8119,-0.1161,-0.403,-0.4846,-0.2584,-0.1022
-0.9701,-0.698,-0.1991,-0.8827,-0.5156,0.6214,0.5858,-0.34,-0.3569,-0.0812,-0.4863,-0.5767,-0.7832,1.4676,-0.0294,-0.6348,-0.0611
0.2206,0.6804,-0.1142,-0.0394,-0.4799,-0.1063,0.3532,-0.5823,0.9302,-0.3193,-0.1089,-0.0319,0.6709,-0.2601,0.0837,-0.1328,-0.0983
0.1889,0.4882,-0.1868,-0.18,-0.4259,-1.2819,0.9137,-0.5524,0.0265,-0.2328,-0.334,-1.4114,0.8403,-0.4228,0.1239,1.9099,-0.2439
0.3015,-0.7432,-0.1524,-0.452,0.5573,-0.227,-0.3536,-0.317,-0.7433,-0.7006,1.157,0.7338,0.0897,-0.2289,0.2738,-0.1797,0.0711
0.0069,-0.0906,-0.1983,0.371,0.1221,0.0423,-0.0598,-0.2153,-0.5446,-0.6979,-0.7568,-0.1816,-0.5139,0.0959,-0.3803,-0.3734,-0.0131
2.0758,-0.5207,1.4018,-0.6875,0.4612,-0.0259,2.0625,-0.629,-0.3847,-1.5519,3.1826,1.0595,-0.435,-0.9988,1.5386,0.2358,-0.2012
0.4335,-0.0457,-0.1994,-0.9954,-0.7333,0.2504,1.1497,0.1881,-0.943,-1.2352,0.492,0.7179,-0.1665,-0.5082,-0.5648,-0.5695,-0.1629
0.7646,-1.2674,-0.012,-0.5661,-0.6446,0.2236,0.3888,-0.5133,-0.1173,0.6463,0.7354,0.4296,-0.1641,-0.7442,1.1011,-0.5869,-0.2516
0.7314,-0.3999,-0.1933,0.1917,-0.2697,-0.4506,-0.359,-0.5647,0.3006,-0.0515,1.5837,1.4351,0.8053,1.6764,-0.7277,-0.0146,-0.127
0.9107,-0.5867,-0.1967,-1.0305,0.0091,1.6665,1.6357,-0.5249,-0.599,-1.2592,0.5328,0.534,-0.7893,1.7517,-0.2858,-0.3716,-0.1906
-0.042,-0.2014,-0.1923,-0.7976,-0.1842,-0.1683,1.5135,-0.1981,-0.463,-0.4846,0.3043,0.199,-0.3666,0.185,-0.4654,-0.7848,-0.0364
0.1768,-0.8736,-0.1978,-0.7329,0.6416,0.0979,0.3074,-0.1159,-0.66,-0.2886,-0.0276,-0.124,-0.5399,0.7029,0.5763,-0.7506,-0.1884
0.304,-0.1251,-0.1822,-0.2619,-0.0289,0.3315,1.3834,-0.5838,0.4089,-0.5323,0.2317,-0.8351,-0.1724,-0.0457,-0.248,-0.0012,-0.2468
0.9217,-1.2898,-0.2025,0.6336,-0.6489,-0.5376,0.4074,-0.3248,-1.7856,-0.9359,0.4372,0.3606,0.3878,-0.4196,-0.1855,-0.8062,-0.1519
0.0902,-0.5127,-0.2029,-0.8881,-0.3047,-0.2009,0.0833,-0.3556,-1.1726,-0.4216,0.1292,0.1442,-0.1827,-0.0176,-0.2012,-0.3223,-0.0836
0.2987,-0.8088,-0.1974,-0.7785,-0.4912,0.0728,0.4585,-0.3988,-0.3302,-0.3213,0.176,0.4072,-0.5047,0.901,-0.8464,-0.1295,-0.1376
-0.0052,-0.7956,-0.0334,-0.5875,1.0416,-0.415,-0.5165,0.1766,-0.112,-0.5039,0.4317,0.1077,-0.2429,-0.3576,-0.4525,-0.4141,-0.1912
-0.0551,-0.5905,-0.1882,-0.5248,-0.496,-0.3379,1.4082,0.2295,-0.5752,-0.5223,0.6426,0.4092,-0.6643,-0.4868,-0.2482,0.8755,-0.0113
0.8008,-0.7023,-0.2012,0.0292,-0.1062,0.1977,-0.1099,0.7395,-1.0335,-1.2867,0.581,0.4799,-0.1126,-0.0834,-0.3883,0.856,-0.2075
1.7177,-0.0499,-0.1728,-0.9082,0.8874,2.6653,1.0412,-0.3055,0.4508,-0.1995,1.8505,1.4838,-0.7015,1.8859,2.2382,-0.3079,-0.1678
